canton,fridays_Anger,fridays_Anticipation,fridays_Disgust,fridays_Fear,fridays_Joy,fridays_Sadness,fridays_Surprise,fridays_Trust,mondays_Anger,mondays_Anticipation,mondays_Disgust,mondays_Fear,mondays_Joy,mondays_Sadness,mondays_Surprise,mondays_Trust,saturdays_Anger,saturdays_Anticipation,saturdays_Disgust,saturdays_Fear,saturdays_Joy,saturdays_Sadness,saturdays_Surprise,saturdays_Trust,sundays_Anger,sundays_Anticipation,sundays_Disgust,sundays_Fear,sundays_Joy,sundays_Sadness,sundays_Surprise,sundays_Trust,thursdays_Anger,thursdays_Anticipation,thursdays_Disgust,thursdays_Fear,thursdays_Joy,thursdays_Sadness,thursdays_Surprise,thursdays_Trust,tusedays_Anger,tusedays_Anticipation,tusedays_Disgust,tusedays_Fear,tusedays_Joy,tusedays_Sadness,tusedays_Surprise,tusedays_Trust,wednsdays_Anger,wednsdays_Anticipation,wednsdays_Disgust,wednsdays_Fear,wednsdays_Joy,wednsdays_Sadness,wednsdays_Surprise,wednsdays_Trust
AG,497.741445216,1930.13778444,353.66162114,562.078075455,2087.29176673,706.919992525,977.230949318,1943.09196904,464.970925621,1723.46924068,326.30065237,540.388777725,1739.76922069,639.142693396,891.075879513,1719.25760967,532.213720838,1910.70260395,372.271452769,646.286410339,1977.1477733,736.922292392,961.273917422,2001.98770651,649.579253873,2182.45323512,477.542161025,798.995156108,2258.2114072,864.629954746,1147.11331542,2191.35247728,535.829546441,2013.56895913,378.802747291,613.126289975,1995.57859191,732.044046863,958.393052951,1922.50510762,508.26495653,1733.35520199,363.271075983,613.418236584,1716.97768326,685.210722181,878.308264611,1718.4491687,550.394539692,1825.45192438,386.778801019,650.042324832,1810.62407503,731.165317586,943.235487388,1840.13100198
AI,8.25116550116,29.0248917749,2.98731268731,9.84603174603,22.1938422688,9.24574314574,11.1682900433,20.2133477633,10.2814324564,28.1384310134,8.07306304806,12.5024531024,25.8154151404,10.1270562771,15.4241452991,24.7264652015,9.02857142857,24.9127344877,8.23968253968,12.7270562771,24.8132034632,11.727020202,16.6881673882,23.2338023088,6.5996031746,20.4675324675,4.76541514042,10.8643217893,27.1440947941,7.8043040293,13.8230519481,26.1802669553,7.03281024531,24.7314366189,5.41507936508,9.65748556999,23.4073884449,8.54690864691,12.1254079254,19.5266737348,7.38253968254,23.6798701299,6.47261904762,10.4651154401,25.5318542569,8.62503607504,15.2722943723,23.8671717172,4.33293650794,18.648953824,4.25515873016,7.29844877345,20.1548340548,8.96673881674,9.66356421356,17.7905844156
AR,12.6495171495,52.1507213375,8.62619782178,16.1825942032,52.9783262489,26.5939477189,24.2039496451,46.7437275143,16.194033744,70.6387019843,12.2584415584,24.5683594184,89.996449792,35.1053252303,32.9922438672,63.0631354756,21.9019341769,55.6158952159,14.5644744145,20.3836191586,56.8516233766,32.5307054057,30.9853174603,55.2556277056,19.9948162948,105.819757509,12.1482905983,18.1176490176,79.7354168492,27.1513051276,27.9098956599,79.1341195354,15.4951881452,51.9336413586,9.304004329,19.1964969671,55.7061119436,28.2362193362,30.3212454212,52.7522200022,21.3202353202,53.7256535131,10.2596681097,17.4902791653,56.6556901432,29.3130924631,29.4399642025,53.626458264,14.6444555445,67.1673146298,11.9588707045,20.2751443001,73.4642107892,25.1287369493,30.0523559773,57.4480533355
BE,1285.74254154,4098.51356227,895.038668963,1519.86488953,3982.57867424,1748.6229444,2040.43007902,3990.60311377,1373.50656431,4118.45007872,939.831727238,1527.68182444,4064.63472928,1897.40501364,2215.24457748,4040.80465228,1402.28143394,4261.01599774,931.561440924,1729.00428641,4080.80172325,1836.24511427,2186.22448209,3909.98631027,1544.47011927,4291.80198346,1023.35528501,1694.77492022,4164.39616949,2006.87821107,2273.0824922,4145.73905636,1361.11166703,4208.72394951,937.184151233,1544.12201962,3978.62294292,1833.72290733,2128.0946323,4033.16419027,1628.11456497,4335.48342549,967.434151753,1618.12694734,4300.55279597,2097.40590181,2391.12106886,4341.56754462,1622.34864561,4292.457092,969.709872221,1656.08572553,4045.13169333,2103.25958414,2328.49307219,4281.8759466
BL,261.931373202,651.886381511,206.876621418,331.745456341,618.370932662,355.741679399,343.963345396,639.85349732,264.403183744,686.020676546,211.035716489,296.196089858,682.094462482,319.434302887,384.869685298,685.293623452,270.276394641,686.984186114,200.30213771,296.623295311,678.784830078,323.178837661,378.143284695,663.95375637,318.485272386,847.161863747,263.136273346,376.405447227,821.354241282,386.259128818,465.07912057,786.261789801,292.404123328,863.71288295,218.340862732,352.190085976,853.523204981,355.023462893,412.516898379,716.506287014,268.848420452,680.239953919,216.598868615,299.369682523,651.746324917,333.904328433,364.766248049,651.407776782,271.96016206,667.916027742,198.201975802,293.260873277,640.423288639,332.270613945,358.445230994,658.866264433
BS,434.061868768,1297.19983521,294.967552954,489.97956692,1223.59974103,570.333609914,619.878466631,1204.5412378,415.976460876,1194.07879912,299.986001335,481.977158789,1152.86724001,556.495191165,590.11841049,1168.05273203,424.399487685,1265.03325422,272.709649234,501.882844503,1186.82334861,570.855273626,647.896416389,1139.15808356,397.566717227,1209.30684246,263.969921479,492.492035312,1161.82350688,534.924380173,556.706306744,1107.32096492,455.95880892,1304.95720537,296.844441914,531.626908179,1226.50081132,603.263766664,654.791799192,1232.19976025,427.121361705,1235.46559903,306.323276968,489.986698819,1150.62862617,603.398926216,617.63562418,1174.13823272,514.165161795,1359.97447562,329.051448796,546.215658095,1258.23597169,633.328309698,676.644340992,1283.605672
FR,746.521284142,1644.29466407,570.142331989,929.198183426,1532.6466845,1119.1690158,882.685095129,1744.83702379,878.625735144,1799.16637858,663.95852358,1039.19940831,1733.07717369,1283.74561741,945.371545379,1950.35243127,863.153005263,1782.56399904,666.371397862,1027.74184172,1732.30813269,1244.64759887,959.910827127,1902.14458917,1066.22540028,2097.71056845,810.330351588,1251.16881742,1933.40076508,1460.5199351,1172.23870881,2231.28098276,828.105814474,1898.29382577,644.585965838,993.086620466,1769.88666898,1212.87606324,940.158955724,1916.54366818,852.230963064,1682.48628651,632.172081771,991.434959642,1586.80600309,1238.78292129,923.78492355,1843.12469895,844.892739794,1713.6395846,619.843865122,965.354498445,1582.47081133,1169.14066396,897.660537072,1832.16575549
GE,6529.83048795,14209.3064197,4670.73860611,7902.92682393,11445.4629163,9285.66401731,6997.75065769,14165.6472493,7471.12467339,15466.5906568,5181.26769098,8714.83448764,11989.1286311,10216.8751875,7401.62993594,15413.7627704,6379.27089257,13443.4479177,4526.76649028,7638.62927335,11322.4297102,9068.41050182,6880.96539253,13225.7335103,7658.25286381,15873.2486212,5374.77406306,8974.96046764,12204.2154999,10697.9759251,7585.06896055,15652.7717244,7386.55528985,15813.1071281,5063.47961906,8710.67031764,12347.8295217,10112.9451836,7549.1802422,15400.8891355,7571.60309451,15635.4596351,5247.37671974,8998.75358938,12328.3654211,10314.3297094,7538.93198899,15646.7816876,7799.70644364,15607.4062325,5266.42016597,9033.72366527,12275.122671,10519.8889534,7652.71623778,15586.9685124
GL,17.0473304473,235.459953935,15.8290764791,20.9379551005,261.503374403,28.2286768787,213.85969031,247.539496614,28.5988455988,83.7096916972,23.6927960928,40.0381826507,78.6849664225,34.3336441336,43.1621669997,73.7401140526,15.477020202,225.711444111,11.3385642136,42.4715478965,203.92465035,26.1847763348,170.657947608,201.196209346,76.2335470085,200.727222777,60.4748917749,73.7972915973,206.214868465,71.6751165501,122.485905761,167.787717838,53.4526820402,425.523236486,41.0120032745,234.381916694,246.661865912,63.797036297,85.8245310245,144.249081474,30.8662809413,76.4041920498,17.2049714175,33.3014513264,74.2561383061,36.6698676324,42.8435966811,74.0945554445,15.5251193251,52.4679487179,14.6394660895,17.1962232212,173.688475413,26.5966200466,29.7767177267,54.4891677767
GR,327.308923429,1030.87350868,224.660363656,363.06943514,946.061108581,404.257887271,493.415670277,962.338321074,308.503855703,919.478055072,195.105330209,339.097023238,838.374332101,361.172587951,455.810038469,819.990732367,359.765272473,1111.59056105,220.027962152,377.753241448,1002.92481397,427.057636644,541.355754273,1006.53295234,418.593868631,1224.91521199,289.841317016,411.261144411,1159.79027819,471.208268121,653.367081938,1058.12006727,400.262346292,1401.73023998,261.77788486,488.817946042,1307.88277586,476.021379944,625.590347415,1130.70183695,306.488010437,867.185605489,195.273314594,343.548999448,857.36159339,365.952493013,458.783879029,863.394226035,338.3882921,994.845981225,202.148268806,389.807934854,958.097254951,418.699504091,521.855697489,968.149915199
