canton,fridays,mondays,saturdays,sundays,thursdays,tusedays,wednsdays
AG,Joy,Joy,Trust,Joy,Anticipation,Anticipation,Trust
AI,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Joy,Joy
AR,Joy,Joy,Joy,Anticipation,Joy,Joy,Joy
BE,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation
BL,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
BS,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
FR,Trust,Trust,Trust,Trust,Trust,Trust,Trust
GE,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation
GL,Joy,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Joy
GR,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
JU,Joy,Anticipation,Joy,Joy,Joy,Trust,Anticipation
LU,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Joy
NE,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust
NW,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation
OW,Trust,Joy,Trust,Anticipation,Joy,Joy,Trust
SG,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation
SH,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
SO,Joy,Trust,Anticipation,Anticipation,Anticipation,Trust,Trust
SZ,Joy,Joy,Joy,Joy,Anticipation,Joy,Anticipation
TG,Joy,Joy,Joy,Joy,Anticipation,Joy,Joy
TI,Joy,Joy,Joy,Trust,Joy,Joy,Trust
UR,Joy,Joy,Joy,Joy,Joy,Joy,Anticipation
VD,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust
VS,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation
ZG,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation
ZH,Joy,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation
