canton,winter1_tweets,spring1_tweets,summer1_tweets,fall1_tweets,winter2_tweets,spring2_tweets,summer2_tweets,fall2_tweets,winter3_tweets,spring3_tweets,summer3_tweets,fall3_tweets,winter4_tweets,spring4_tweets,summer4_tweets,fall4_tweets,winter5_tweets,spring5_tweets,summer5_tweets,fall5_tweets
AG,1004,5642,13740,12498,14378,16155,7058,12844,23380,19262,21868,11365,10847,11714,19445,37923,16966,19401,16631,2102
AI,5,285,245,116,118,205,71,146,108,334,434,216,106,112,386,286,218,298,387,28
AR,24,393,590,675,466,445,394,429,887,641,1094,239,992,298,675,455,681,862,464,42
BE,2790,15481,34199,27295,32793,37606,14579,26922,40770,40652,47208,44018,51201,23439,43699,28114,45547,48074,47192,6328
BL,110,2395,5992,5523,6734,6607,2663,5774,11212,6357,11643,5010,4202,3518,6697,4930,7327,7038,5167,984
BS,700,4527,13396,11650,12152,12715,4408,8939,12200,13582,12753,8924,8280,5551,12004,7462,10097,16536,13582,1754
FR,224,10120,16450,23670,32808,38006,10313,21298,43449,28703,33243,13653,11933,8189,15442,12109,12543,13146,12170,1946
GE,2750,32309,75210,106376,272030,417313,122087,213222,286009,223302,248068,121962,105532,56766,108378,70483,90986,105304,82455,10355
GL,44,630,1012,1013,1475,2393,437,373,4490,1072,959,3818,3756,2144,2226,893,334,367,275,45
GR,1091,3130,7878,4637,12801,7996,2816,4216,22497,7780,9411,3860,13369,2533,9225,4042,14014,8876,9438,914
JU,15,2064,7189,4495,4097,4181,820,3248,6154,2978,3030,2153,5571,1242,1998,1397,2152,2922,1872,232
LU,647,5025,10109,10042,11874,15631,5028,9451,19957,17987,22496,11104,14599,7848,14877,8646,13927,21015,13235,3875
NE,597,2769,9304,17788,50947,69132,19181,33994,42109,37644,33840,22006,16215,9591,16394,10219,12287,14795,10464,2093
NW,38,429,1023,1953,3401,2470,1263,915,5246,1929,2736,796,1001,395,1585,900,894,1329,1481,186
OW,50,944,2457,975,1894,2565,705,3467,4266,4393,6287,4676,15135,7543,15747,15144,15680,11393,8804,1169
SG,747,3663,8030,9833,11383,13042,4487,10080,20900,12479,14377,9851,7787,6157,10083,7914,10512,10918,11399,1483
SH,30,552,1085,944,989,2597,416,2840,6740,1848,2516,1157,2739,666,2037,1225,1803,2686,4976,275
SO,293,3225,5087,5351,6146,6886,2358,3702,10959,7343,9190,4854,3944,3965,10275,4474,9725,6860,5878,683
SZ,121,835,2063,2289,2281,2918,2007,1559,3555,1889,2262,1219,2110,987,3234,1631,1932,3170,3168,348
TG,118,4058,5005,5199,7158,6825,2173,3929,9102,8812,13998,5735,7156,5003,4555,2227,4119,5303,6055,442
TI,506,14155,34761,30645,36448,28407,9134,20253,26404,23867,31897,18580,19389,10793,18930,13252,20918,22438,20077,2417
UR,90,300,797,499,561,891,289,332,1628,552,1218,1738,422,208,873,393,592,658,1271,93
VD,2447,23094,64355,91831,102057,126489,38175,79559,114794,103824,112224,70358,57037,30957,61403,45546,52349,60812,58941,7810
VS,1425,9902,23930,24680,43019,55429,16432,27272,52003,44915,49282,23168,29483,15139,35802,18817,32319,28097,26420,2928
ZG,575,2217,3909,3139,3339,3889,1217,3015,6792,8921,5270,3371,3717,2466,4956,3223,4249,6092,4572,749
ZH,7409,36811,81747,70231,82202,85343,28625,70419,93985,95503,104023,67808,77201,47603,94792,68439,87495,96638,89051,11922
