canton,fall1_Anger,fall1_Anticipation,fall1_Disgust,fall1_Fear,fall1_Joy,fall1_Sadness,fall1_Surprise,fall1_Trust,fall2_Anger,fall2_Anticipation,fall2_Disgust,fall2_Fear,fall2_Joy,fall2_Sadness,fall2_Surprise,fall2_Trust,fall3_Anger,fall3_Anticipation,fall3_Disgust,fall3_Fear,fall3_Joy,fall3_Sadness,fall3_Surprise,fall3_Trust,fall4_Anger,fall4_Anticipation,fall4_Disgust,fall4_Fear,fall4_Joy,fall4_Sadness,fall4_Surprise,fall4_Trust,fall5_Anger,fall5_Anticipation,fall5_Disgust,fall5_Fear,fall5_Joy,fall5_Sadness,fall5_Surprise,fall5_Trust,spring1_Anger,spring1_Anticipation,spring1_Disgust,spring1_Fear,spring1_Joy,spring1_Sadness,spring1_Surprise,spring1_Trust,spring2_Anger,spring2_Anticipation,spring2_Disgust,spring2_Fear,spring2_Joy,spring2_Sadness,spring2_Surprise,spring2_Trust,spring3_Anger,spring3_Anticipation,spring3_Disgust,spring3_Fear,spring3_Joy,spring3_Sadness,spring3_Surprise,spring3_Trust,spring4_Anger,spring4_Anticipation,spring4_Disgust,spring4_Fear,spring4_Joy,spring4_Sadness,spring4_Surprise,spring4_Trust,spring5_Anger,spring5_Anticipation,spring5_Disgust,spring5_Fear,spring5_Joy,spring5_Sadness,spring5_Surprise,spring5_Trust,summer1_Anger,summer1_Anticipation,summer1_Disgust,summer1_Fear,summer1_Joy,summer1_Sadness,summer1_Surprise,summer1_Trust,summer2_Anger,summer2_Anticipation,summer2_Disgust,summer2_Fear,summer2_Joy,summer2_Sadness,summer2_Surprise,summer2_Trust,summer3_Anger,summer3_Anticipation,summer3_Disgust,summer3_Fear,summer3_Joy,summer3_Sadness,summer3_Surprise,summer3_Trust,summer4_Anger,summer4_Anticipation,summer4_Disgust,summer4_Fear,summer4_Joy,summer4_Sadness,summer4_Surprise,summer4_Trust,summer5_Anger,summer5_Anticipation,summer5_Disgust,summer5_Fear,summer5_Joy,summer5_Sadness,summer5_Surprise,summer5_Trust,winter1_Anger,winter1_Anticipation,winter1_Disgust,winter1_Fear,winter1_Joy,winter1_Sadness,winter1_Surprise,winter1_Trust,winter2_Anger,winter2_Anticipation,winter2_Disgust,winter2_Fear,winter2_Joy,winter2_Sadness,winter2_Surprise,winter2_Trust,winter3_Anger,winter3_Anticipation,winter3_Disgust,winter3_Fear,winter3_Joy,winter3_Sadness,winter3_Surprise,winter3_Trust,winter4_Anger,winter4_Anticipation,winter4_Disgust,winter4_Fear,winter4_Joy,winter4_Sadness,winter4_Surprise,winter4_Trust,winter5_Anger,winter5_Anticipation,winter5_Disgust,winter5_Fear,winter5_Joy,winter5_Sadness,winter5_Surprise,winter5_Trust
AG,152.585606469,438.711319726,82.1624782081,176.719064514,405.028311231,224.163906192,243.43241546,416.110803636,172.156796798,611.205020388,126.713256085,207.706315335,659.679506033,234.795992733,334.217846859,558.474169028,167.091734654,543.068420305,128.123246198,212.798580994,581.336344211,223.92435522,301.955132776,570.107852686,170.570172311,787.323097224,125.07659228,195.462547583,898.076962803,255.118016706,306.047435897,1048.90217689,21.1788281163,85.9651848152,20.5243589744,33.2297549673,78.9234237984,32.3423090798,38.8369269619,89.418023643,74.5963397713,171.750312188,39.7537420912,62.531555944,171.134446109,94.8031177156,87.9496114996,162.227486402,210.633381733,709.552466853,146.495206019,256.88100386,771.867993565,287.612400895,412.115947043,662.130273317,236.662438379,936.562351108,196.15513653,313.70610068,959.902215105,339.890224073,553.723184577,911.418661159,131.637779296,497.606426335,85.7314171939,160.407204315,484.288173754,161.359990826,265.130775189,542.287928003,279.154845155,977.920564566,198.956138306,366.066515429,923.434821143,397.851150239,382.323073169,1008.35119823,172.69716713,520.151656513,106.251203372,167.229599975,597.318215934,240.825107246,229.060132351,439.050783367,108.138732917,405.397236505,80.8780422192,135.593976895,469.560615773,146.163140085,271.123038378,410.86876316,287.245709987,994.951678958,218.789022334,361.653829585,1022.07148358,405.855610463,547.906404848,942.158746156,229.561337927,1035.17523555,155.618467888,265.975359097,995.323389192,340.963313114,391.446403433,1096.14402181,230.195351299,786.530020796,164.135572761,292.110506977,761.019286269,325.614414181,352.291331299,846.581223352,15.0592352092,27.7374209124,6.0382034632,10.5850649351,22.666017316,17.8294372294,13.4536435786,25.8317321567,220.065986585,491.817370925,130.13701364,201.786432234,517.765362802,261.88643601,281.696404146,470.183481508,424.194876699,1653.37933509,342.688009007,490.26932843,1691.65833035,505.894541243,987.434208609,1458.46623344,135.049989716,448.856740482,114.595388822,175.212168387,450.094823232,208.32336085,237.08301282,482.826591464,227.483464063,1042.78966122,156.621041459,283.365233786,998.803229592,315.072480194,443.262479187,1068.47457948
AI,1.38333333333,2.93333333333,0.766666666667,2.40952380952,2.25833333333,0.866666666667,1.2,2.8,1.68015873016,5.48098845599,1.03571428571,3.15634920635,6.19725829726,2.09090909091,3.78257575758,7.629004329,0.895238095238,12.7552669553,0.753113553114,2.12106782107,12.4802059052,2.37973692974,7.15238095238,12.0076118326,1.74007936508,6.99955322455,1.09444444444,1.5670995671,6.96187978688,2.06038961039,3.79358974359,5.30236707737,0.0,1.41666666667,0.0,0.333333333333,1.61111111111,0.0,1.11111111111,1.55555555556,5.66111111111,12.6254689755,4.23803418803,9.29963924964,16.3127705628,7.19765512265,6.39404761905,12.6421356421,2.03869047619,6.13452380952,1.84285714286,1.83869047619,5.67619047619,3.0130952381,3.05535714286,5.79404761905,7.52890720391,12.3544011544,3.36025641026,13.778968254,12.2440587191,8.88968253968,7.33293650794,11.4968614719,0.766666666667,4.88571428571,0.891666666667,1.46785714286,5.3746031746,0.485714285714,1.85,5.5123015873,3.38849206349,9.48336940837,2.47619047619,3.04126984127,11.8738455988,3.00555555556,7.0246031746,11.0170634921,2.95634920635,9.34372710623,4.57023809524,7.21428571429,11.1684274059,5.7670995671,7.44223692974,7.93634184443,1.86111111111,4.03571428571,0.694444444444,1.65277777778,6.23015873016,1.92063492063,2.19285714286,2.91071428571,5.28535353535,19.4667027417,7.15523088023,8.63697691198,16.9611832612,9.55122655123,10.3747113997,13.6382034632,6.87176434676,21.0755050505,4.83412698413,7.20797258297,16.4715367965,7.76392496392,9.48023088023,17.7631673882,5.98823953824,17.0480519481,4.66836219336,6.68625541125,14.588961039,4.83268398268,10.3512265512,14.6537878788,0.0909090909091,0.125,0.0,0.0,0.125,0.0,0.0909090909091,0.111111111111,1.36111111111,5.19841269841,0.777777777777,0.361111111111,5.63293650794,0.236111111111,5.03174603175,7.23293650794,0.142857142857,5.44166666667,0.485714285714,0.342857142857,5.28214285714,0.807875457875,0.989285714285,4.48214285714,0.45202020202,4.83178210678,0.396825396825,0.868686868687,5.38614718615,0.688131313131,1.85634920635,4.24646464646,1.06666666667,6.45847763348,0.166666666667,0.876190476191,5.81435786436,1.59285714286,2.9920995671,5.60411255411
AR,8.64051226551,31.2959415584,5.23493173493,8.2591991342,35.8709415584,11.0505411255,21.4618145743,34.2093725719,0.808333333333,66.1609649123,1.33333333333,1.83333333333,69.1046157059,4.76215538847,6.95357142857,43.1619569758,1.31068931069,3.55528442146,0.31279178338,0.892889463478,2.51507936508,2.33132423132,1.37860374919,2.76148296148,7.22521367521,18.3840732797,5.76495726496,10.3772588523,19.0217966674,10.0446581197,8.96862206421,20.5820530776,0.0,1.0,0.0,0.25,2.41666666667,0.0,1.25,1.91666666667,3.32702020202,4.7638028638,1.06987734488,0.948484848485,7.10781440781,4.59203851704,2.06505439005,5.83324730825,2.35952380952,8.37414529915,0.683333333334,2.04206349206,7.09120879121,3.61666666667,4.03650793651,8.65834443334,12.1167027417,18.8948523699,5.3344017094,10.6051698302,16.525036075,13.8768370518,9.90515873016,17.9071178821,4.23922466422,15.352966478,3.55119047619,5.57023809524,15.0126734377,6.74642857143,8.3293040293,15.5142607393,8.46190476191,65.2286796537,7.02063492064,15.4992063492,63.8215007215,10.5912698413,34.6667027417,54.7012015762,7.56741036741,18.7192390942,4.58292263292,8.17495698746,22.1724025974,12.6654872905,8.30761183261,16.1305527805,1.64015151515,13.799059274,0.757575757576,2.36785714286,18.628968254,3.5341991342,2.2623015873,7.88293650793,12.0615301365,32.0346393802,9.36287878788,11.6413322788,27.8316229522,18.2341242091,14.6588383838,28.1920454545,4.0215007215,18.9163780664,3.28690476191,4.42817460317,15.255988456,6.14971139971,5.91911976912,14.8826839827,10.7634310134,19.581024531,5.81819291819,9.66157633216,20.0306637807,9.74352869353,8.72503607504,21.2294122544,1.11111111111,1.31944444444,0.0,0.0,0.472222222222,1.26785714286,0.458333333333,0.319444444444,6.91267343767,17.8949134199,3.34368686869,6.49005439005,21.1528138528,8.67266622267,10.6512265512,17.4412448662,7.52854645354,28.0557525807,6.22191876751,7.62783605284,22.5391108891,49.2414464621,12.5222444222,23.947011322,13.4404151404,27.9677100677,11.5685897436,17.3862387612,28.9682539683,17.5244671995,18.4912698413,28.5867937618,5.76428571429,41.9428571429,3.70515873016,11.6051587302,47.2384920635,6.05634920635,22.2079365079,41.1888888889
BE,394.354062806,1000.97811143,267.919710943,398.636101132,990.892166206,533.927746823,523.079464142,1010.14950864,357.593787244,1005.01880739,264.169209832,459.365659638,1035.69659693,518.164911817,516.336548709,964.394924735,667.107762924,1672.27588795,402.910755406,856.000096103,1669.80917607,852.195491825,938.822544079,1738.27229287,446.178021304,1410.10997513,328.897714519,499.539366125,1376.75421202,601.875251907,633.360194522,1486.58943769,74.1423858005,363.376369709,51.9888972139,109.595336037,361.481168668,125.05990121,225.047253155,344.042781483,238.915244783,515.247731272,140.966586192,209.656350431,521.381053097,280.426071967,301.054135059,514.470015421,530.048643878,1348.21401141,398.057473284,626.502240896,1221.10478655,748.800806482,701.588251961,1301.92539327,572.11013535,1837.31675959,417.27706864,719.118098451,1645.03608057,781.783019506,898.297639704,1797.22721795,377.959065831,1106.93201843,254.128292786,426.6407472,1078.02048989,440.663148715,545.124701932,1097.35758596,599.687121471,2606.52622318,416.324043188,751.490502787,2561.11126341,950.139281544,1529.40851091,2529.99085186,507.004260445,1264.56687779,296.114015968,510.306951992,1193.12899794,679.8136101,668.466603963,1203.09761984,244.730595527,553.203269868,188.292546239,273.145208468,484.1932295,312.593729469,297.56879899,515.68949908,708.50256787,2045.10917522,499.738558474,800.611164197,2050.18768876,923.889546577,1070.89569246,1871.58025861,703.67871426,2423.74908651,494.885488449,857.586211131,2395.19479668,957.571832515,1077.12559434,2321.44190117,720.138781153,2501.20469036,465.051205412,836.714676539,2350.09095386,934.769559379,1396.45888984,2346.77025274,47.4307650683,71.3644022644,9.95275974026,17.35749667,58.373962149,50.2687923188,36.5098637474,67.1208319458,592.917338522,1271.1681438,369.076412781,551.08924921,1266.02590269,761.413908615,686.040945467,1253.68861377,586.945907361,1835.60364251,450.323758573,742.588873686,1836.31073877,824.677658143,888.035500954,1711.15423595,1110.71792929,2337.18514034,453.941553682,869.959865897,2079.49179692,1313.36815655,1408.26694687,2143.99175309,649.01782929,2210.36600728,465.34409006,700.210526299,2246.78285056,832.111880745,1093.04971344,2306.40649106
BL,109.622075147,247.108736117,79.8093045843,115.730842768,253.217180042,132.558839771,144.164031802,237.200780184,98.3718202549,319.606515135,79.6118578317,138.677029751,307.657586858,138.574857332,160.342898768,304.065542791,106.14299173,254.903033486,76.6123015873,119.896170496,245.434164855,109.163894439,139.818543956,242.705666964,76.0665084915,196.08270757,60.54499667,108.611098624,154.153711566,108.39047064,98.510485348,207.681197969,16.3937340437,42.8628898879,12.9953463203,19.4342352092,40.2070637696,21.2909451659,22.0250582751,37.8115795153,34.582983683,77.6709859585,15.3992174492,23.1077412783,119.988496226,36.6788451744,42.6171217671,66.5895465645,114.293688664,296.671007587,94.9672349709,133.731687593,265.877183764,146.662437971,155.361794578,268.320262499,89.886128006,256.708349412,80.8305083805,122.173805198,250.651944297,131.24423534,144.088385634,247.291697028,55.2805268261,146.036436603,51.7259230965,67.6846292596,131.785740077,78.5577422577,85.3151699607,141.550718562,93.1176934177,314.670350483,74.0371114996,120.634632035,294.494512432,130.790231011,156.94927752,307.862032412,122.710934898,250.898829357,75.7287629037,107.196854534,245.721280517,124.514424464,130.124839458,249.572554243,61.8070885813,109.907522869,52.0113783276,62.5158451026,107.404150833,63.4623587197,63.5010872298,114.937596962,183.469593315,515.52992316,139.311764053,243.485166059,516.688464618,250.854368099,286.326541819,484.809515626,131.581441658,276.24273155,96.58002553,132.531386669,271.451960905,160.884758662,163.721035397,293.032312497,92.9992935986,242.580970418,63.8637454049,97.5284848321,238.893668831,119.210266265,122.187443521,252.268896381,2.51313131313,2.02702020202,0.0,0.5,2.24722222222,2.2,1.81111111111,2.3718975469,174.853241203,358.913452234,132.954384504,176.627244977,335.379360917,191.274068987,187.705078255,299.828293928,213.653752006,689.79094645,191.701355791,250.502179967,675.324050743,234.908848865,336.781614889,558.514844057,81.3553002553,207.701137751,67.1934343434,91.0621225996,201.978929404,88.0695945394,107.787284937,203.559283772,78.1663461538,256.4123224,63.4081390831,104.572363747,269.646889222,123.007205295,147.968349706,263.328984904
BS,222.238209013,393.206006902,115.98508436,182.802820687,364.964493328,252.080418966,200.926297314,353.19124158,119.06054654,405.535659232,90.2711979197,179.268766098,354.946258235,181.056777515,191.386619018,367.359563514,174.46972929,395.354302479,129.628045974,196.723997245,348.804753988,187.196981613,210.945074778,388.998469015,115.325179396,358.119749695,82.9394137725,150.006839402,354.864084527,158.111712715,175.065039536,350.707686758,27.9990953491,70.7193750694,20.1956571207,34.1824730825,61.7649073149,39.637001887,29.8242146742,80.0346570096,80.1883338883,170.230241877,40.1572621823,64.1032892546,156.282196458,95.897432143,92.7714552389,163.849012975,184.609346617,523.012865789,133.170172883,211.890809191,474.069139048,243.509634298,275.238323665,453.336500853,219.403375258,714.145120544,147.293338339,287.232381486,693.95987407,280.195811417,382.117111788,630.241835877,77.7180000555,277.584543643,59.5541028416,97.8859866441,266.678459449,119.14676655,118.023736394,253.137412261,245.426324084,1080.82855935,180.265554299,364.353314169,997.975881471,377.553888024,405.981361694,1037.5392982,211.107340535,450.939444602,116.436351802,180.840105624,437.486845344,254.512075669,235.664315668,401.38605251,60.4790723166,173.447268418,45.0672383172,57.1782087194,153.546935418,86.2255326373,96.1943958819,143.046834538,228.321346709,597.876160909,158.517937618,257.700372258,587.689221623,301.482036836,349.108732831,574.57923392,159.480969847,562.555738951,107.818583682,187.721220751,522.326280501,232.055788961,291.607593632,516.55565015,212.393488456,718.692483742,156.323185556,281.189761627,670.669244073,357.025480892,330.026237651,684.854511991,12.8523781774,20.7408230658,4.22273143523,9.56817626818,21.6261155511,17.2822885448,11.0214757465,21.7637501387,232.184010331,463.935713306,132.737537463,206.592201263,447.592778463,272.026739824,244.549150849,432.428124653,181.604374117,610.251330571,131.832650356,233.146756675,613.093855714,226.03280494,292.609054976,606.650410004,111.719544753,316.168441689,86.2364778196,145.038304179,293.625181763,156.92406564,151.95400335,308.202873923,122.228301476,467.467100177,90.6909832814,170.829572062,463.399109937,177.340303466,226.089631915,448.978134671
FR,374.930251585,727.59566109,250.849578848,440.245846391,636.122535491,531.138691752,379.151757091,798.509108497,356.268347481,666.673155048,283.646400332,431.029244331,603.692206645,543.180841427,358.106688654,707.313663087,247.506727483,486.766972935,190.921828253,272.155678592,444.877380707,324.750304739,268.179866027,528.716412591,201.665479086,502.05631219,164.508948649,264.10700488,493.294211426,294.159977376,282.402922323,560.299734699,31.4678807304,67.3211940837,24.7168012543,36.6558386058,66.0359987235,45.0763879095,33.5468591049,78.2713411588,160.433490508,315.708025531,100.772707521,183.297549385,285.712347761,216.244828086,161.606570472,375.279084619,665.587828361,1261.09390672,460.534438248,785.292487999,1172.31455539,945.508057397,688.814848275,1395.79212048,507.658599386,937.53691496,404.728016896,603.22113772,865.297310386,735.556420068,510.675844456,994.343776296,132.767973895,277.709451286,107.820788727,164.024910319,253.021574826,194.778928115,141.266423484,284.265947425,222.93213192,592.748079655,176.950680202,296.648436041,587.721343259,324.052347816,332.520107833,609.877125854,251.54056504,475.013843598,156.272482468,277.886139215,432.395191655,340.784521111,244.235125495,541.536857064,202.339549421,382.678846948,145.949424595,243.847390921,309.510328947,282.632019845,196.63146543,381.300215999,541.236869829,1091.22658612,459.364582863,615.191432484,1126.40782244,820.146026316,589.363744567,1100.36997051,227.036034837,606.992839105,166.235066464,315.534802001,575.115725696,324.52006739,346.368898319,641.477040117,191.817126583,482.280353161,150.517790788,256.617994179,449.705736786,292.642404796,261.193781421,501.479137138,5.25876623377,9.52031024531,2.34924242424,4.3920995671,11.7413419913,5.23654401154,5.6797979798,13.3310606061,569.583303599,1089.33145063,397.313502773,641.772811352,1022.86271991,796.092800758,570.659055727,1277.88201345,726.369030127,1558.5054558,628.969514206,778.787709948,1445.22203309,1053.89618168,771.6486377,1506.13202766,215.755057726,448.483650805,172.279361875,266.893819678,414.808916634,316.636554824,224.579717646,438.249368747,223.017630078,572.238128229,150.432912753,295.841247676,609.603244073,312.2052543,323.983281545,621.926598496
GE,2012.42836505,3850.34053531,1345.67400486,2244.90485748,3162.89332378,2745.92988319,1994.29807857,4156.1576164,3649.33501879,7674.16583149,2664.82589867,4437.38945506,5451.8670005,5285.01436783,3606.84169683,7063.9465028,2318.89614933,4539.08224064,1650.18393398,2733.68035279,3890.32832472,3003.93369159,2147.5540286,4345.35362755,1434.72846521,3389.16991403,916.731474932,1728.53395945,2962.12819784,1996.65996131,1583.08908254,3402.26063031,227.514723082,532.731388709,153.798499948,272.103540066,504.664684335,292.996422184,269.716899604,517.559691779,614.768480453,1330.25195074,367.146083264,654.122628511,1191.00111045,762.65335832,699.3425806,1696.67631953,6835.71640556,13817.2521344,4990.11888581,8065.41253704,9931.89058143,9836.53413384,6726.88563687,14571.8069396,4113.24993809,8623.45286014,2973.80372754,4896.45807163,6646.95501268,5604.23403954,4098.53400893,7982.60784404,1102.13177002,2584.25671351,755.603304556,1354.73988097,2063.79599668,1404.04156052,1243.65095849,2593.91043179,2181.54127832,5317.81414546,1513.23288447,2721.19946669,4659.96598592,2943.36740382,2482.01283931,5429.80149747,1399.48867427,3014.88700737,890.985619675,1554.20182996,2585.1533037,1809.9569228,1547.12097065,3000.28573113,2069.37038533,4101.38391694,1419.93104159,2460.86603419,2887.2678966,3042.78557895,2038.11915885,3860.42789668,4807.07818107,8761.76638499,3332.18468981,5535.51740138,6652.21800852,6442.52837807,4466.92411628,8276.97389396,2347.21888109,5289.66327094,1443.98202273,2601.70299786,4898.59520077,3099.0860567,2681.10705083,5421.13962982,1863.77474511,4251.70816033,1196.97258244,2305.04208454,4043.00228737,2346.82169316,2118.07375051,4393.7619211,83.5486263736,117.911249861,28.3021617272,48.1681790432,91.9148851149,85.3712426462,52.8301337551,119.298497336,4660.90395539,9003.9228081,3287.54161568,5288.45990647,6724.14715,6656.35191586,4409.06409013,9665.99292432,5025.70871772,10753.8235087,3682.04377932,6105.01657699,7764.42463541,7208.33056624,5108.74829864,9617.52189954,1969.83509696,4151.39273172,1403.9977992,2407.90498296,3400.06318776,2688.55078527,2042.8546794,4106.81918253,1732.91285666,4330.50661946,1169.20592889,2304.83538664,3917.77845259,2553.64417507,1972.9934142,4366.62358919
GL,4.79487734488,10.3489829615,1.85261544012,6.32517343767,11.4767607393,6.33594877345,9.61624486624,10.463482351,4.35622710623,14.4286546787,3.86428571429,4.86144688645,15.8631784882,6.09007936508,6.02299089799,15.0325507825,13.4674963925,212.478965479,10.9679292929,188.73483461,55.1982878233,25.6662920413,22.998015873,39.2152930403,4.2746031746,12.475,5.82063492064,6.12063492064,12.2785714286,7.48412698413,6.43849206349,12.5142857143,0.625,3.07619047619,0.75,0.75,2.40119047619,0.675,1.03333333333,3.10119047619,0.7,4.40209235209,1.04285714286,1.32424242424,6.26746031746,2.68571428571,3.40955988456,5.49372294372,10.6947843823,50.9022810523,7.67131340881,20.3089188589,49.6901570652,22.6466061716,27.4696359196,54.8687173937,24.2265623266,64.4424714175,17.6044483294,32.756962482,60.1948273948,31.9666638917,31.7634781885,53.8197163947,1.41071428571,12.2495781996,1.03571428571,1.55357142857,13.1634670885,2.82738095238,5.88807026307,10.7055305805,5.85873015873,15.2785936286,4.10952380952,8.204004329,19.5797480297,8.03621933622,4.75516983017,13.2301809302,2.9873015873,9.48979076479,1.10202020202,3.76618381618,10.1484487734,4.26926129426,5.13694083694,8.70755078255,1.11902264402,7.31437908497,0.658333333333,1.97146464646,10.2613608614,1.91150793651,3.2003968254,7.42265512266,23.0906204906,49.4594960595,15.2536796537,16.7771395271,48.4265234765,26.5426406926,20.0513542014,44.0526015651,5.03968253968,14.7735680986,3.18571428571,5.52817460317,14.558030858,5.41465756466,7.56565656565,16.9788794539,2.10515873016,14.3222943723,2.80952380952,2.24801587302,12.6833333333,3.48412698413,6.58455988456,8.71042568542,0.0,1.10119047619,0.0,0.0,1.10119047619,0.1,1.10119047619,1.69402264402,5.97023809524,29.7266594517,3.18142135642,7.12341269841,29.2516594517,7.95555555555,15.2500721501,27.669047619,115.648384948,391.058143246,96.5944166944,116.729305417,398.147938173,109.907570208,188.167626818,264.862404262,5.39206349206,367.819225219,4.475,32.8506313131,456.953207903,7.09438339438,334.570826396,348.628243978,3.60277777778,11.0278860029,1.96666666667,3.6,13.4647546898,4.71746031746,5.36908369408,11.6575757576
GR,90.2973817849,188.731888944,33.1352605728,77.5401089107,190.120883283,119.444842086,109.337912088,164.038855589,32.4083721834,142.808661192,22.8929098679,43.0313672439,145.657221945,45.9377483627,76.3789880871,141.919845166,52.7980866356,150.859264347,33.0072066822,62.5599192474,143.400528638,48.3553585304,82.7293317793,146.878928016,45.2573416779,145.075513376,27.1197112528,60.8069702356,131.589773135,63.2800439756,68.038953122,146.582799553,10.4404151404,23.6455239205,7.75741758242,9.41025641026,23.5645354645,9.45104340104,16.6173382173,31.0699078699,46.3352151933,102.48501776,25.8223581974,38.4300051256,100.017621268,62.0336889418,53.8905067155,104.130215618,119.996430367,279.680604526,65.1938718145,131.125462446,266.433580717,146.521259296,173.711015782,254.159546826,101.037081688,311.597515187,74.6830324904,119.703398253,306.90773383,139.965101767,150.917882788,293.873003282,50.7887991094,141.037803863,39.7676878677,54.5365152821,127.479538517,61.671449792,61.2074096655,127.140892441,145.293211364,464.638685334,103.977775819,157.083560884,393.647487643,175.410942712,229.688591964,423.916947758,123.172011322,371.028893737,71.2365606616,121.078590342,392.176891572,159.593393943,194.885007068,342.678865987,42.0081093743,85.0135349729,22.315433586,55.0156962319,72.8522231853,55.408305012,55.7215922966,83.4012394468,137.00098178,388.88748335,112.521315612,172.085795006,365.003311966,176.626505521,203.078564491,363.935853444,89.505985681,408.423041256,55.9473221223,115.099071598,383.682431865,124.808355533,178.111368207,389.010624506,127.455333555,511.583087746,86.653010878,169.948462648,432.383479021,160.089463314,233.849643412,427.510772561,22.914957265,50.0529442779,5.73813131313,16.7974580975,39.1243256743,29.5154734155,24.3508047508,49.0683594184,244.360015393,574.537507569,105.086657787,183.667804418,561.828420904,275.139281449,283.033047405,543.662947445,445.9010585,1541.83902794,346.94962162,502.570623249,1554.2796526,487.166034782,736.569979917,1235.88727651,276.10267094,783.633731954,189.537247475,321.604710567,695.386496836,305.140839716,404.508015595,738.844860695,228.345695971,812.115301365,150.497030747,280.392271617,695.457173382,249.06481019,384.14270313,746.858866542
