canton,winter1,spring1,summer1,fall1,winter2,spring2,summer2,fall2,winter3,spring3,summer3,fall3,winter4,spring4,summer4,fall4,winter5,spring5,summer5,fall5
AG,Anticipation,Anticipation,Joy,Anticipation,Joy,Joy,Joy,Joy,Joy,Joy,Joy,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust
AI,Anticipation,Joy,Joy,Anticipation,Trust,Anticipation,Joy,Trust,Anticipation,Fear,Anticipation,Anticipation,Joy,Trust,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Joy
AR,Anticipation,Joy,Joy,Joy,Joy,Trust,Joy,Joy,Sadness,Anticipation,Anticipation,Anticipation,Joy,Trust,Anticipation,Trust,Joy,Anticipation,Trust,Joy
BE,Anticipation,Joy,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Joy,Joy,Anticipation,Joy,Trust,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Anticipation
BL,Anger,Joy,Anticipation,Joy,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Trust,Trust,Joy,Anticipation,Trust,Anticipation
BS,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust
FR,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Joy,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust
GE,Trust,Trust,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation
GL,Trust,Joy,Joy,Joy,Anticipation,Trust,Joy,Joy,Joy,Anticipation,Anticipation,Anticipation,Joy,Joy,Trust,Trust,Joy,Joy,Anticipation,Trust
GR,Anticipation,Trust,Joy,Joy,Anticipation,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust
JU,Anger,Sadness,Joy,Sadness,Sadness,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
LU,Anger,Anticipation,Joy,Trust,Anticipation,Joy,Joy,Anticipation,Joy,Joy,Joy,Joy,Anticipation,Anticipation,Joy,Joy,Joy,Joy,Anticipation,Joy
NE,Joy,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Trust
NW,Anger,Joy,Joy,Joy,Joy,Anticipation,Trust,Joy,Anticipation,Trust,Anticipation,Joy,Joy,Joy,Joy,Joy,Anticipation,Trust,Anticipation,Joy
OW,Trust,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Trust,Joy,Joy,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Joy
SG,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Joy,Joy,Joy,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Trust,Trust
SH,Trust,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Joy,Anticipation,Anticipation,Trust,Anticipation,Trust,Trust
SO,Anticipation,Trust,Trust,Anticipation,Trust,Anticipation,Joy,Trust,Anticipation,Joy,Anticipation,Anticipation,Trust,Trust,Anticipation,Trust,Joy,Trust,Anticipation,Trust
SZ,Joy,Trust,Anticipation,Anticipation,Joy,Joy,Trust,Joy,Joy,Trust,Joy,Joy,Joy,Anticipation,Trust,Anticipation,Trust,Anticipation,Anticipation,Anticipation
TG,Anticipation,Trust,Trust,Joy,Joy,Joy,Joy,Joy,Joy,Trust,Joy,Joy,Joy,Joy,Anticipation,Anticipation,Joy,Joy,Joy,Anticipation
TI,Anticipation,Trust,Trust,Trust,Joy,Joy,Joy,Anticipation,Trust,Trust,Joy,Joy,Joy,Trust,Joy,Anticipation,Joy,Trust,Anticipation,Trust
UR,Trust,Anticipation,Anticipation,Joy,Trust,Anticipation,Anticipation,Joy,Joy,Trust,Joy,Joy,Joy,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Anticipation
VD,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Trust,Trust,Joy,Trust,Trust,Trust
VS,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Sadness,Anticipation,Sadness,Anticipation,Anticipation
ZG,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust
ZH,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation
