canton,fridays_polarity,mondays_polarity,saturdays_polarity,sundays_polarity,thursdays_polarity,tusedays_polarity,wednsdays_polarity
AG,41425,40065,42198,46671,44127,41518,41874
AI,611,561,655,626,610,558,543
AR,1542,1612,1628,1597,1410,1600,1539
BE,93740,92107,97025,95454,94962,97234,95980
BL,15745,14670,15299,17538,16711,15122,15454
BS,28583,25993,26923,26471,29187,27415,29758
FR,47030,51915,52407,60728,50380,49822,48695
GE,371355,401335,362390,420797,393135,405738,406789
GL,3867,2967,4118,5050,5276,3203,3407
GR,22304,18396,22684,23611,25123,19503,20635
JU,8285,8108,7591,9166,9206,8007,7500
LU,33172,32635,36340,37638,35366,33010,32598
NE,54756,64304,55864,70548,60221,63220,63139
NW,3644,4155,3815,6020,5345,3529,3565
OW,16576,18309,16720,17338,17294,18206,19204
SG,26040,24179,27891,30036,28566,26058,25140
SH,4910,4953,5574,7265,6557,4645,4364
SO,16267,15307,14978,16692,17274,15542,16145
SZ,5390,5362,6055,7022,6094,5406,4989
TG,15071,14766,16009,16393,16015,15176,14223
TI,61041,56176,55533,58787,56862,58190,60369
UR,1752,1559,2081,2071,2615,1945,1577
VD,178008,188388,180775,204111,182210,189164,188413
VS,75636,77099,82761,91886,77947,77664,80066
ZG,10955,11378,10177,10276,11185,11711,11476
ZH,212355,198723,194969,196054,207521,206090,208176
