canton,2012_1_polarity,2012_2_polarity,2012_3_polarity,2012_4_polarity,2012_5_polarity,2012_6_polarity,2012_7_polarity,2012_8_polarity,2012_9_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2012_13_polarity,2012_14_polarity,2012_15_polarity,2012_16_polarity,2012_17_polarity,2012_18_polarity,2012_19_polarity,2012_20_polarity,2012_21_polarity,2012_22_polarity,2012_23_polarity,2012_24_polarity,2012_25_polarity,2012_26_polarity,2012_27_polarity,2012_28_polarity,2012_29_polarity,2012_30_polarity,2012_31_polarity,2012_32_polarity,2012_33_polarity,2012_34_polarity,2012_35_polarity,2012_36_polarity,2012_37_polarity,2012_38_polarity,2012_39_polarity,2012_40_polarity,2012_41_polarity,2012_42_polarity,2012_43_polarity,2012_44_polarity,2012_45_polarity,2012_46_polarity,2012_47_polarity,2012_48_polarity,2012_49_polarity,2012_50_polarity,2012_51_polarity,2012_52_polarity,2013_1_polarity,2013_2_polarity,2013_3_polarity,2013_4_polarity,2013_5_polarity,2013_6_polarity,2013_7_polarity,2013_8_polarity,2013_9_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2013_13_polarity,2013_14_polarity,2013_15_polarity,2013_16_polarity,2013_17_polarity,2013_18_polarity,2013_19_polarity,2013_20_polarity,2013_21_polarity,2013_22_polarity,2013_23_polarity,2013_24_polarity,2013_25_polarity,2013_26_polarity,2013_27_polarity,2013_28_polarity,2013_29_polarity,2013_30_polarity,2013_31_polarity,2013_32_polarity,2013_33_polarity,2013_34_polarity,2013_35_polarity,2013_36_polarity,2013_37_polarity,2013_38_polarity,2013_39_polarity,2013_40_polarity,2013_41_polarity,2013_42_polarity,2013_43_polarity,2013_44_polarity,2013_45_polarity,2013_46_polarity,2013_47_polarity,2013_48_polarity,2013_49_polarity,2013_50_polarity,2013_51_polarity,2013_52_polarity,2014_1_polarity,2014_2_polarity,2014_3_polarity,2014_4_polarity,2014_5_polarity,2014_6_polarity,2014_7_polarity,2014_8_polarity,2014_9_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2014_13_polarity,2014_14_polarity,2014_15_polarity,2014_16_polarity,2014_17_polarity,2014_18_polarity,2014_19_polarity,2014_20_polarity,2014_21_polarity,2014_22_polarity,2014_23_polarity,2014_24_polarity,2014_25_polarity,2014_26_polarity,2014_27_polarity,2014_28_polarity,2014_29_polarity,2014_30_polarity,2014_31_polarity,2014_32_polarity,2014_33_polarity,2014_34_polarity,2014_35_polarity,2014_36_polarity,2014_37_polarity,2014_38_polarity,2014_39_polarity,2014_40_polarity,2014_41_polarity,2014_42_polarity,2014_43_polarity,2014_44_polarity,2014_45_polarity,2014_46_polarity,2014_47_polarity,2014_48_polarity,2014_49_polarity,2014_50_polarity,2014_51_polarity,2014_52_polarity,2015_1_polarity,2015_2_polarity,2015_3_polarity,2015_4_polarity,2015_5_polarity,2015_6_polarity,2015_7_polarity,2015_8_polarity,2015_9_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2015_13_polarity,2015_14_polarity,2015_15_polarity,2015_16_polarity,2015_17_polarity,2015_18_polarity,2015_19_polarity,2015_20_polarity,2015_21_polarity,2015_22_polarity,2015_23_polarity,2015_24_polarity,2015_25_polarity,2015_26_polarity,2015_27_polarity,2015_28_polarity,2015_29_polarity,2015_30_polarity,2015_31_polarity,2015_32_polarity,2015_33_polarity,2015_34_polarity,2015_35_polarity,2015_36_polarity,2015_37_polarity,2015_38_polarity,2015_39_polarity,2015_40_polarity,2015_41_polarity,2015_42_polarity,2015_43_polarity,2015_44_polarity,2015_45_polarity,2015_46_polarity,2015_47_polarity,2015_48_polarity,2015_49_polarity,2015_50_polarity,2015_51_polarity,2015_52_polarity,2016_1_polarity,2016_2_polarity,2016_3_polarity,2016_4_polarity,2016_5_polarity,2016_6_polarity,2016_7_polarity,2016_8_polarity,2016_9_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity,2016_13_polarity,2016_14_polarity,2016_15_polarity,2016_16_polarity,2016_17_polarity,2016_18_polarity,2016_19_polarity,2016_20_polarity,2016_21_polarity,2016_22_polarity,2016_23_polarity,2016_24_polarity,2016_25_polarity,2016_26_polarity,2016_27_polarity,2016_28_polarity,2016_29_polarity,2016_30_polarity,2016_31_polarity,2016_32_polarity,2016_33_polarity,2016_34_polarity,2016_35_polarity,2016_36_polarity,2016_37_polarity,2016_38_polarity,2016_39_polarity,2016_40_polarity,2016_41_polarity,2016_42_polarity,2016_43_polarity,2016_44_polarity,2016_45_polarity,2016_46_polarity,2016_47_polarity,2016_48_polarity,2016_49_polarity,2016_50_polarity,2016_51_polarity,2016_52_polarity
AG,299,34.0,54.0,82.0,59.0,38.0,63.0,65.0,49.0,59.0,84.0,72.0,46.0,46.0,47.0,268,519,483,654,630,643,799,1016,961,797,640,617,635,553,598,986,679,782,529,751,426,No Data,458,769,944,793,946,889,737,687,664,787,854,842,814,667,788,1055,873,982,768,805.0,648,715,878,452,785,817,829,733,561,944,555,1019,1021,851,821,1104,1161,1091,1519,1425,617,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,196,626,576,673,907,963,748,821,986,1171,1528,1441,1334,1202,1193,3023,261,979,968,980.0,1070,1119,1202,1187,1084,990,1037,1592,1033,817,775,1050,846,715,917,839,1038,854,1346,1097,1064,1175,1374,1321,1057,1028,1077,1054,1242,1240,971,925,985,787,586,82,No Data,No Data,643,849,812,656,710,505,431,490,595,212,646,776,694,659,No Data,877,1034,856,811,117,No Data,No Data,No Data,No Data,No Data,636,1182,1141,1050,1279,1574,1219,804,1011,1298,1337,1127,875,1169,797,926,782,1029,985,847,917,1279,351,No Data,No Data,No Data,829,6378,5226,4926,5632,1129,1015,1104,1060,864,979,993,735,711,889.0,973,831,779,777,792,853,835,872,737,838,1010,1472,715,1153,1275,2000,1259,1105,1177,1108,1030,1023,763,1095,906,1258,1078,524,No Data,No Data,820,922,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
AI,1,No Data,2.0,No Data,No Data,No Data,No Data,No Data,1.0,No Data,No Data,No Data,No Data,No Data,1.0,13,7,32,21,22,44,27,28,4,10,2,10,30,6,21,31,8,3,12,7,3,1.0,2,5,1,3,1,3,17,13,9,4,3,2,3,5,6,14,5,5,13,No Data,1,19,5,6,7,3,7,20,24,3,4,6,10,18,13,15,15,15,15,19,12,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1,9,12,12,4,12,11,6,11,4,13,3,8,4,7,10,1,7,8,No Data,8,1,11,5,12,1,14,9,5,10,2,16,25,13,48,30,16,20,34,12,41,14,8,27,29,3,11,19,46,37,23,17,18,16,16,3,No Data,No Data,1,5,15,32,9,7,7,1,9,2,5,2,4,9,No Data,13,12,7,8,1,No Data,No Data,No Data,No Data,No Data,1,11,5,12,35,7,11,6,12,13,18,15,27,28,89,9,32,17,12,29,23,32,9,No Data,No Data,No Data,7,25,26,41,26,21,31,18,17,36,6,8,12,9,No Data,7,2,6,4,12,8,52,14,12,7,18,8,18,12,6,17,44,20,8,14,34,37,10,20,28,21,23,13,No Data,No Data,11,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
AR,6,No Data,3.0,No Data,1.0,2.0,No Data,No Data,3.0,3.0,1.0,No Data,4.0,17.0,22.0,40,44,36,52,28,31,21,42,36,68,44,37,42,27,25,26,51,11,27,28,22,No Data,14,32,28,12,81,91,55,26,40,14,25,36,42,29,117,82,17,14,13,22.0,14,13,22,3,22,28,25,28,5,38,10,25,12,4,10,50,41,33,37,121,84,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,5,38,11,17,75,48,21,11,17,39,24,14,59,24,53,169,40,58,49,55.0,67,14,24,12,41,30,14,25,19,181,75,18,26,18,16,10,15,15,13,67,68,86,21,28,38,40,150,136,81,20,24,9,20,19,17,1,No Data,No Data,22,19,10,8,6,31,12,26,33,87,16,21,24,25,No Data,123,85,26,30,2,No Data,No Data,No Data,No Data,No Data,21,41,30,66,8,27,11,36,29,28,21,68,26,19,15,56,21,52,78,39,20,24,8,No Data,No Data,No Data,6,39,50,40,44,42,44,41,46,38,41,43,28,26,43.0,39,34,51,51,42,54,30,40,29,58,33,49,92,44,46,43,25,30,33,55,32,29,24,37,30,11,23,9,No Data,No Data,20,19,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
BE,697,104.0,144.0,157.0,176.0,131.0,156.0,236.0,152.0,181.0,234.0,191.0,212.0,251.0,210.0,608,1383,1512,1969,1566,1497,2125,1719,1740,1653,1896,2081,2048,1383,1689,1961,2184,2140,1916,2250,1139,No Data,1069,1603,2062,1759,1917,1751,1829,1531,1616,1576,1535,1737,1689,1705,2179,2847,2018,1633,1948,1624.0,1856,1786,1418,1387,2021,1549,1658,2000,2182,1715,1834,2254,2219,2467,1951,2270,2389,2606,3010,2984,1601,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,493,1816,1411,1939,2129,1875,1834,1666,1726,2348,1982,1900,2219,2092,2458,4878,723,2196,2109,2089.0,1979,2580,2659,2257,2749,2316,2007,2008,2045,2433,2320,2127,2467,1937,2004,2060,2000,1886,2573,2626,2246,2899,2297,2046,2223,2610,2969,2903,3357,2709,2448,3019,2528,1798,4192,831,No Data,No Data,3365,3063,3443,3013,3250,3581,2704,2588,4131,1948,3693,3380,3448,2188,No Data,2000,3114,2298,2269,215,No Data,No Data,No Data,No Data,No Data,1000,2395,2556,2107,2280,2159,2583,2151,2253,1960,2234,2137,2360,2841,2791,2831,2800,2610,2549,2138,2314,2078,895,No Data,No Data,No Data,487,2034,2292,2662,2489,2051,1944,2531,2334,2713,2465,2911,2518,2671,2378.0,2317,1738,2360,2255,2400,2585,2280,2619,2708,3035,2754,2271,2378,2776,2804,3002,2816,2897,3090,3170,3401,3095,3013,3098,2360,3020,3290,1406,No Data,No Data,2440,2623,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
BL,103,8.0,2.0,8.0,3.0,2.0,4.0,15.0,17.0,15.0,4.0,8.0,12.0,14.0,4.0,91,312,274,293,187,306,263,430,387,413,219,267,317,203,265,215,534,403,254,455,169,1.0,163,241,292,311,305,406,306,443,428,514,325,394,524,358,463,599,288,314,263,654.0,329,224,214,269,248,258,199,261,229,448,410,416,546,355,365,574,440,376,465,634,385,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,43,293,389,402,460,489,351,417,432,424,444,490,538,379,559,2227,136,469,470,498.0,458,422,364,373,419,349,486,365,433,454,271,270,256,226,271,237,329,442,700,814,532,1029,814,737,436,348,412,543,611,654,336,538,457,303,350,67,No Data,No Data,234,372,224,258,467,463,392,255,376,108,212,165,174,202,No Data,246,212,260,305,32,No Data,No Data,No Data,No Data,No Data,160,392,471,431,274,375,368,434,350,421,283,248,297,247,265,372,399,409,503,472,527,379,167,No Data,No Data,No Data,71,410,351,316,373,396,460,462,472,490,536,359,347,303,323.0,286,194,289,433,311,314,503,435,433,310,302,369,357,273,641,307,361,383,385,332,288,353,265,252,207,314,339,144,No Data,No Data,411,415,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
BS,238,66.0,45.0,75.0,46.0,27.0,31.0,41.0,25.0,72.0,39.0,31.0,35.0,28.0,41.0,239,447,453,446,555,488,846,969,746,791,760,752,711,569,674,736,748,682,641,965,454,No Data,572,772,797,702,736,717,771,744,720,772,768,652,753,708,564,805,631,589,881,951.0,568,585,907,528,631,742,634,571,484,792,702,939,849,633,639,705,638,702,1001,692,400,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,148,480,328,786,728,741,501,596,482,939,758,750,761,953,717,743,249,758,575,626.0,684,764,609,386,599,793,477,1358,935,768,664,732,710,580,732,604,409,461,685,1469,644,793,652,880,633,502,562,507,725,631,631,847,785,380,745,49,No Data,No Data,750,524,478,537,523,735,474,309,337,138,400,479,844,658,No Data,520,645,629,460,71,No Data,No Data,No Data,No Data,No Data,272,327,654,749,552,690,529,725,1301,542,556,549,487,535,607,749,625,575,768,573,914,636,267,No Data,No Data,No Data,122,677,492,564,527,528,456,625,522,521,483,504,603,622,617.0,681,571,683,782,742,1640,1211,683,681,666,756,690,782,705,2147,774,732,930,1939,1002,802,820,772,763,709,643,668,411,No Data,No Data,690,798,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
FR,267,11.0,11.0,14.0,11.0,14.0,5.0,11.0,22.0,2.0,20.0,13.0,17.0,7.0,8.0,444,1223,1057,958,1213,798,1060,876,968,997,1172,1063,753,633,1240,1088,1104,581,492,520,435,1.0,700,1120,1463,1756,1614,1804,1618,1514,1422,1459,1532,1837,1812,1645,1828,2445,2221,2098,1999,1845.0,1544,1114,1728,1311,1837,1982,1327,1827,1051,2096,1853,2326,2080,2843,2491,2204,1570,1625,1619,2446,1330,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,221,947,851,970,1445,1424,1228,991,1568,1963,2908,2668,2937,2220,3186,3754,809,2100,2208,1699.0,1869,1944,1921,1674,1783,1568,1728,1574,1525,1565,1609,1324,1719,1207,1285,1096,1342,1211,1565,1775,1479,1749,1832,1875,1585,2056,2572,1660,1181,1960,1667,791,1111,566,521,102,No Data,No Data,1041,846,962,856,1183,764,606,556,924,197,901,998,633,406,No Data,656,682,1082,634,49,No Data,No Data,No Data,No Data,No Data,400,1110,880,681,585,747,695,881,1098,792,630,577,716,696,948,823,585,915,965,1323,1228,919,591,No Data,No Data,No Data,156,635,919,864,903,986,896,868,722,587,509,610,591,691,722.0,603,550,937,988,676,775,780,631,577,832,702,548,626,723,701,721,759,877,771,749,855,645,818,700,688,596,818,395,No Data,No Data,855,784,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
GE,2539,150.0,162.0,185.0,209.0,146.0,137.0,412.0,204.0,242.0,295.0,153.0,224.0,144.0,178.0,1767,3255,2900,5002,3544,4250,3871,4867,4637,4223,3680,3973,4158,2846,4021,3872,5941,4056,4147,5440,2739,7.0,3020,4537,4551,5558,6491,6552,7559,7811,9954,9541,9952,11432,11092,11917,12156,19105,17021,17608,16898,18036.0,15661,16724,16720,17586,22517,22002,23785,20886,17879,23200,19491,23258,26440,24002,21734,25148,23586,21026,23287,25581,13009,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1.0,No Data,1.0,4365,15066,14404,13112,15443,15226,14903,12048,12453,15761,17628,18442,16983,15233,17067,16600,5400,16465,16131,14854.0,15186,14369,13735,15071,15374,11395,11387,11234,11768,11885,11068,10954,12642,13136,11850,12211,12534,11394,16896,17803,15700,14768,13589,10472,11173,11041,11323,12041,12589,17533,11434,13316,9814,7338,8130,1804,No Data,No Data,7287,7816,7632,6961,6069,7813,6097,5680,6867,3229,7775,7309,6883,5622,No Data,5490,5984,5837,7386,679,No Data,No Data,No Data,No Data,No Data,2589,6570,6297,5434,5944,5329,5879,5920,5916,6227,6981,5659,4985,6126,5374,5564,6396,6312,6681,5848,5453,6813,2565,No Data,No Data,No Data,722,5595,5022,7113,6195,5139,5979,6619,5350,4405,5135,6957,5770,5317,4556.0,4940,2935,5429,7340,5830,5422,5637,5285,6789,5542,5042,6127,5535,5797,5826,7197,5286,5736,7208,6524,6823,4883,5102,4444,5036,4419,5595,2229,No Data,No Data,3683,4931,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
GL,20,No Data,2.0,2.0,1.0,1.0,1.0,1.0,No Data,4.0,4.0,1.0,2.0,2.0,1.0,34,46,48,54,82,107,71,21,13,26,80,72,60,40,62,81,50,56,40,54,9,No Data,30,62,54,73,83,88,52,61,77,56,84,98,73,64,36,66,63,72,70,108.0,38,55,102,39,131,137,176,198,79,107,163,118,153,143,137,152,131,62,73,118,37,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2,30,41,31,33,20,10,15,10,43,27,238,351,34,125,2165,4,23,27,10.0,15,34,10,8,11,44,38,38,39,56,210,41,59,74,24,63,69,46,46,36,24,39,40,26,21,29,44,99,112,92,90,53,169,171,256,76,No Data,No Data,188,165,186,295,700,1255,69,60,94,107,120,68,58,242,No Data,180,165,149,236,39,No Data,No Data,No Data,No Data,No Data,79,163,151,255,179,200,171,129,129,117,139,68,76,53,75,113,118,126,155,174,164,148,56,No Data,No Data,No Data,9,38,16,11,4,12,8,11,12,23,22,12,20,23,19.0,20,19,13,10,14,12,66,11,10,10,14,36,19,19,20,18,16,23,25,6,14,15,20,11,16,20,19,5,No Data,No Data,17,17,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
GR,352,26.0,31.0,225.0,49.0,38.0,64.0,43.0,102.0,30.0,40.0,53.0,34.0,20.0,24.0,102,368,170,325,292,493,362,347,213,240,239,577,432,353,535,620,679,506,473,355,128,No Data,137,243,275,592,326,261,237,248,316,384,335,459,409,566,713,1193,496,554,1777,604.0,704,510,596,671,391,397,438,609,328,439,477,369,364,280,212,351,728,602,687,384,384,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,88,421,340,306,257,466,239,145,202,230,314,710,958,608,1463,5701,187,499,2291,513.0,539,845,666,660,621,640,394,474,339,333,274,399,339,260,339,334,271,398,412,431,442,434,435,388,557,516,445,771,566,725,347,318,203,253,166,43,No Data,No Data,157,391,228,206,288,205,376,267,602,429,825,403,2531,562,No Data,882,1044,955,800,181,No Data,No Data,No Data,No Data,No Data,59,83,92,156,126,139,265,221,347,396,485,447,415,449,459,621,605,576,930,455,456,237,142,No Data,No Data,No Data,45,337,365,331,236,309,273,310,655,626,526,479,3283,569,629.0,577,422,590,562,787,812,637,607,551,375,271,226,352,282,283,289,248,630,375,436,493,679,673,597,798,687,579,202,No Data,No Data,321,417,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
