canton,2012_01_tweets,2012_02_tweets,2012_03_tweets,2012_04_tweets,2012_05_tweets,2012_06_tweets,2012_07_tweets,2012_08_tweets,2012_09_tweets,2012_10_tweets,2012_11_tweets,2012_12_tweets,2013_01_tweets,2013_02_tweets,2013_03_tweets,2013_04_tweets,2013_05_tweets,2013_06_tweets,2013_07_tweets,2013_08_tweets,2013_09_tweets,2013_10_tweets,2013_11_tweets,2013_12_tweets,2014_01_tweets,2014_02_tweets,2014_03_tweets,2014_04_tweets,2014_05_tweets,2014_06_tweets,2014_07_tweets,2014_08_tweets,2014_09_tweets,2014_10_tweets,2014_11_tweets,2014_12_tweets,2015_01_tweets,2015_02_tweets,2015_03_tweets,2015_04_tweets,2015_05_tweets,2015_06_tweets,2015_07_tweets,2015_08_tweets,2015_09_tweets,2015_10_tweets,2015_11_tweets,2015_12_tweets,2016_01_tweets,2016_02_tweets,2016_03_tweets,2016_04_tweets,2016_05_tweets,2016_06_tweets,2016_07_tweets,2016_08_tweets,2016_09_tweets,2016_10_tweets,2016_11_tweets,2016_12_tweets
AG,337,352.0,415,1252,3975,5157,3823,4760,2556,5139,4803,4859,5492,4027,4741,4873,6541,7058,No Data,No Data,1544,4837,6463,8801,7876,6703,7699,5718,5845,6687,7683,7498,5491,1344,4530,3080,4066,3701,1556,2200,7958,6904,6412,6129,4794,10902,22227,6180,5363,5586,5392,5814,8195,6930,5918,3783,2102,No Data,No Data,No Data
AI,2,No Data,1,30,254,83,93,69,23,28,65,28,50,40,66,64,75,71,No Data,No Data,34,66,46,34,23,51,58,59,217,150,99,185,130,11,75,40,26,40,14,14,84,75,197,114,104,38,144,141,56,22,107,84,107,140,163,84,28,No Data,No Data,No Data
AR,8,4.0,21,155,217,247,178,165,83,301,291,294,94,78,132,137,176,394,No Data,No Data,67,189,173,305,401,181,151,411,79,269,336,489,138,31,70,236,262,494,40,75,183,191,161,323,112,77,266,240,209,238,283,251,328,221,177,66,42,No Data,No Data,No Data
BE,857,953.0,1228,3791,10462,10813,11225,12161,6118,10986,10191,11378,12021,9394,11316,11811,14479,14579,No Data,No Data,3810,11589,11523,14283,12998,13489,14120,13598,12934,14154,14540,18514,15196,9473,19349,20506,20766,9929,3773,3857,15809,12819,14984,15896,9655,4154,14305,15418,16763,13746,15077,16134,16863,18840,17892,10460,6328,No Data,No Data,No Data
BL,31,46.0,58,590,1747,2178,1502,2312,1006,1939,2578,2719,2169,1846,1548,2198,2861,2663,No Data,No Data,587,2548,2639,4164,4510,2538,2582,1980,1795,3706,4352,3585,2394,659,1957,2038,1189,975,503,704,2311,2274,1718,2705,1898,766,2266,2797,2599,2008,2371,2355,2312,2204,1830,1133,984,No Data,No Data,No Data
BS,292,215.0,234,1104,3189,4820,4033,4543,2798,4274,4578,4078,4322,3752,3878,4551,4286,4408,No Data,No Data,1028,3945,3966,4814,3944,3442,5231,4584,3767,4699,4343,3711,3978,1755,3191,2691,3319,2270,773,781,3997,4627,3319,4058,2947,1332,3183,3136,3389,3687,6484,4158,5894,6729,4598,2255,1754,No Data,No Data,No Data
FR,70,82.0,92,3065,6963,5741,5835,4874,4036,10359,9275,11066,13025,8717,10827,11920,15259,10313,No Data,No Data,2340,7518,11440,18946,14263,10240,10864,9457,8382,9524,11310,12409,5850,1617,6186,4328,4391,3214,1022,1699,5468,5390,4412,5640,5305,1254,5550,4604,3673,4596,4528,3947,4671,5081,4396,2693,1946,No Data,No Data,No Data
GE,911,1135.0,1275,7479,23555,24689,22197,28324,15153,35429,55794,68814,109081,94135,135737,130695,150881,122086,No Data,1.0,34539,91539,87144,108856,93185,83968,78294,68071,76937,92002,74523,81543,61527,17980,42455,39176,43373,22983,11607,9732,35427,35935,34587,37856,25944,9580,34959,33122,33291,25824,35200,34155,35949,37315,29222,15918,10355,No Data,No Data,No Data
GL,20,4.0,12,137,481,273,380,359,174,410,429,530,370,575,808,706,879,437,No Data,No Data,65,168,140,2157,2227,106,231,501,340,238,186,535,824,522,2472,2210,748,798,450,284,1410,871,476,879,706,88,99,102,133,104,152,94,121,100,111,64,45,No Data,No Data,No Data
GR,554,356.0,375,684,2071,1681,3052,3145,878,1932,1827,3717,5346,3738,3181,2602,2213,2816,No Data,No Data,804,2026,1386,8616,10031,3850,3513,2182,2085,2526,3087,3798,1730,416,1714,2978,6519,3872,1526,167,840,2354,2803,4068,1618,608,1816,3788,6785,3509,4695,2138,2043,2695,4680,2063,914,No Data,No Data,No Data
