canton,01_2012,02_2012,03_2012,04_2012,05_2012,06_2012,07_2012,08_2012,09_2012,10_2012,11_2012,12_2012,01_2013,02_2013,03_2013,04_2013,05_2013,06_2013,07_2013,08_2013,09_2013,10_2013,11_2013,12_2013,01_2014,02_2014,03_2014,04_2014,05_2014,06_2014,07_2014,08_2014,09_2014,10_2014,11_2014,12_2014,01_2015,02_2015,03_2015,04_2015,05_2015,06_2015,07_2015,08_2015,09_2015,10_2015,11_2015,12_2015,01_2016,02_2016,03_2016,04_2016,05_2016,06_2016,07_2016,08_2016,09_2016,10_2016,11_2016,12_2016
AG,Anticipation,Anger,Anticipation,Joy,Joy,Anticipation,Trust,Joy,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Joy,Joy,Joy,Joy,Joy,No Data,No Data,Joy,Joy,Joy,Joy,Anticipation,Joy,Joy,Anticipation,Trust,Anticipation,Anticipation,Joy,Joy,Anticipation,Joy,Joy,Trust,Trust,Trust,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,No Data
AI,Anticipation,No Data,Anger,Trust,Joy,Joy,Anticipation,Joy,Fear,Anticipation,Trust,Trust,Trust,Surprise,Joy,Trust,Anticipation,Joy,No Data,No Data,Joy,Trust,Trust,Joy,Joy,Anticipation,Anticipation,Joy,Fear,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Joy,Joy,Anticipation,Joy,Trust,Joy,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Trust,Joy,Joy,Anticipation,Trust,Joy,Joy,No Data,No Data,No Data
AR,Anger,Sadness,Sadness,Trust,Joy,Anticipation,Joy,Joy,Joy,Trust,Joy,Joy,Joy,Joy,Trust,Anticipation,Anticipation,Joy,No Data,No Data,Trust,Joy,Anticipation,Sadness,Sadness,Anticipation,Trust,Anticipation,Sadness,Anticipation,Trust,Anticipation,Anticipation,Sadness,Sadness,Joy,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust,Joy,Joy,Anticipation,Joy,Joy,Anticipation,Anticipation,Joy,Trust,Joy,No Data,No Data,No Data
BE,Trust,Anticipation,Trust,Trust,Joy,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Joy,Anticipation,Joy,Anticipation,Trust,Anticipation,Anticipation,No Data,No Data,Joy,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Joy,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Joy,Anticipation,Trust,Anticipation,Trust,Joy,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,No Data,No Data,No Data
BL,Trust,Anticipation,Sadness,Joy,Anticipation,Trust,Anticipation,Joy,Trust,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Trust,No Data,No Data,Trust,Anticipation,Joy,Anticipation,Anticipation,Trust,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Joy,Trust,Anticipation,Joy,Trust,Trust,Anticipation,Trust,Joy,Trust,Trust,Anticipation,Anticipation,Joy,Trust,Joy,Joy,Trust,Anticipation,Trust,Trust,Anticipation,Anticipation,No Data,No Data,No Data
BS,Anticipation,Anticipation,Trust,Trust,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,No Data,No Data,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Joy,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Joy,Joy,Anticipation,Anticipation,Joy,Anticipation,Trust,Trust,Anticipation,Trust,Trust,Trust,No Data,No Data,No Data
FR,Trust,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,No Data,No Data,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Joy,Trust,Trust,Trust,Joy,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Trust,Trust,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust,No Data,No Data,No Data
GE,Trust,Anticipation,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation,No Data,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Trust,Anticipation,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Joy,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,No Data,No Data,No Data
GL,Trust,Anticipation,Trust,Joy,Joy,Joy,Anticipation,Anticipation,Joy,Joy,Joy,Anticipation,Anticipation,Joy,Anticipation,Trust,Trust,Joy,No Data,No Data,Anticipation,Joy,Trust,Joy,Anticipation,Joy,Anticipation,Joy,Anticipation,Trust,Anticipation,Anticipation,Joy,Joy,Anticipation,Joy,Trust,Trust,Anticipation,Trust,Joy,Joy,Anticipation,Trust,Anticipation,Trust,Trust,Joy,Anticipation,Trust,Trust,Anticipation,Joy,Anticipation,Joy,Anticipation,Trust,No Data,No Data,No Data
GR,Trust,Anticipation,Anticipation,Trust,Trust,Anticipation,Joy,Joy,Joy,Joy,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Joy,Anticipation,No Data,No Data,Trust,Anticipation,Joy,Joy,Anticipation,Joy,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Joy,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,No Data,No Data,No Data
