canton,fridays_polarity,mondays_polarity,saturdays_polarity,sundays_polarity,thursdays_polarity,tusedays_polarity,wednsdays_polarity
AG,0.04465392812134624,0.038514638138924806,0.040840853586141854,0.04146643809135037,0.04190499492830617,0.03755764059926928,0.03804302723381376
AI,0.033073900095176696,0.03140204517209864,0.03502373792450127,0.043143092264498,0.03529964116029687,0.03879501621437102,0.033271348050353575
AR,0.03063905218574484,0.05862216369076681,0.02715490897309081,0.036783195465181454,0.033438875244256996,0.023837095196470214,0.04471199213201277
BE,0.036777466542945274,0.036668160656331814,0.03534204405137783,0.03504182404624426,0.03693585763024511,0.035667437088616,0.03396370470722615
BL,0.0295730131849441,0.037193728782085864,0.03546125173836583,0.0349464790746584,0.04160298922880447,0.0321429739562747,0.030206758131822675
BS,0.03874231467587049,0.040174987416195025,0.037921700218594104,0.03939977119809826,0.03967414251116923,0.03572027081612292,0.03796225178630583
FR,0.017527211304980056,0.018065728489647444,0.017584098867951842,0.01564492993665821,0.021470484699353247,0.016132612744861573,0.017025322561209595
GE,0.018019920446791397,0.017504949285422206,0.015093321306959756,0.012530622538685584,0.018830504347849417,0.01769221910551727,0.016900748008055896
GL,0.06533661508448156,0.021701287234654334,0.04925716349647863,0.033263505471426306,0.0480674493563045,0.020511512284849816,0.05147807953061837
GR,0.04413962851647482,0.04096040863603798,0.0419034995335655,0.04303406476863788,0.05416057509619554,0.0397541220276041,0.04545013289388873
JU,0.02266342925143382,0.016781013391167762,0.028140214067592394,0.022050752095898022,0.02992253249470407,0.013195683821400832,0.01054379464475438
LU,0.03183854749807155,0.03238124312429267,0.036054762107587464,0.03681063415840951,0.03699258450511805,0.038761381298190206,0.03489007855931366
NE,0.010663117835172858,0.011919804286233515,0.007135727481429656,0.008914560020030774,0.012087016449102268,0.006040883293385848,0.00822647325911648
NW,0.044331777111328276,0.042039788428618274,0.03758088434578296,0.041720198934997635,0.06270081174045868,0.030775251793954007,0.035628541631346614
OW,0.04291962235496971,0.056766139473141713,0.04563532643416716,0.040063437487450164,0.05694185019786658,0.053575940259571735,0.052641124737487235
SG,0.0411101418433405,0.039311489080076915,0.03978886271521825,0.04649355011246192,0.04627108010673306,0.03311183374810636,0.032956644934176035
SH,0.028069860467128987,0.03282001600534031,0.024313066436554683,0.036242262158904005,0.0477064240840492,0.02981843237494478,0.03080733589225713
SO,0.039620302880548214,0.032035181236046525,0.02779780348145318,0.03867613421550825,0.035646371236846115,0.030549638080069285,0.02568097883984197
SZ,0.050360663458311535,0.05219006122353731,0.04794997176147888,0.05245648591898712,0.053605898668665254,0.0487772336933099,0.044786406024512115
TG,0.04318947385145912,0.04644580795311621,0.05318592891029159,0.04634587828064381,0.045920583164343616,0.038011408206656654,0.0502634035535383
TI,0.04250300841804687,0.042916378312874905,0.042270810546076135,0.04084653871152015,0.04653383669412897,0.04376802421113139,0.04061589278503313
UR,0.05983559185613978,0.05889823329688638,0.05892733394535418,0.04982360528984778,0.04188825764520307,0.059504554999413505,0.03795623984273319
VD,0.027544321308570954,0.026626651100018016,0.027516557947785358,0.024699057222437096,0.02676636987837672,0.02585849654964548,0.025305140242665492
VS,0.01370861883762643,0.011622181343668455,0.02039567969245329,0.01570142141633756,0.015257453973433735,0.012587027357970631,0.013532720598421219
ZG,0.04836988801791331,0.048968963063527694,0.04896739686100339,0.05376683320063645,0.047341984319290924,0.046897633057439214,0.04286725304871792
ZH,0.04217499584557998,0.03814113282294256,0.04038118077729227,0.03902053557675789,0.04023298754069897,0.03882552670927302,0.041350795171543005
