canton,2012_01_polarity,2012_02_polarity,2012_03_polarity,2012_04_polarity,2012_05_polarity,2012_06_polarity,2012_07_polarity,2012_08_polarity,2012_09_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2013_01_polarity,2013_02_polarity,2013_03_polarity,2013_04_polarity,2013_05_polarity,2013_06_polarity,2013_07_polarity,2013_08_polarity,2013_09_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2014_01_polarity,2014_02_polarity,2014_03_polarity,2014_04_polarity,2014_05_polarity,2014_06_polarity,2014_07_polarity,2014_08_polarity,2014_09_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2015_01_polarity,2015_02_polarity,2015_03_polarity,2015_04_polarity,2015_05_polarity,2015_06_polarity,2015_07_polarity,2015_08_polarity,2015_09_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2016_01_polarity,2016_02_polarity,2016_03_polarity,2016_04_polarity,2016_05_polarity,2016_06_polarity,2016_07_polarity,2016_08_polarity,2016_09_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity
AG,0.030752201968819174,0.005324173932128479,0.024778986074166807,0.02723161534064087,0.023968604770491553,0.021661249060044546,0.029597718307501214,0.050984187758470835,0.020920687230063118,0.028511965108836794,0.02598944388646743,0.026847455787839314,0.030125788087234658,0.03336154227559845,0.030380235181772068,0.03120917397634244,0.05049132310434316,0.055597408847705664,No Data,No Data,0.04432562019912044,0.04486676865734124,0.04944236263544803,0.07617038803743834,0.05681481755322988,0.04908996280484099,0.04458120286254943,0.04858886852436638,0.03679810881403492,0.036093483479127525,0.03846375804028575,0.039048536616809834,0.050712689871420226,0.033432603689300136,0.045695654999316916,0.03781032726549091,0.03070870793140839,0.038739094488732834,0.037866226616604715,0.03193374654905407,0.039380987384476256,0.038454377525633084,0.05728798686797918,0.056312547724398775,0.058796037635855836,0.016230778959015563,0.01812662845779008,0.05699180943112974,0.06516594175087535,0.04780990755077757,0.05779943393199543,0.043925032181193695,0.02971564692072175,0.04457003073886185,0.0501876621899285,0.03470997311203495,0.040081467454207716,No Data,No Data,No Data
AI,0.0625,No Data,0.0,0.04845238095238095,0.012022218813557393,0.0486708739720788,0.034467682854779635,0.022765700483091785,-0.01884057971014494,0.03749999999999999,0.011556776556776555,-0.0014880952380952367,0.042714285714285705,0.14259920634920636,0.04439087848178758,0.05309709821428571,-0.0025555555555555553,0.09532193158953721,No Data,No Data,0.08382352941176471,0.035527898027898026,0.07589717046238786,0.05906862745098039,0.0712215320910973,0.04263269410328233,0.06546250684181719,0.03214958299704063,0.002755833516202182,0.01653150553150553,0.025389173116445854,0.029135954135954132,0.06997890997890997,-0.011363636363636364,0.057216931216931215,0.03791666666666667,0.09026529026529027,0.08077380952380953,0.07440476190476189,0.11904761904761904,0.045020786092214674,0.04037662337662337,0.009079316059011492,0.052478418267891985,0.044533484677715444,0.008187134502923974,0.00586595117845118,0.03504497866199994,0.016766517212945784,0.049621212121212115,0.025408288492400646,0.017554799697656838,0.09123646343272508,0.03579519686662544,0.032080223798015214,0.05241316223459081,0.0734126984126984,No Data,No Data,No Data
AR,0.09027777777777778,-0.03571428571428571,-0.005952380952380952,0.040063538611925714,0.03385101841323039,0.016021377408017082,0.07109842404786225,0.04046044864226682,0.057272680465451545,0.053543803003935915,0.039975850800593064,0.05294265447326672,0.07979183936630746,0.042552355052355044,0.027447089947089953,0.004379825365226823,0.010127002101433916,0.04764077574991271,No Data,No Data,0.08443496801705758,0.20046771470121502,0.10293625770504386,-0.0037031547687285575,-0.035958085604190906,0.008248028828139324,0.03651804413393817,0.010911634999226245,-0.002898332328712075,0.03653423713832635,0.0019253976843262531,0.02336661093427604,0.03846905912123304,0.005307358675480115,0.020634920634920634,0.02470931845931847,0.015234998250265426,0.006793476429103959,0.05900641025641025,0.02902164502164502,0.030839955430119366,0.021443114767722104,0.04664569385066279,0.007188704828023714,0.013520408163265305,0.01792255363683935,0.0408652192320923,0.06138062169312171,0.09351029087871192,0.06960284113645457,0.10524439243520513,0.06462246253082907,0.059581805389732186,0.022861071144275828,0.05233672479435193,0.026845839345839343,0.07142857142857142,No Data,No Data,No Data
BE,0.02052708732988779,0.02310760534789914,0.024947332571518235,0.026986286974104413,0.02781083519482626,0.02489847335201038,0.03133202440883761,0.032066477130425625,0.02779020556795523,0.020398068049677406,0.028657888655680763,0.028830252568774653,0.02667313494693932,0.027024101949367944,0.016889470470864136,0.02157065224924446,0.021527623457192776,0.017888334078039865,No Data,No Data,0.0347190721093722,0.025081634875530365,0.028248456904675874,0.043372586949576325,0.033476716995561394,0.02803262928221988,0.03336718974867814,0.0409037035591073,0.030679952843777728,0.029652785244152192,0.03510471650163413,0.03753863517298533,0.03261398299203017,0.03779719855467885,0.022675815780110357,0.02441480482556521,0.019466534471453138,0.025617342986671284,0.02835243606980873,0.04498271465588328,0.04166748260157683,0.044625461634622964,0.06309840346071287,0.05141256497851069,0.048666083747771885,0.04501552294537084,0.04290834421036896,0.05439075767101718,0.05024461037779083,0.03876984263310536,0.04829864695579407,0.056368141720568116,0.05076152539158888,0.03932889932837564,0.05015421575070372,0.055747717646829134,0.057112510386707005,No Data,No Data,No Data
BL,0.035666573569799374,0.018417874396135264,0.002011494252873563,0.11311694426101206,0.030898804029212485,0.02887776505200752,0.03371751325313246,0.03887886431139029,0.031797343092074694,0.03597651202731141,0.03634143057943995,0.03087214265036996,0.033290186642232905,0.032034247732737345,0.021659709883604068,0.041971362914533156,0.024626828567758337,0.027383027181463276,No Data,No Data,0.043586181747570646,0.04653253351598076,0.03853838611489683,0.057453584357118385,0.05240589756483229,0.02989300837630075,0.030227651304563893,0.02300815805776404,0.03232612681981854,0.027698661480525556,0.024913721227620172,0.04496645083342107,0.036433382531163766,0.02504621916609777,0.03819869471790186,0.036891437598722904,0.023699854019450316,0.03633642141334448,0.051345857036711885,0.02069816486803451,0.02829188894554031,0.024086343759826635,0.026987111969649837,0.037118573425363954,0.025909540056010046,0.031185611603366175,0.02412311810480393,0.03151912194189635,0.023005776284186538,0.030640735564789374,0.028831618558278926,0.037644648035194544,0.035776330191338884,0.04435681266677053,0.03596912535405406,0.047737650208965345,0.02340945004368604,No Data,No Data,No Data
BS,0.034155408898559586,0.02602265571485819,0.030545570289160034,0.0286325025115786,0.03153463993483925,0.031143554175192913,0.011010361199244144,0.007673200825723792,0.021305834087285126,0.021538524726821533,0.023685670144851446,0.03335415178886988,0.031877969259389946,0.024769866806270913,0.028795997473338355,0.022057189515469474,0.02769882337047163,0.024636073343136798,No Data,No Data,0.031067238533191828,0.02902982947085875,0.04527125114874466,0.04011564852949494,0.03648488386605112,0.043144755979077694,0.04149599160745941,0.03548815101774412,0.0461928273993558,0.04551777293208513,0.03873535887510372,0.026154128781609384,0.035630911357887665,0.025680677579873183,0.029613069168251998,0.03670060533215491,0.02979590347640613,0.03191192862448373,0.0410035594705711,0.04450061249036921,0.04510616012864018,0.05443599208282831,0.038485240002223614,0.03761084635925555,0.047396993446814736,0.04286260327927003,0.052153256995387025,0.04355192090364283,0.044178708896524366,0.042957327656150276,0.07573018880536019,0.07378174584958815,0.055706753893469206,0.06609132825695453,0.048412112781531715,0.04472801281005275,0.04315378970453093,No Data,No Data,No Data
FR,0.04073799216656359,0.04984030197444832,0.03157349896480331,0.021016992994149445,0.015302291460264234,0.014886660585528046,0.014282397360803532,0.018823855167863557,0.004508412402516393,0.01159143962849675,0.013421143654393279,0.013407350865185482,0.014253098570278547,0.008249702059518544,0.00789762851871942,0.012669158971763907,0.012882337367763631,0.009141708788488244,No Data,No Data,0.0146689253919646,0.01005089552504347,0.01007656611884283,0.017736269503870573,0.02332968876099697,0.01177727878050931,0.011403857298879536,0.012407756103913335,0.016324986190490203,0.008451435842482636,0.01380311176632754,0.0255078692254146,0.02666827917818229,0.017190726682705295,0.010197338524967618,0.017008481779871045,0.015247467243132109,0.01647092998350363,0.016081074557101945,0.014674830889203938,0.01700929188336928,0.02837355235038709,0.026296351686032664,0.0272189361680131,0.015420190537507912,0.031474984832229276,0.03288235086764496,0.050784971282459006,0.040681488617740444,0.030191540911860375,0.03686054812717496,0.03713398960720085,0.03221113195422767,0.02865551648109352,0.024541244783841478,0.026590275254841325,0.038752865059089,No Data,No Data,No Data
GE,0.03998525715046021,0.0636605990680881,0.04687845705492768,0.029156639687953952,0.030538759141635466,0.023264419830613708,0.02539488978773299,0.019107353163248214,0.01945755763690639,0.013516864303511482,0.010528205323622733,0.005962582681410336,0.005102556363629511,0.00601874299923543,0.00683735198381851,0.006330070167885047,0.007938147701120073,0.0075421155314598625,No Data,0.16666666666666666,0.01289960699352765,0.010144065591993563,0.01104920337365742,0.012329127899249136,0.011828700028500845,0.0127922133578604,0.016318469132352464,0.01739787884651353,0.01895763659755619,0.01082010780069658,0.008165712501525235,0.011745349101481534,0.017420221448161546,0.019156882557836683,0.01796695721551721,0.02062573307067344,0.01788497461407195,0.029140417141300556,0.030682471536597335,0.02153580509158606,0.029714437101968565,0.03126578780875253,0.04110003486052379,0.03306158393524254,0.03530799745316217,0.04098429050916105,0.02963621693569802,0.03485445701516066,0.035084043871388054,0.03364176848426698,0.035870145041899115,0.03480907425030304,0.04646394488778903,0.04474647254048924,0.04228458728085266,0.042186312867745566,0.04490888963892974,No Data,No Data,No Data
GL,0.03996212121212121,0.0,-0.004734848484848488,0.022300692008721205,0.01349041349041349,0.015874693072495272,0.006513252829042302,0.008468798301667383,0.016260718846925742,0.016417935045983836,0.009072208547733022,0.022848294263388583,0.015820463320463322,0.01700345065562457,0.008268505421970771,0.020204437520301547,0.023189539571792112,0.02381677564743925,No Data,No Data,0.04238300161377084,0.05499914272235701,0.027669195883481598,0.0708620115782842,0.09237519328448836,0.05404380734569415,0.022377970754594138,0.037670906383481216,0.04838658890129478,0.028072062158196617,0.08437252711446255,0.02788388143528329,0.03515731167430195,0.013540025321634517,0.008724582905408144,0.201770107720334,0.01292929812314839,0.007715279707760909,0.005379188712522046,0.004212776659959758,0.009633552027169038,0.00551050556791085,0.007500575987970944,0.00997579402016262,0.014787085750258555,0.003111471861471861,0.0004489337822671123,0.050112822906940545,0.023467489068992823,0.03480998168498168,0.002842880803407119,0.06421433176752325,0.0804276531549259,0.018996392496392494,0.06430716430716431,0.028071342719780217,0.09150793650793651,No Data,No Data,No Data
GR,0.047335746884483304,0.04627839389075343,0.024288052688052696,0.024346630870753668,0.02886852967554253,0.03742914498417185,0.05154638679641574,0.05311209748926018,0.059951308499144505,0.02565026200507569,0.029297264190531868,0.03865593781619515,0.05215311070111653,0.03734247278353126,0.028419478939570676,0.020056986313711916,0.021282426254243564,0.015938567648184212,No Data,No Data,0.01986232153045146,0.029031927428430818,0.04969718833355205,0.06112945531136386,0.0755302975918335,0.05561608904500226,0.04943705632454376,0.029559542206803267,0.019924998591947407,0.026277810068155202,0.030909885215893346,0.034368956489497796,0.03528402040175253,0.03391571035801804,0.037955583733005005,0.055900863091091386,0.06174379861035584,0.027233760414287274,0.027323863881858642,0.06391466151945195,0.049923564705602545,0.0472934125406139,0.04665405995677134,0.03989654475783658,0.03078833506831038,0.037669418939978154,0.025164464352482686,0.049245737904971366,0.06977108803748412,0.03711085390338738,0.04808247751538482,0.03378705609797065,0.03224697156199275,0.04082863539264279,0.04669702448548595,0.044103072696141096,0.027989204753427963,No Data,No Data,No Data
