canton,winter1_Polarity,spring1_Polarity,summer1_Polarity,fall1_Polarity,winter2_Polarity,spring2_Polarity,summer2_Polarity,fall2_Polarity,winter3_Polarity,spring3_Polarity,summer3_Polarity,fall3_Polarity,winter4_Polarity,spring4_Polarity,summer4_Polarity,fall4_Polarity,winter5_Polarity,spring5_Polarity,summer5_Polarity,fall5_Polarity
AG,0.022685459737252545,0.024752298048558226,0.034027938298584394,0.025990043546251784,0.029924158199474003,0.03877305751835407,0.055597408847705664,0.04710411922266448,0.06188618942889573,0.04340913597129755,0.03793945969458953,0.04666943392778623,0.03546517960077599,0.03778111564188298,0.0502936075719876,0.022722799550900223,0.056776174285458086,0.04177900166888813,0.04432618159720641,0.040081467454207716
AI,0.06540404040404041,0.015814789499000028,0.03598371583065459,0.011791871921182263,0.06608488027979555,0.029933393165100484,0.09532193158953721,0.0594939117199391,0.053895333061999735,0.0188373253493014,0.023924897427201577,0.061405222863556194,0.06692940183506221,0.057947137188208604,0.027977750516610615,0.02023528142409261,0.03198134688960377,0.0468308443979585,0.037837492682453906,0.0734126984126984
AR,0.0328207671957672,0.03417434982320477,0.039472497841141915,0.048153021875244055,0.05661943564304076,0.01349529060203217,0.04764077574991271,0.14301518302714478,-0.015846405088894656,0.015241713564646476,0.020019118975323946,0.02894436285403551,0.013285227876961745,0.03416305916305915,0.0206333974667308,0.030251583868261312,0.07465561848821764,0.07604087392370464,0.034671815535152244,0.07142857142857142
BE,0.026894444165949535,0.02738177741263006,0.02955903958383575,0.025138897107475706,0.027522116995610177,0.020145473637207548,0.017888334078039865,0.027800969475589143,0.035142339055603926,0.03503315434245534,0.034424639719372534,0.029360927506581546,0.02264109375015924,0.04006968318475461,0.053428554498910694,0.045197032966818367,0.048207033207240506,0.05187073888901537,0.04707231772639445,0.057112510386707005
BL,0.025949101403646858,0.05045339224204509,0.03394983502627016,0.03538562230769147,0.031969556282743,0.029701777375256474,0.027383027181463276,0.04257928386590847,0.04918442548514851,0.02857155045844436,0.03197461826567411,0.035625114126346884,0.033029958860860145,0.030068513220496314,0.030094362429343536,0.02590820915618074,0.028365218879151975,0.03406191945537625,0.042127476718064404,0.02340945004368604
BS,0.03440222557554489,0.030775770482139995,0.017122728366097833,0.022326384238779976,0.030178682882753723,0.02601418046813614,0.024636073343136798,0.03647002802668967,0.03979650525153102,0.040770990809698836,0.037573406297419745,0.03152226112172179,0.032620049585096296,0.04444965805438741,0.044337942474215734,0.048616422443321726,0.04342478580997283,0.06810320820661911,0.0565593514428803,0.04315378970453093
FR,0.04805887317048033,0.01718099810964919,0.015838880067475466,0.011100666791831481,0.012372744647794552,0.01139545294980546,0.009141708788488244,0.010572064718472907,0.018168014166743764,0.013171713389486214,0.01663904636341888,0.018083027492401003,0.016215696536902403,0.016409110257220496,0.027358357129578802,0.025086364612810615,0.040895822661418904,0.0352906295647092,0.02671237490316274,0.038752865059089
GE,0.04543095894004991,0.03086362971780212,0.022327646600347893,0.012795555803069751,0.005637155782717584,0.0070764769612066195,0.00754341890160685,0.010960355521329512,0.012302037802968948,0.01755681955430485,0.010326829548401873,0.01786656402826869,0.02135364562285713,0.028510222060529854,0.035031485283738506,0.03326635780057115,0.03467119329709082,0.039142533913860314,0.04337974119942058,0.04490888963892974
GL,0.03788862652499016,0.015059151606770653,0.009732337820282487,0.013280055197626758,0.018806882383153558,0.017270744067651743,0.02381677564743925,0.0425427305789236,0.08113531358520194,0.037774137657533235,0.03888667091221833,0.015087660288027004,0.12293393138041692,0.008022561497374922,0.007699302544316019,0.012046961375068877,0.03648579464447727,0.044141719618558846,0.039397456079274265,0.09150793650793651
GR,0.0457764915601763,0.027331578348774394,0.04915911548930872,0.03358198333667387,0.0439091331877045,0.023722942745834624,0.015938567648184212,0.034076919950376344,0.06660700293059711,0.035953074810742384,0.0310625715270146,0.03632283972081286,0.050447282051784226,0.037230856340375415,0.043837308103448505,0.02929668483922348,0.05596570147937898,0.040994200177258314,0.04445432146083758,0.027989204753427963
