canton,fridays_tweets,mondays_tweets,saturdays_tweets,sundays_tweets,thursdays_tweets,tusedays_tweets,wednsdays_tweets
AG,15973,14753,16265,18449,17617,15378,15826
AI,256,276,270,315,244,256,191
AR,530,664,548,669,544,603,708
BE,33186,32857,35925,34172,34708,34303,34431
BL,6530,6422,6474,7944,7950,6438,6480
BS,12766,11409,12359,11863,13146,12459,13550
FR,10219,10991,11486,13335,12129,10236,10183
GE,81276,81932,72502,73772,87795,86831,85858
GL,1418,964,1609,2588,3194,1296,1137
GR,10171,8414,10501,11814,13740,8960,9932
JU,3409,2837,3045,3541,4016,2881,2546
LU,13157,12786,14762,15643,14827,12922,12761
NE,8287,9054,8476,9765,9322,8303,8908
NW,1317,1426,1607,2700,3083,1486,1424
OW,7973,8780,7854,7682,8551,9205,9563
SG,10245,9090,10893,13450,13293,9656,8845
SH,1363,1525,1356,2723,3214,1498,1332
SO,6529,6020,5478,6683,7622,6308,5950
SZ,2334,2470,2748,3485,3162,2383,2093
TG,5933,6108,6514,6450,6895,6687,5687
TI,17617,17318,17285,16968,17115,17282,16627
UR,908,821,1038,1126,1850,1031,764
VD,48595,47358,48823,51926,48568,48717,48266
VS,24214,24016,26401,27955,25991,23886,24750
ZG,4814,5164,4531,4748,5048,5231,5134
ZH,94045,86435,87956,85075,91768,88839,90068
