canton,fridays_Anger,fridays_Anticipation,fridays_Disgust,fridays_Fear,fridays_Joy,fridays_Sadness,fridays_Surprise,fridays_Trust,mondays_Anger,mondays_Anticipation,mondays_Disgust,mondays_Fear,mondays_Joy,mondays_Sadness,mondays_Surprise,mondays_Trust,saturdays_Anger,saturdays_Anticipation,saturdays_Disgust,saturdays_Fear,saturdays_Joy,saturdays_Sadness,saturdays_Surprise,saturdays_Trust,sundays_Anger,sundays_Anticipation,sundays_Disgust,sundays_Fear,sundays_Joy,sundays_Sadness,sundays_Surprise,sundays_Trust,thursdays_Anger,thursdays_Anticipation,thursdays_Disgust,thursdays_Fear,thursdays_Joy,thursdays_Sadness,thursdays_Surprise,thursdays_Trust,tusedays_Anger,tusedays_Anticipation,tusedays_Disgust,tusedays_Fear,tusedays_Joy,tusedays_Sadness,tusedays_Surprise,tusedays_Trust,wednsdays_Anger,wednsdays_Anticipation,wednsdays_Disgust,wednsdays_Fear,wednsdays_Joy,wednsdays_Sadness,wednsdays_Surprise,wednsdays_Trust
AG,691,1175,3,124,1465,276,92,8,588,1194,5,88,1016,263,80,15,730,1403,17,115,1257,324,89,13,871,1784,11,146,1474,426,119,9,786,1307,7,150,1282,291,123,18,712,1241,8,112,1108,295,91,8,704,1279,6,128,1150,321,110,12
AI,14,25,0,2,28,5,3,0,15,26,0,3,20,7,3,0,12,25,1,2,17,7,2,0,20,27,0,1,33,2,1,0,15,22,0,0,16,3,0,0,12,25,1,2,26,3,1,1,7,18,0,0,19,3,2,1
AR,19,34,0,4,25,14,5,0,48,56,0,1,45,13,1,0,16,38,0,3,38,5,1,0,26,36,0,4,99,3,2,0,17,33,0,7,41,14,3,0,27,90,0,1,39,13,8,0,24,91,0,0,48,14,3,0
BE,1750,2710,17,308,2903,686,184,30,1581,2955,14,267,2854,707,182,25,2113,2849,14,355,2863,649,187,33,1712,2811,36,275,3033,802,244,34,1864,2883,15,293,3015,758,170,35,1680,3276,20,301,2867,783,181,32,1723,3253,9,260,2980,782,199,33
BL,353,510,3,54,577,230,31,4,330,567,4,70,586,100,27,4,408,493,4,62,619,196,23,7,465,690,7,97,730,314,43,4,500,628,8,71,745,151,51,3,356,555,4,67,598,157,42,6,374,533,4,61,593,124,44,6
BS,790,1084,5,114,1102,254,90,16,683,1112,12,89,992,191,66,13,791,1119,13,85,1112,247,60,12,764,1029,41,111,947,217,60,14,797,1152,15,129,1145,229,75,16,728,1001,10,117,1113,238,72,15,811,1226,9,126,1229,273,79,25
FR,379,786,7,65,1755,170,56,6,473,876,8,76,1808,201,62,11,510,793,6,76,1952,234,61,1,606,922,16,103,1976,215,68,16,573,892,6,87,1875,270,68,6,456,800,4,69,1822,197,57,10,412,770,13,77,1834,184,45,13
GE,4452,5885,40,708,10663,1330,448,132,4344,6118,34,713,10533,1611,413,129,3765,5006,55,591,9512,1332,447,140,3890,5366,34,574,9768,1393,362,134,4706,6561,50,710,11009,1544,460,145,4452,6485,63,747,11030,1544,393,147,4572,6704,47,709,11126,1673,396,123
GL,26,37,1,6,214,11,7,0,37,76,0,7,54,9,8,0,27,251,0,2,180,38,1,1,147,375,0,15,207,32,5,1,152,676,1,23,170,32,16,2,63,250,0,7,52,15,3,0,21,242,0,4,163,7,4,0
GR,476,929,2,71,977,158,80,19,432,763,11,75,793,218,50,9,518,1043,7,87,983,158,63,16,644,1142,8,100,1117,172,64,9,769,1250,6,104,1242,232,72,10,411,886,6,79,798,238,59,16,514,966,9,91,983,204,58,13
