canton,winter1_tweets,spring1_tweets,summer1_tweets,fall1_tweets,winter2_tweets,spring2_tweets,summer2_tweets,fall2_tweets,winter3_tweets,spring3_tweets,summer3_tweets,fall3_tweets,winter4_tweets,spring4_tweets,summer4_tweets,fall4_tweets,winter5_tweets,spring5_tweets,summer5_tweets,fall5_tweets
AG,307,1781,5094,3896,4370,6615,3287,5275,13454,9401,8762,5244,3495,2864,5475,11170,6654,8644,5986,619
AI,4,181,131,38,39,74,47,92,41,180,109,74,26,46,204,57,88,132,193,17
AR,10,109,163,236,199,139,220,284,617,122,187,94,189,117,205,210,383,436,237,22
BE,957,5584,12400,9439,11358,10339,4570,8086,14159,15102,17997,13720,13883,10104,21554,11139,16592,18894,18617,2941
BL,44,1149,3636,2757,3963,3211,1313,2711,6532,2393,3757,2042,1746,1077,2546,1763,2202,2516,2171,385
BS,264,1959,5564,4793,5157,5328,1861,3655,4774,6496,5704,4635,2710,2558,5633,3905,4301,9170,6553,674
FR,116,2962,6158,5317,7838,7864,1602,3227,8948,4818,5495,2489,2244,1560,3126,3206,3406,4191,2730,509
GE,2161,14279,23884,23555,35208,45289,12514,29111,41094,43275,42904,27391,25306,18918,37728,25099,33179,42729,34352,4249
GL,4,137,286,286,547,464,108,197,4115,428,415,1973,1674,468,502,166,120,134,112,20
GR,463,1000,3654,1876,6306,2871,882,1073,15183,2363,3420,1343,8287,1310,3854,1582,8368,4146,4461,277
JU,5,1533,5091,2805,2814,2204,95,285,2572,324,563,269,773,224,670,297,480,688,525,45
LU,183,1615,3919,3818,4484,6158,2131,3914,8479,5888,7477,4272,7137,3263,7536,3880,4959,9486,6132,1074
NE,438,1525,3506,3490,5990,7009,1900,3734,5902,5187,5799,4340,2345,1387,2181,1222,1630,1891,2021,253
NW,18,167,262,667,1096,1021,440,454,3980,587,849,481,353,162,638,432,286,469,563,64
OW,20,373,686,407,965,1498,364,1104,1974,2833,1903,3096,8046,4198,8009,5974,8418,4356,4613,637
SG,173,1050,3259,3758,4898,4800,1520,4226,11910,5396,5249,2513,2604,2343,3917,3895,3434,4665,4509,566
SH,10,256,445,500,380,550,127,353,3909,619,699,324,294,295,650,396,485,641,1920,112
SO,65,746,2085,2610,2486,2684,1164,1531,6424,3366,3290,2032,1597,1071,2335,1306,4586,2380,2304,198
SZ,43,349,961,830,1006,1531,405,791,2585,911,932,513,656,456,1897,924,804,1265,1418,180
TG,56,512,1123,2109,2415,3049,1140,1596,3692,1536,6808,2893,5323,3343,1404,922,1162,2606,2005,200
TI,222,4839,10950,7823,11509,8060,2651,4298,5934,6607,12102,5216,4298,2964,6045,4220,6560,6481,7264,861
UR,32,102,340,287,257,348,130,162,1202,299,680,1508,221,105,414,215,247,346,511,51
VD,1201,6941,17409,21602,20790,26336,7728,18416,26808,26013,30323,17649,17083,8609,18666,15212,15516,20165,19020,2487
VS,290,3468,9468,6966,11971,11577,2606,4397,15218,10712,14082,7727,10318,5845,13811,7632,12977,12972,12580,1374
ZG,117,800,2082,1577,1811,1968,747,1195,2729,2768,2365,1507,1609,1232,1971,1455,1830,3347,2600,399
ZH,3131,15728,34356,29377,35959,37504,11619,28990,40823,43802,50340,28841,32183,21780,43221,30699,37655,40685,38150,5161
