canton,fridays_polarity,mondays_polarity,saturdays_polarity,sundays_polarity,thursdays_polarity,tusedays_polarity,wednsdays_polarity
AG,0.10304889501032993,0.09225242323595201,0.09689517368582846,0.10472112309610276,0.08491797695407845,0.0859019378332683,0.08795652723366612
AI,0.13671875,0.08695652173913043,0.08148148148148149,0.12063492063492064,0.08196721311475409,0.13671875,0.15706806282722513
AR,0.0509433962264151,0.060240963855421686,0.09671532846715329,0.1554559043348281,0.07169117647058823,0.15920398009950248,0.14689265536723164
BE,0.09238835653588863,0.10490915177892078,0.07796798886569241,0.09648250029263725,0.09141984556874495,0.10413083403783925,0.10719990706049781
BL,0.07381316998468607,0.10588601681719091,0.0729070126660488,0.07351460221550855,0.08767295597484277,0.0958372165268717,0.09459876543209876
BS,0.08843803853987153,0.10588132176352003,0.09442511530059067,0.07729916547247745,0.0926517571884984,0.08893169596275785,0.0988929889298893
FR,0.19395244153048244,0.18187608042944228,0.17247083405885424,0.15313085864266968,0.15706158792975514,0.19177413051973427,0.1940489050378081
GE,0.1303951966140066,0.12804520822145193,0.12912747234559047,0.13201485658515427,0.1271712512102056,0.12955050615563565,0.13217172540706748
GL,0.15091678420310295,0.08817427385892117,0.22747047855811062,0.15224111282843894,0.20538509705698185,0.1697530864197531,0.33157431838170626
GR,0.12761773670238916,0.10446874257190397,0.1271307494524331,0.1191806331471136,0.10647743813682678,0.11439732142857142,0.12102295610149014
JU,0.11381636843649164,0.06732463870285513,0.059441707717569785,0.08698107879130189,0.0796812749003984,0.0593543908365151,0.056559308719560095
LU,0.08231359732461807,0.07586422649773189,0.08040915865058935,0.09620916703957041,0.10008767788493964,0.10246091936232782,0.1050858083222318
NE,0.15530348738988778,0.20300419703998232,0.16776781500707882,0.1590373783922171,0.14889508689122505,0.19125617246778273,0.18039964077233947
NW,0.1017463933181473,0.15007012622720897,0.08836341008089608,0.13444444444444445,0.08238728511190399,0.1117092866756393,0.13202247191011235
OW,0.1003386429198545,0.10751708428246014,0.11026228673287497,0.08838844051028379,0.11098117179277278,0.10320478001086367,0.08564258078008993
SG,0.09175207418252807,0.0922992299229923,0.08115303405856972,0.10245353159851302,0.08124576844955991,0.07642916321458161,0.08762012436404748
SH,0.0748349229640499,0.07344262295081967,0.10176991150442478,0.11311053984575835,0.07342874922215308,0.11615487316421896,0.08033033033033032
SO,0.11211517843467605,0.09983388704318936,0.10971157356699525,0.10833458027831812,0.08226187352400945,0.10272669625871908,0.08941176470588236
SZ,0.10025706940874037,0.12186234817813765,0.08333333333333333,0.09497847919655668,0.08380771663504111,0.0994544691565254,0.11849020544672718
TG,0.09354458115624473,0.06647020301244269,0.07568314399754375,0.07550387596899225,0.007541696881798405,0.08748317631224764,0.09020573237207667
TI,0.21677924731793155,0.14943988913269432,0.185073763378652,0.18263790664780763,0.23791995325737658,0.24563129267445896,0.2121248571600409
UR,0.12444933920704845,0.11814859926918392,0.09248554913294797,0.12344582593250444,0.1627027027027027,0.07759456838021339,0.1256544502617801
VD,0.08669616215660048,0.07170910933738756,0.07312127480900395,0.07861187073912876,0.075131774007577,0.07061190138965864,0.09735631707620271
VS,0.1502023622697613,0.15956029313790807,0.15313813870686716,0.14995528527991414,0.1500134661998384,0.1568701331323788,0.16404040404040404
ZG,0.10074781886165352,0.09043377226955848,0.07856985212977267,0.11225779275484414,0.1026148969889065,0.12272987956413688,0.10459680560966109
ZH,0.07024296879153596,0.07594145889975126,0.061917322297512394,0.07121951219512195,0.07864397175486008,0.07596888753813077,0.0778855975485189
