canton,2012_01_polarity,2012_02_polarity,2012_03_polarity,2012_04_polarity,2012_05_polarity,2012_06_polarity,2012_07_polarity,2012_08_polarity,2012_09_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2013_01_polarity,2013_02_polarity,2013_03_polarity,2013_04_polarity,2013_05_polarity,2013_06_polarity,2013_07_polarity,2013_08_polarity,2013_09_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2014_01_polarity,2014_02_polarity,2014_03_polarity,2014_04_polarity,2014_05_polarity,2014_06_polarity,2014_07_polarity,2014_08_polarity,2014_09_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2015_01_polarity,2015_02_polarity,2015_03_polarity,2015_04_polarity,2015_05_polarity,2015_06_polarity,2015_07_polarity,2015_08_polarity,2015_09_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2016_01_polarity,2016_02_polarity,2016_03_polarity,2016_04_polarity,2016_05_polarity,2016_06_polarity,2016_07_polarity,2016_08_polarity,2016_09_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity
AG,0.03636363636363636,0.07339449541284404,0.044585987261146494,0.08352668213457076,0.06621961441743504,0.08375314861460957,0.09924190213645762,0.1435523114355231,0.09652928416485901,0.07402031930333818,0.08020050125313283,0.059248554913294796,0.05363204344874406,0.024454725710508923,0.01288056206088993,0.08568443051201671,0.11293017039759438,0.19379373288713111,No Data,No Data,0.08011869436201781,0.09848484848484848,0.09809358752166378,0.1313150074294205,0.0750664757619145,0.11757309022320026,0.10161469933184855,0.07424593967517401,0.09527220630372493,0.07758031442241968,0.08937437934458789,0.1172291296625222,0.113584036838066,0.07400379506641366,0.10705826622453814,0.0859073359073359,0.09670487106017192,0.12605832549388524,0.1348314606741573,0.06136363636363636,0.09600808489135927,0.08656873032528856,0.09067085953878407,0.11980734497290789,0.0956140350877193,0.027995520716685332,0.08762692741632193,0.0951111111111111,0.07366296670030273,0.0942261427425822,0.1092007434944238,0.09294741133306156,0.07848477345877693,0.0772746157041961,0.1191687871077184,0.10810810810810811,0.10662358642972536,No Data,No Data,No Data
AI,0.0,No Data,No Data,0.3125,0.10303030303030303,-0.0392156862745098,0.12,0.0,0.0,0.13333333333333333,0.09090909090909091,0.3333333333333333,0.07142857142857142,0.125,-0.11764705882352941,0.0,-0.02702702702702703,0.02127659574468085,No Data,No Data,-0.09090909090909091,0.16,0.03225806451612903,0.045454545454545456,0.16666666666666666,0.15384615384615385,0.22580645161290322,0.06896551724137931,0.13333333333333333,0.14,0.17857142857142858,0.25806451612903225,0.15254237288135594,-0.25,0.0,-0.125,0.2222222222222222,0.0,-0.2,0.0,0.13333333333333333,0.28888888888888886,0.13541666666666666,0.19047619047619047,0.1935483870967742,0.2,0.3333333333333333,0.017857142857142856,0.2608695652173913,0.3,0.0,0.2619047619047619,0.13333333333333333,0.1,0.1111111111111111,0.12,-0.17647058823529413,No Data,No Data,No Data
AR,0.16666666666666666,No Data,0.16666666666666666,0.0136986301369863,0.06666666666666667,0.06896551724137931,0.09859154929577464,0.07936507936507936,0.15384615384615385,0.10569105691056911,0.25287356321839083,0.14655172413793102,0.0784313725490196,-0.03125,-0.03225806451612903,0.02040816326530612,0.15254237288135594,0.4727272727272727,No Data,No Data,0.06896551724137931,-0.12408759124087591,0.4661016949152542,0.035,0.008902077151335312,0.075,0.045454545454545456,0.4177215189873418,-0.047619047619047616,0.03571428571428571,0.03773584905660377,0.08,-0.016666666666666666,0.0,0.0,0.08333333333333333,0.029850746268656716,0.04838709677419355,-0.047619047619047616,0.09523809523809523,0.05333333333333334,0.0641025641025641,0.15217391304347827,0.16049382716049382,0.12962962962962962,0.19047619047619047,0.037037037037037035,0.05555555555555555,0.11320754716981132,0.1865671641791045,0.10738255033557047,0.07633587786259542,0.1282051282051282,0.09009009009009009,0.07526881720430108,0.06060606060606061,0.13636363636363635,No Data,No Data,No Data
BE,0.006644518272425249,0.030612244897959183,0.035326086956521736,0.08866615265998458,0.060474610870119926,0.09851694915254237,0.07351891506067094,0.04161954308979869,0.08364591147786947,0.06538571838256381,0.05538648813146683,0.0703125,0.040159640808181594,0.031069562826505363,0.0500916310323763,0.055846422338568937,0.05952380952380952,0.0862144420131291,No Data,No Data,0.10152671755725191,0.08249258160237388,0.0983558426306518,0.07622253019204119,0.06299911268855368,0.07739130434782608,0.0838473400154202,0.08362779740871613,0.06161825726141079,0.1093077825576848,0.07199861207494795,0.08638853771597134,0.0963302752293578,0.22721382289416847,0.10527269432868273,0.09166474255368275,0.08261652330466093,0.28047441247529104,0.09652076318742986,0.07687538747675139,0.05246683559397824,0.12397094430992736,0.11206319453742135,0.12572877059569074,0.12692404743880897,0.09763313609467456,0.10061813186813187,0.10506372717878057,0.11957950065703023,0.11982615894039735,0.1164999152111243,0.11087256555742984,0.12523162445954292,0.12125039469529524,0.11913451511991657,0.11602689221427022,0.13226793607616458,No Data,No Data,No Data
BL,0.1111111111111111,0.0,0.06896551724137931,0.1716867469879518,-0.13959390862944163,-0.19753086419753085,0.07230255839822025,0.08897058823529412,0.0322061191626409,0.10404624277456648,0.05555555555555555,0.04990403071017274,0.09188741721854304,0.09815436241610738,0.07003444316877153,0.06454388984509467,0.05602716468590832,0.11195734958111196,No Data,No Data,0.020761245674740483,0.12016129032258065,0.09052453468697123,0.10702464141228393,0.06554441260744985,0.07345739471106758,0.10273327049952875,0.09270516717325228,0.09940652818991098,0.12331081081081081,0.13541666666666666,0.11650485436893204,0.0995260663507109,0.13709677419354838,0.12631578947368421,0.10847457627118644,0.10580912863070539,0.04221635883905013,0.09782608695652174,0.15859030837004406,0.07507507507507508,0.12034383954154727,0.08948194662480377,0.13790255986787778,0.09985935302390998,0.10218978102189781,0.12467866323907455,0.15853658536585366,0.08121019108280254,0.16693944353518822,0.11740890688259109,0.1301460823373174,0.11448140900195694,0.1040339702760085,0.1357142857142857,0.06427221172022685,0.15064935064935064,No Data,No Data,No Data
BS,0.02912621359223301,0.031578947368421054,0.08759124087591241,0.08742004264392324,0.09238728750923873,0.060474308300395255,0.10014204545454546,0.07995079950799508,0.0316930775646372,0.07424328954882924,0.08355941399891481,0.08687943262411348,0.05408388520971302,0.04839685420447671,0.05775266792215945,0.052248977737392094,0.05345501955671447,0.0693175711982805,No Data,No Data,0.09046052631578948,0.03241106719367589,0.08810325476992144,0.0727470141150923,0.09438040345821326,0.08549222797927461,0.0942053541172484,0.0591016548463357,0.0958041958041958,0.09208761734465802,0.12152777777777778,0.10130944176430048,0.09373381667529777,0.09496753246753246,0.06997282608695653,0.09272918861959958,0.11076280041797283,0.10572139303482588,0.05099150141643059,0.09925558312655088,0.10321864594894561,0.1523851590106007,0.11570247933884298,0.13752783964365256,0.11328125,0.11,0.1348112642300779,0.11103853690398433,0.11954992967651196,0.12842712842712842,0.11934458302763512,0.10566228513650151,0.11408314534321624,0.13521199586349536,0.10746102449888642,0.12935883014623173,0.08902077151335312,No Data,No Data,No Data
FR,0.07692307692307693,0.02631578947368421,0.2,0.16461366181410975,0.37949728930507637,0.4149333333333333,0.45204769310523585,0.39167374681393374,0.3877338877338877,0.30869565217391304,0.35766423357664234,0.3278985507246377,0.2603643216080402,0.26778413736713,0.2665036674816626,0.29974811083123426,0.1764032073310424,0.05930087390761548,No Data,No Data,0.07616707616707617,0.07905138339920949,0.08038585209003216,0.12371967654986522,0.06614173228346457,0.08053221288515407,0.08215130023640661,0.07581227436823104,0.07650273224043716,0.07956318252730109,0.09095951192457016,0.05394190871369295,0.09278350515463918,0.09119496855345911,0.11420059582919563,0.09438775510204081,0.11627906976744186,-0.06559766763848396,0.2,0.0981012658227848,0.0741733690795353,0.13515825491873396,0.1056241426611797,0.11482084690553745,0.10665451230628988,0.09595959595959595,0.11617046117921774,0.10401721664275466,0.13224043715846995,0.11120615911035073,0.08397932816537468,0.11256354393609296,0.10821484992101106,0.11242603550295859,0.075,0.07671957671957672,0.11591355599214145,No Data,No Data,No Data
GE,0.026350461133069828,0.0397489539748954,0.055734190782422297,0.16007416563658838,0.1510385756676558,0.16664813785436353,0.20696049065753816,0.1851992891596852,0.1530373831775701,0.14774266365688488,0.13778204512722037,0.12162568991470145,0.09739029012975653,0.11574837310195228,0.09342538636939447,0.10037066647285413,0.10202007368822259,0.09645197378935592,No Data,No Data,0.08331627430910953,0.10278265229380797,0.07839138592054817,0.0851411395713539,0.09700789683402158,0.11645949778927171,0.11490889745976858,0.09757032267954319,0.12086899275839368,0.13298331415420023,0.1408574569439355,0.1385216541843048,0.1521633839199225,0.11903272878882636,0.17803252988438173,0.16396479851783233,0.17062809750177,0.16718266253869968,0.16570284697508897,0.19478133039323778,0.19682078454832921,0.16226252158894647,0.18189581554227155,0.1649958543755182,0.14647638013054542,0.14090131203650885,0.14935478731878285,0.14916435785146126,0.1181148016234573,0.14809847686560015,0.15334111467756054,0.11686452807948135,0.125,0.1123385246891223,0.10326650535776011,0.09977470228516254,0.11885149446928689,No Data,No Data,No Data
GL,-0.3333333333333333,No Data,0.0,0.029411764705882353,0.03,0.009174311926605505,0.011494252873563218,0.03333333333333333,-0.058823529411764705,0.04201680672268908,0.008620689655172414,0.03333333333333333,0.0392156862745098,0.045283018867924525,0.04316546762589928,0.03333333333333333,0.05714285714285714,0.018518518518518517,No Data,No Data,0.03571428571428571,0.019801980198019802,0.014705882352941176,0.11022044088176353,0.06830206830206831,-0.05,0.04477611940298507,0.11510791366906475,0.14838709677419354,0.02127659574468085,0.17647058823529413,0.014492753623188406,0.004545454545454545,0.023809523809523808,0.5433312845728334,0.6129266521423384,0.07051282051282051,0.028368794326241134,0.00980392156862745,0.016129032258064516,0.03618421052631579,-0.005747126436781609,0.031746031746031744,0.039603960396039604,0.008064516129032258,0.0,0.16,-0.075,0.19230769230769232,0.06666666666666667,0.10810810810810811,0.2127659574468085,0.1,0.05,0.16666666666666666,0.041666666666666664,0.0,No Data,No Data,No Data
GR,0.11594202898550725,0.09090909090909091,-0.030303030303030304,0.2318840579710145,0.24246395806028834,0.2538141470180305,0.16377005347593582,0.14335421016005567,0.10975609756097561,0.1393548387096774,0.1287988422575977,0.14142604596346495,0.1206140350877193,0.0784837159636946,0.06332046332046332,0.08865710560625815,0.05686032138442522,0.06349206349206349,No Data,No Data,0.08974358974358974,0.07252747252747253,0.15800865800865802,0.13093145869947276,0.0893020819693597,0.005926724137931034,0.11211072664359861,0.0803921568627451,0.06862745098039216,0.05902383654937571,0.099,0.11955815464587394,0.10013717421124829,0.15384615384615385,0.11464968152866242,0.09449311639549436,0.13092979127134724,0.11686211079660332,0.14056224899598393,0.18181818181818182,0.16296296296296298,0.12299465240641712,0.17336683417085427,0.18840579710144928,0.14424410540915394,0.16025641025641027,0.09645390070921986,0.1306504961411246,0.13681386710689228,0.11741122565864834,0.12937783271528636,0.12190287413280476,0.13661971830985917,0.11238938053097346,0.11061407076047174,0.0963302752293578,0.10830324909747292,No Data,No Data,No Data
