canton,2012_01_polarity,2012_02_polarity,2012_03_polarity,2012_04_polarity,2012_05_polarity,2012_06_polarity,2012_07_polarity,2012_08_polarity,2012_09_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2013_01_polarity,2013_02_polarity,2013_03_polarity,2013_04_polarity,2013_05_polarity,2013_06_polarity,2013_07_polarity,2013_08_polarity,2013_09_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2014_01_polarity,2014_02_polarity,2014_03_polarity,2014_04_polarity,2014_05_polarity,2014_06_polarity,2014_07_polarity,2014_08_polarity,2014_09_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2015_01_polarity,2015_02_polarity,2015_03_polarity,2015_04_polarity,2015_05_polarity,2015_06_polarity,2015_07_polarity,2015_08_polarity,2015_09_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2016_01_polarity,2016_02_polarity,2016_03_polarity,2016_04_polarity,2016_05_polarity,2016_06_polarity,2016_07_polarity,2016_08_polarity,2016_09_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity
AG,110.0,109.0,157.0,431,1193,1588,1451,2055,922,1378,1596,1384,1473,1513,1708,1914,2993,3287,No Data,No Data,674,1716,2885,5384,4889,3181,3592,3017,2792,2926,3021,2815,2606,527,2111,1036,1396,1063,445,440,1979,1906,1908,1661,2280,3572,5318,2250,1982,2494,2152,2453,4039,2407,2358,1221,619,No Data,No Data,No Data
AI,1.0,No Data,No Data,16,165,51,50,30,12,15,11,9,14,16,17,20,37,47,No Data,No Data,11,50,31,22,6,13,31,29,120,50,28,31,59,4,11,8,9,9,5,11,30,45,96,63,31,5,21,56,23,10,30,42,60,80,63,50,17,No Data,No Data,No Data
AR,6.0,No Data,6.0,73,30,29,71,63,26,123,87,116,51,32,31,49,59,220,No Data,No Data,29,137,118,200,337,80,22,79,21,84,53,50,60,13,21,60,67,62,21,21,75,78,46,81,54,21,135,144,106,134,149,131,156,111,93,33,22,No Data,No Data,No Data
BE,301.0,294.0,368.0,1297,3919,3776,4203,4421,2666,3487,3286,3712,4009,3637,3274,2865,4200,4570,No Data,No Data,1310,3370,3406,5051,4508,4600,5188,5094,4820,5114,5764,7119,5886,2315,5519,4331,4999,4553,1782,1613,6709,6195,7469,7890,3963,1352,5824,5806,6088,4832,5897,6521,6476,6334,7672,4611,2941,No Data,No Data,No Data
BL,9.0,17.0,29.0,332,788,1377,899,1360,621,1038,1098,1563,1208,1192,871,1162,1178,1313,No Data,No Data,289,1240,1182,2719,2792,1021,1061,658,674,1184,1440,1133,844,248,950,885,482,379,184,227,666,698,637,1211,711,274,778,984,628,611,741,753,1022,942,700,529,385,No Data,No Data,No Data
BS,103.0,95.0,137.0,469,1353,2530,1408,1626,1199,1751,1843,1692,1812,1653,1593,2201,1534,1861,No Data,No Data,608,1265,1782,1842,1388,1544,2951,2115,1430,2237,2016,1451,1931,1232,1472,949,957,804,353,403,1802,2264,1573,1796,1536,700,1669,1531,1422,1386,4089,1978,3103,3868,1796,889,674,No Data,No Data,No Data
FR,39.0,38.0,40.0,893,2029,1875,1929,2354,962,2300,2055,2208,3184,2446,2863,2382,2619,1602,No Data,No Data,407,1265,1555,3710,3810,1428,1692,1662,1464,1282,1803,2410,1164,318,1007,784,774,686,125,316,1119,1169,729,1228,1097,396,1713,1394,915,1169,1548,1377,1266,1014,960,756,509,No Data,No Data,No Data
GE,759.0,956.0,933.0,3236,10110,8995,7011,7878,4280,8860,10415,9965,13718,11525,15788,13759,15742,12514,No Data,No Data,4885,11967,12259,15304,13803,11987,15038,13047,15190,13904,13645,15355,12388,4797,10206,8636,9887,6783,4496,2721,11701,11580,12881,13267,9039,3506,12554,11189,12073,10439,13708,11877,17144,16566,11572,6214,4249,No Data,No Data,No Data
GL,3.0,No Data,3.0,34,100,109,87,90,51,119,116,180,102,265,139,150,175,108,No Data,No Data,28,101,68,1996,2079,40,134,139,155,141,136,138,220,126,1627,1377,156,141,102,62,304,174,126,202,124,17,25,40,52,30,37,47,50,40,48,24,20,No Data,No Data,No Data
GR,276.0,143.0,99.0,138,763,721,1496,1437,410,775,691,1697,2736,1873,1295,767,809,882,No Data,No Data,156,455,462,5690,7637,1856,1445,510,408,881,1000,1539,729,143,471,1598,4216,2473,996,44,270,935,1194,1725,721,156,705,1814,4846,1746,2427,1009,710,1130,2459,872,277,No Data,No Data,No Data
JU,No Data,2.0,1.0,362,1170,1197,2708,1186,624,1085,1096,927,975,912,1023,892,289,95,No Data,No Data,29,110,146,1149,1341,82,141,86,97,181,141,241,134,46,89,365,274,134,61,34,129,71,319,280,129,39,129,203,126,151,209,279,200,281,193,51,45,No Data,No Data,No Data
LU,65.0,69.0,75.0,468,1072,1146,1298,1475,715,1483,1620,1346,1793,1345,1355,1669,3134,2131,No Data,No Data,664,1582,1668,3507,3289,1683,1733,2404,1751,1948,2911,2618,1896,377,1999,3982,1802,1353,561,668,2034,2030,1986,3520,1579,487,1814,2010,1584,1407,4697,2345,2444,2529,2522,1081,1074,No Data,No Data,No Data
NE,123.0,159.0,99.0,410,1016,1352,982,1172,598,1279,1613,1850,2206,1934,2559,2389,2061,1900,No Data,No Data,391,1561,1782,2220,2263,1419,1591,1266,2330,1162,1320,3317,2850,391,1099,801,891,653,280,267,840,727,562,892,529,180,513,471,612,563,562,675,654,738,886,397,253,No Data,No Data,No Data
NW,3.0,4.0,3.0,33,131,79,63,120,64,422,181,447,273,376,237,355,429,440,No Data,No Data,98,194,162,1831,2068,81,141,233,213,331,280,238,184,71,226,178,102,73,27,42,93,168,230,240,138,87,207,133,97,59,166,120,183,284,196,83,64,No Data,No Data,No Data
OW,6.0,12.0,26.0,198,149,240,203,243,83,105,219,377,296,292,480,533,485,364,No Data,No Data,125,418,561,709,495,770,939,911,983,688,666,549,399,217,2480,3755,2272,2019,998,850,2350,2463,2022,3524,2188,747,3039,3267,3417,1808,1591,1358,1407,1676,1992,945,637,No Data,No Data,No Data
SG,48.0,74.0,54.0,309,687,801,1142,1316,697,1495,1566,2034,1733,1131,1366,1451,1983,1520,No Data,No Data,784,1841,1601,5015,5480,1415,1535,1840,2021,2320,1555,1374,1006,351,1156,1023,938,643,284,266,1793,1502,1013,1402,927,1273,1695,1030,1380,1066,1525,1266,1874,1843,1632,1034,566,No Data,No Data,No Data
SH,1.0,3.0,2.0,77,177,120,106,219,79,257,164,184,97,99,235,221,94,127,No Data,No Data,58,173,122,1707,2033,169,245,200,174,161,236,302,238,24,62,100,96,98,10,35,250,122,211,317,97,66,233,209,173,105,228,172,241,1107,539,274,112,No Data,No Data,No Data
SO,27.0,14.0,31.0,235,480,700,686,699,534,950,1126,1057,831,598,683,835,1166,1164,No Data,No Data,274,685,572,2475,2928,1021,812,1307,1247,1009,1193,1088,1114,286,632,455,691,451,211,219,641,584,996,755,488,149,669,987,1382,2230,683,791,906,899,1017,388,198,No Data,No Data,No Data
SZ,20.0,11.0,23.0,108,218,271,298,392,226,292,312,311,446,249,270,255,1006,405,No Data,No Data,132,390,269,1162,1168,255,243,269,399,252,324,356,255,54,204,188,274,194,78,41,337,281,529,1087,251,124,549,256,260,290,466,357,442,562,540,316,180,No Data,No Data,No Data
TG,12.0,12.0,9.0,161,342,297,319,507,269,625,1215,1214,705,496,457,864,1728,1140,No Data,No Data,192,850,554,1521,1639,532,439,605,492,619,2896,3293,777,324,1792,3246,1902,175,91,1072,2180,425,397,582,414,71,437,311,426,437,484,1173,949,627,914,464,200,No Data,No Data,No Data
TI,81.0,81.0,74.0,1080,3685,3547,3795,3608,1111,2733,3979,4421,4186,2902,3587,1673,2800,2651,No Data,No Data,840,1778,1680,1862,2036,2036,2244,2096,2267,2008,3636,6458,2356,770,2090,2156,1235,907,379,527,2058,1716,2179,2150,1838,544,1838,2324,2347,1929,1954,2300,2227,2966,2749,1549,861,No Data,No Data,No Data
UR,3.0,29.0,8.0,5,89,76,103,161,113,117,57,55,136,66,121,116,111,130,No Data,No Data,37,66,59,432,633,137,138,83,78,310,195,175,394,386,728,130,35,56,21,41,43,127,104,183,116,29,70,77,70,106,157,90,99,221,176,114,51,No Data,No Data,No Data
VD,431.0,406.0,633.0,2033,4275,4761,5839,6809,4529,8017,9056,7132,7527,6131,8037,9268,9031,7728,No Data,No Data,2808,7603,8005,10235,9292,7281,8730,8114,9169,10932,10662,8729,7629,2735,7285,5146,7774,4163,1348,1413,5848,5822,6317,6527,5374,3152,6686,5427,5063,5277,6241,6738,7186,7983,7996,3041,2487,No Data,No Data,No Data
VS,96.0,114.0,99.0,842,2527,2918,3363,3187,1475,2828,2663,4002,4433,3536,4435,4358,2784,2606,No Data,No Data,552,1952,1893,5991,5238,3989,4296,3439,2977,3900,5075,5107,3771,1091,2865,3799,3715,2804,1268,951,3626,3664,5136,5011,2661,1160,3811,4250,4367,4529,4778,4274,3920,3955,5268,3357,1374,No Data,No Data,No Data
ZG,35.0,56.0,68.0,222,510,582,637,863,339,551,687,440,639,732,731,579,658,747,No Data,No Data,130,429,636,792,696,1241,917,946,905,1004,629,732,542,285,680,457,610,542,196,167,869,887,435,649,539,209,707,483,623,755,1343,999,1005,1301,732,567,399,No Data,No Data,No Data
ZH,984.0,1069.0,1207.0,4033,10488,10999,10364,12993,6417,11172,11788,11083,13380,11496,13282,11078,13144,11619,No Data,No Data,4884,11757,12349,14837,13707,12279,15637,13309,14856,16099,17992,16249,13119,4489,11233,9570,10933,11680,3546,4105,14129,13898,14797,14526,10863,4544,15292,13398,13510,11156,13354,13029,14302,15396,14611,8143,5161,No Data,No Data,No Data
