canton,winter1,spring1,summer1,fall1,winter2,spring2,summer2,fall2,winter3,spring3,summer3,fall3,winter4,spring4,summer4,fall4,winter5,spring5,summer5,fall5
AG,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Joy,Trust,Joy,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust
AI,Anticipation,Joy,Joy,Anticipation,Joy,Anticipation,Joy,Anticipation,Anticipation,Fear,Joy,Joy,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Joy,Anticipation,Trust
AR,Anticipation,Trust,Joy,Trust,Joy,Anticipation,Joy,Joy,Anticipation,Trust,Trust,Anticipation,Joy,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Joy,Joy
BE,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation
BL,Trust,Joy,Joy,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust
BS,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust,Anticipation,Trust,Anticipation,Trust
FR,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust
GE,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust
GL,Trust,Joy,Joy,Joy,Joy,Joy,Joy,Anticipation,Anticipation,Joy,Trust,Anticipation,Joy,Joy,Joy,Joy,Trust,Anticipation,Anticipation,Trust
GR,Trust,Trust,Joy,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Trust
JU,Anger,Sadness,Sadness,Sadness,Sadness,Sadness,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Joy,Trust,Trust,Trust,Trust,Trust
LU,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Joy,Anticipation,Trust,Anticipation,Anticipation,Anticipation
NE,Trust,Sadness,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust
NW,Fear,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust,Trust,Joy,Anticipation,Trust,Anticipation,Joy,Trust,Trust,Trust,Trust
OW,Joy,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Trust,Joy,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Joy
SG,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust
SH,Trust,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Joy,Anticipation,Trust,Trust,Trust,Trust,Anticipation,Anticipation
SO,Trust,Trust,Anticipation,Trust,Anticipation,Anticipation,Joy,Joy,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust
SZ,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Trust,Joy,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation
TG,Trust,Trust,Anticipation,Anticipation,Anticipation,Joy,Joy,Joy,Anticipation,Trust,Joy,Joy,Joy,Joy,Anticipation,Trust,Trust,Joy,Joy,Anticipation
TI,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust
UR,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Trust,Trust,Joy,Anticipation,Joy,Anticipation,Joy,Joy,Anticipation,Anticipation,Joy,Joy,Joy,Anticipation,Anticipation
VD,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust
VS,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust
ZG,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Anticipation
ZH,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Anticipation,Trust,Anticipation
