canton,fridays_Anger,fridays_Anticipation,fridays_Disgust,fridays_Fear,fridays_Joy,fridays_Sadness,fridays_Surprise,fridays_Trust,mondays_Anger,mondays_Anticipation,mondays_Disgust,mondays_Fear,mondays_Joy,mondays_Sadness,mondays_Surprise,mondays_Trust,saturdays_Anger,saturdays_Anticipation,saturdays_Disgust,saturdays_Fear,saturdays_Joy,saturdays_Sadness,saturdays_Surprise,saturdays_Trust,sundays_Anger,sundays_Anticipation,sundays_Disgust,sundays_Fear,sundays_Joy,sundays_Sadness,sundays_Surprise,sundays_Trust,thursdays_Anger,thursdays_Anticipation,thursdays_Disgust,thursdays_Fear,thursdays_Joy,thursdays_Sadness,thursdays_Surprise,thursdays_Trust,tusedays_Anger,tusedays_Anticipation,tusedays_Disgust,tusedays_Fear,tusedays_Joy,tusedays_Sadness,tusedays_Surprise,tusedays_Trust,wednsdays_Anger,wednsdays_Anticipation,wednsdays_Disgust,wednsdays_Fear,wednsdays_Joy,wednsdays_Sadness,wednsdays_Surprise,wednsdays_Trust
AG,3172,9218,2495,4152,9089,4079,4140,9195,2995,8150,2438,4177,7632,3733,3417,8111,3289,8755,2660,4378,8530,4059,3787,8836,4098,10279,3226,5472,9917,5078,4516,10379,3398,9422,2664,4589,8818,4277,3779,9092,3266,8371,2523,4552,7622,3985,3520,8307,3530,8754,2674,4756,8069,4306,3772,8947
AI,43,138,23,60,129,48,54,115,38,141,41,78,106,44,56,112,69,109,41,57,112,46,69,97,39,109,29,86,115,49,55,106,40,121,34,50,99,49,56,98,38,127,43,55,113,43,56,105,25,89,27,43,92,45,44,83
AR,102,268,87,108,257,168,99,224,93,469,91,127,579,166,137,448,123,294,103,164,302,184,105,265,117,411,92,139,344,148,110,311,115,311,79,135,314,163,119,261,144,289,88,127,299,162,119,311,106,375,89,171,419,175,148,278
BE,7337,20300,5889,10486,19326,9549,8292,21153,7462,20211,6053,10139,18862,9891,8929,20410,7397,20153,5769,10044,18931,9470,8664,19791,7917,20308,6261,10247,19180,10048,8898,20651,7629,20610,5926,10174,18958,9740,8608,21015,7979,20332,6262,10858,19055,10450,8777,21628,8175,20596,6070,10884,18624,10371,8731,21593
BL,1305,3166,1184,1746,2926,1714,1377,3131,1420,3267,1189,1791,3026,1691,1582,3211,1380,3082,1100,1674,2840,1703,1427,2912,1709,3998,1555,2079,3722,2060,1871,3673,1554,4140,1323,1903,3796,1847,1619,3556,1435,3242,1213,1734,2846,1744,1451,3063,1393,3161,1173,1651,2940,1750,1444,3091
BS,2464,5994,1864,3080,5491,3144,2684,5896,2269,5516,1853,2817,5219,2963,2693,5753,2219,5819,1746,2956,5481,2997,2963,5518,2352,5565,1742,2964,5152,3088,2523,5332,2498,6266,1967,3354,5572,3302,2882,6256,2293,5891,1890,2992,5251,3083,2704,5994,2646,6378,2015,3243,5944,3373,3199,6489
FR,3653,8476,3220,4446,7833,6300,4077,9692,4314,9551,3748,5074,8910,7319,4666,11179,4156,8931,3615,4802,8715,7017,4431,10726,4966,11722,4279,5669,10958,8103,6257,13813,3988,9812,3537,4798,9111,6921,4319,10660,4157,8787,3569,4694,8109,6970,4155,10380,4039,8714,3522,4740,8103,6820,4160,10488
GE,28254,69949,27816,35040,57174,48533,29687,83731,31598,77031,31482,39192,61250,53461,32710,91473,26219,64695,25988,31775,55103,47131,28753,77409,30954,81567,31763,38679,66198,55032,35985,94187,31969,78218,30796,39829,62184,53053,32525,91341,32456,77215,32029,40566,62534,54315,32675,93083,33640,77351,31737,40777,61604,54766,33222,93081
GL,101,695,94,155,838,142,492,689,138,559,129,205,660,167,326,519,110,861,95,439,818,242,504,677,431,1238,379,412,1409,391,772,1101,327,2029,263,903,1575,377,542,1028,171,544,141,228,615,225,292,545,91,465,83,119,825,115,296,464
GR,1746,4941,1412,2235,4382,2057,2067,4906,1626,4278,1289,1982,3830,1845,1874,4037,1770,5074,1376,2211,4610,2057,2184,4859,2167,5876,1762,2484,5434,2348,2845,5214,2225,7128,1738,2873,6373,2636,2701,6051,1636,4139,1305,2134,3775,1978,1812,4103,1743,4735,1324,2283,4085,2132,2048,4790
