canton,fridays,mondays,saturdays,sundays,thursdays,tusedays,wednsdays
AG,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust
AI,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Joy
AR,Anticipation,Joy,Joy,Anticipation,Joy,Trust,Joy
BE,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust
BL,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
BS,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust,Trust
FR,Trust,Trust,Trust,Trust,Trust,Trust,Trust
GE,Trust,Trust,Trust,Trust,Trust,Trust,Trust
GL,Joy,Joy,Anticipation,Joy,Anticipation,Joy,Joy
GR,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust
JU,Sadness,Sadness,Sadness,Anticipation,Joy,Sadness,Sadness
LU,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
NE,Trust,Trust,Trust,Trust,Trust,Trust,Trust
NW,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust,Anticipation
OW,Trust,Trust,Trust,Trust,Trust,Joy,Trust
SG,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
SH,Trust,Trust,Trust,Anticipation,Anticipation,Trust,Trust
SO,Trust,Trust,Anticipation,Anticipation,Anticipation,Trust,Trust
SZ,Joy,Joy,Joy,Anticipation,Anticipation,Anticipation,Anticipation
TG,Anticipation,Anticipation,Joy,Joy,Joy,Joy,Joy
TI,Trust,Trust,Trust,Trust,Trust,Trust,Trust
UR,Joy,Joy,Joy,Anticipation,Joy,Joy,Anticipation
VD,Trust,Trust,Trust,Trust,Trust,Trust,Trust
VS,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust
ZG,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust
ZH,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation
