canton,fridays_polarity,mondays_polarity,saturdays_polarity,sundays_polarity,thursdays_polarity,tusedays_polarity,wednsdays_polarity
AG,0.10948370914936138,0.09983985811857361,0.10725012964487667,0.10240975597111188,0.12081126759981388,0.09690246295478931,0.10002717168059652
AI,0.10322968111700513,0.0977779505856126,0.10873523363021317,0.10315143927512944,0.12608761419831685,0.09867541640868331,0.10519638637569234
AR,0.0794746049229778,0.14686935585663527,0.07065670250037305,0.12223264540950356,0.12027300374063772,0.09306038864448203,0.11011219530011042
BE,0.10370948351577255,0.10342519161039697,0.09823216834906671,0.10239015003013857,0.10384974148878705,0.10197176030466296,0.0991613439500839
BL,0.08649434189859674,0.103433199996976,0.09586502410303428,0.09381945353882412,0.14224996157593628,0.09601703733445752,0.09185572014065418
BS,0.08528343129084104,0.07963509415920031,0.0816661276001748,0.08362158358306258,0.08681252898747115,0.08251401542871167,0.0809876498328231
FR,0.08953434496370212,0.0882523577816261,0.07963206104850677,0.07686472963677982,0.10314262196323211,0.084388250552409,0.08314860866468962
GE,0.0591660350295714,0.05837398351313776,0.05878590273516113,0.05827920042970763,0.06262774013581146,0.05926573541318697,0.05903415205791183
GL,0.05714222596857083,0.05618121255641058,0.05854724562418466,0.06177413018417525,0.22574555044720682,0.0493252216602565,0.054562698857646634
GR,0.11136490416152264,0.1021577589699435,0.10585929793743908,0.10282370904038375,0.17247957748094528,0.10474085188742488,0.10936080193689643
JU,0.13600690779754027,0.11197042661187774,0.1310274255598895,0.10646878506545344,0.17651450690548193,0.11752965241019223,0.11325204084274958
LU,0.10224386302572368,0.09246392888093595,0.09636726391772216,0.0968259525152655,0.1239193703019869,0.10804432585495381,0.09266864883122386
NE,0.06942225672894688,0.06786911325110548,0.06714815664148759,0.06390021490845978,0.07040692410578607,0.06299303521953259,0.06442737458641427
NW,0.11417778190067884,0.11723294972630326,0.103415957367388,0.09732158738283302,0.25124436598410943,0.10170561486621081,0.10664911376798454
OW,0.11253099308281249,0.14164601174298505,0.11778752093522456,0.10939643086842166,0.12879746634475342,0.12486931046720855,0.13322745509417588
SG,0.11296584889148167,0.10134334933621814,0.11493036554980089,0.11329262197478185,0.1651559801385473,0.10514521432155008,0.109314629554839
SH,0.08360008837318739,0.102821303530531,0.09609154657296712,0.08939989219132638,0.24100537185103327,0.08631790901615412,0.09123819409683327
SO,0.09924392944494685,0.09811241996271625,0.09508611026500838,0.10718489533791614,0.14204266121354153,0.09850180335576295,0.09664168565124971
SZ,0.10684393391362597,0.11178266573384515,0.11982065537543231,0.109735193655212,0.1666262046732056,0.11330790517847893,0.11022904219074524
TG,0.13739273668335125,0.10516499501890378,0.12277444791618598,0.12325022542916471,0.14479513848827671,0.106502850414925,0.13344516157659952
TI,0.15328357734811518,0.15253472687062444,0.14633848155230755,0.14747102814335614,0.15980681981731643,0.1611685204758503,0.16339998602300693
UR,0.14781103006087745,0.13996973785250139,0.1428975787795714,0.09257284270716222,0.2618984281436914,0.1193255678298201,0.09736024672591288
VD,0.09066627041662684,0.08492790112166228,0.0874741243153048,0.08526744606595313,0.09100508730341098,0.08447624763403315,0.08632734656538942
VS,0.08580609712433669,0.08516083089564465,0.08962252785885427,0.08674548689304516,0.09354092255810956,0.08255451724758575,0.08743052130617497
ZG,0.12747619669144616,0.11298219586942783,0.13289327046249472,0.13106411165537019,0.11615524103280801,0.11817157922230914,0.11409125341691567
ZH,0.10348947396225791,0.09918050386737977,0.10236276987863126,0.1024903946594744,0.1051436514062005,0.10000895446802288,0.10340105828169703
