canton,fridays_polarity,mondays_polarity,saturdays_polarity,sundays_polarity,thursdays_polarity,tusedays_polarity,wednsdays_polarity
AG,31775,30048,32793,35930,32923,30561,31083
AI,497,436,488,501,459,423,389
AR,1016,1123,1033,1099,980,1124,1202
BE,74810,73118,77272,74667,76530,77356,76476
BL,12233,11512,11678,13644,13093,11650,11778
BS,22488,20430,21499,20623,23328,21912,23728
FR,35933,39780,40941,47285,39136,38425,37703
GE,327106,354744,320040,370827,348574,358202,358187
GL,2923,2209,3195,4069,4412,2510,2635
GR,16957,13620,17333,18084,19781,14643,15537
JU,7118,6644,6431,7758,7524,6593,6111
LU,27296,27432,30929,32344,29679,27853,27318
NE,44746,53808,45790,59414,50557,53509,53272
NW,2701,2680,3071,4117,4304,2708,2715
OW,13156,14508,12968,13243,13647,14065,15178
SG,19872,17766,20813,23127,22242,18976,18022
SH,2505,2572,2565,3984,4233,2508,2357
SO,12289,11146,11687,12934,13259,11500,12152
SZ,4324,4244,4873,5822,5054,4395,4042
TG,10344,10332,11387,11426,11273,10692,9682
TI,21212,20537,21172,21057,20629,20651,19770
UR,1410,1277,1703,1696,2345,1659,1289
VD,147950,155943,149186,168459,151849,157334,155889
VS,65542,67174,72080,79520,68326,68158,69955
ZG,9315,9543,8224,8307,9570,9998,9650
ZH,172197,159160,156430,154796,167466,165714,168209
