canton,2012_01_polarity,2012_02_polarity,2012_03_polarity,2012_04_polarity,2012_05_polarity,2012_06_polarity,2012_07_polarity,2012_08_polarity,2012_09_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2013_01_polarity,2013_02_polarity,2013_03_polarity,2013_04_polarity,2013_05_polarity,2013_06_polarity,2013_07_polarity,2013_08_polarity,2013_09_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2014_01_polarity,2014_02_polarity,2014_03_polarity,2014_04_polarity,2014_05_polarity,2014_06_polarity,2014_07_polarity,2014_08_polarity,2014_09_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2015_01_polarity,2015_02_polarity,2015_03_polarity,2015_04_polarity,2015_05_polarity,2015_06_polarity,2015_07_polarity,2015_08_polarity,2015_09_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2016_01_polarity,2016_02_polarity,2016_03_polarity,2016_04_polarity,2016_05_polarity,2016_06_polarity,2016_07_polarity,2016_08_polarity,2016_09_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity
AG,0.08717831594317409,0.09329875700280113,0.07878958452653685,0.08925607389767368,0.09722718312548226,0.08406609752213084,0.11129447353821872,0.15268642322772039,0.10137130593310602,0.10399355334520546,0.117520891041743,0.10528088564501614,0.11898617960514465,0.11278958137782852,0.1122346567802428,0.12448274337591572,0.13182968950591803,0.1368182341684026,No Data,No Data,0.1057907801449134,0.11430647272850437,0.11952338442401014,0.13790266437818013,0.19923694993293636,0.1281377189377015,0.12198679017187244,0.10802723093074539,0.10330500767535647,0.10894256509032395,0.10343646315349728,0.10030361369986672,0.11353372002738595,0.09588483649580277,0.10036143704967015,0.10525212654513454,0.11155846386418271,0.10927738074568276,0.11505999184585763,0.04526016204639128,0.10162387571980883,0.08565911368492715,0.11250931680711379,0.13203697781321658,0.12085188388654744,0.01953457961239215,0.06328186767940015,0.10867863978965199,0.09835125890552388,0.08471990478905529,0.11740854977040832,0.10218418645386865,0.07046271520972969,0.09405465177953808,0.11305139941395348,0.10806355270062412,0.09665054576628453,No Data,No Data,No Data
AI,0.0875,No Data,0.0,0.17296238244514106,0.16013931113078844,0.13119360770402433,0.07897296722009367,0.03649949341438703,-0.004761904761904761,0.1407051282051282,0.15123697916666665,0.1301190476190476,-0.053091016006842615,0.19529320987654322,0.06228461081402258,0.14545238095238092,0.04366769547325103,0.15872603222249448,No Data,No Data,0.13956582633053222,0.044781295093795095,0.06284794812233836,0.023257575757575758,0.021249999999999998,0.04221590909090909,0.050013037988581456,0.062110433604336046,0.062185622043216975,0.09399051490514905,0.07705518018018019,0.18558743169398906,0.13551747311827958,0.27,0.3112461419753086,0.08770833333333333,0.09138755980861245,0.12225378787878788,0.2,0.14285714285714285,0.09166666666666669,0.10394420394420394,0.06984598983850478,0.09974724307293117,0.11156914893617022,0.17492167919799498,0.14083333333333328,0.1515322177822178,0.049949971412235554,0.14250000000000002,0.041025641025641026,0.12014173041570304,0.07866792224702382,0.11082695019753992,0.09069489218425389,0.13612987987987987,0.04318368873924429,No Data,No Data,No Data
AR,-0.0671875,0.029166666666666664,0.051428571428571435,0.08821428571428572,0.2005020080321285,0.15177642530170618,0.16726029700600784,0.18193958614914496,0.19143810261707989,0.11793968265206027,0.0858128478664193,0.06201006792352947,0.16524521380978457,0.09296875,0.025791005291005295,0.07814547837483618,0.07292323351720517,0.10772558288427439,No Data,No Data,0.10229166666666667,0.3287226382488479,0.42941162061532395,-0.0016815264558947057,-0.048972932194900475,0.0809194259194259,0.08428481593276514,0.022715598504060037,0.039497126436781604,0.08875688053668186,0.05079817578255079,0.07259259259259258,0.05821472925981123,0.05921052631578947,0.04611111111111112,0.11627783307197548,0.09220937598986377,0.10569615009746589,0.0797953216374269,0.09713966588966591,0.1283964082792208,0.08834766719187674,0.14927384123812695,0.06400768143192385,0.13143056781406295,0.17852746212121207,0.10500874297878433,0.11865489845045919,0.1275628004619173,0.13488000063172875,0.1534661022729001,0.11939850886540036,0.1379011202865213,0.11576718591062854,0.09455243954405027,0.09000959906441464,0.07504619364375463,No Data,No Data,No Data
BE,0.07035754103154587,0.10330249707335278,0.07442000530044472,0.09802602288939075,0.10185817546017421,0.0948217110902297,0.11099654605741935,0.1041757747584151,0.09795986142867034,0.09229833114361664,0.09472639475916071,0.08359652509123446,0.09252319637398326,0.0855099674706945,0.09536917519692778,0.10748431929249404,0.08486097587698846,0.0762375399121318,No Data,No Data,0.07259724715900753,0.08095432336745147,0.0856121255886481,0.10124570732520066,0.10469192804866422,0.09099000047115234,0.10338676957951672,0.0986422556071393,0.08859862928055671,0.09283903789774846,0.1027990102929337,0.09914507413444414,0.1033619922054769,0.12812322997462988,0.11512307841229104,0.10193614120398649,0.0990120994480806,0.0753640495528114,0.0932153250250073,0.12441465029480311,0.11462255802426469,0.11136464960420729,0.10823314261069958,0.09902054763774354,0.09480606212058064,0.09699327668510951,0.09263271439111531,0.10781962706963673,0.11233607429211587,0.10108452650578263,0.11927911755360883,0.11509178369551797,0.13318172177520093,0.1126135820468562,0.12207282548791099,0.1267512886025921,0.12024699170728757,No Data,No Data,No Data
BL,0.07685185185185185,0.007743128964059198,0.011365891053391046,0.1300226466857916,0.1254379930050223,0.09739949595272847,0.08917861523548337,0.0912542441534272,0.0743732781673845,0.112924830554584,0.09667978492315588,0.09089505832544162,0.08727609930931737,0.07734770591813488,0.08874196751239449,0.09329853358805178,0.09840233573378307,0.08655878125579732,No Data,No Data,0.08643819534766847,0.11103504628070286,0.1070592555554788,0.08127773889965352,0.2563115983646759,0.08150267975413132,0.09640921825078451,0.0872793170784951,0.08678019769202061,0.11398033612460894,0.09398069833544298,0.1353949120960542,0.09890087249471058,0.08887150168577057,0.08895852866887652,0.09574632907601655,0.12033588647892773,0.11509446487042753,0.12239562337827822,0.07727531755014783,0.10318137694567532,0.08308943186960956,0.09840967486207115,0.08156110419955331,0.080544138982994,0.11237765510107438,0.0959923702159679,0.08987748551291448,0.08854295388486762,0.09003408127571576,0.08385743866712778,0.08858053607437,0.09243258966538878,0.07486310530513142,0.08790500121901323,0.09143390871011879,0.10830092759307879,No Data,No Data,No Data
BS,0.10169947757390417,0.11716784408502201,0.1033890459898524,0.08294946512917532,0.06858967034949663,0.07376494226597799,0.03500074585465659,0.00042723695883615457,0.053519180779079016,0.040794895164172444,0.04084083941926358,0.05003238843726258,0.05516099060161837,0.054042342219715295,0.05603907238214713,0.05300071509652796,0.05592909842515275,0.06713144642709298,No Data,No Data,0.09417360235125179,0.10142152807853007,0.10017886146376119,0.11067643187966876,0.09952225133279942,0.10407237674904282,0.11931285008174652,0.10575600795954287,0.11750511228051835,0.0872240262709551,0.10121614357840107,0.0751979294425412,0.08396778915407917,0.08596764955590129,0.09403872003173658,0.09038957150369016,0.08564060501103025,0.09071684986851061,0.11264692607837924,0.10874467990982224,0.09196386584290286,0.09771155429030574,0.08117931367888306,0.08394513024587756,0.09835729481395274,0.0982140023400571,0.0955706397320918,0.09276367861280434,0.08726487832943135,0.08915738735539924,0.1250936351894063,0.10061182196468638,0.0906129503030205,0.11959872934520294,0.10120525012288056,0.10261804299670796,0.09709963596639413,No Data,No Data,No Data
FR,0.08089439895276293,0.07087775907220352,0.10475893191170972,0.10967308313243905,0.0935553487350987,0.10437898497104202,0.10089904759099422,0.11101889308577892,0.08966116737326944,0.08644963850946369,0.08559325439034322,0.09003910002548193,0.0818139134436186,0.07445800195659436,0.07113682050012124,0.07132282054760285,0.06785837355324198,0.07239755789343669,No Data,No Data,0.07208508527932207,0.08022070390914246,0.0725077807039855,0.06762132232192689,0.14780660412068375,0.05691867476633305,0.06878748039451632,0.0836891663755695,0.06211798390418598,0.057880588747348916,0.08072379646014005,0.09037046369333188,0.09923644332254342,0.08091892375070889,0.06464871800203528,0.07472740447834642,0.08571470737470237,0.07086185756153218,0.08727901238525156,0.08491378470219012,0.0707105128264417,0.08942815655315987,0.1012313736200066,0.09090337852287245,0.08707437048251324,0.10649658119553689,0.11211775413838,0.13071881269875638,0.1312640743328807,0.11192095873280052,0.1072812321780402,0.10669384011059883,0.10579123940319292,0.10943137791168275,0.09964588337277423,0.07437920012412581,0.09489381833163749,No Data,No Data,No Data
GE,0.06318685101671266,0.07984130817660431,0.0915442534550813,0.10197303607739332,0.0927250041264098,0.09694833073598423,0.08981992775496783,0.08837950620995477,0.08747894262737832,0.07769782110115298,0.07001055130517879,0.06066749034874437,0.05383403076042874,0.05387080508894886,0.05113885983905885,0.04914872298392138,0.046706577670117023,0.04971592658849324,No Data,0.0,0.0439284244518477,0.045547935962776634,0.046417472491929256,0.04983375173681495,0.057635280947544776,0.04906779279310143,0.05461215227159697,0.05099300698431381,0.05330595439300506,0.048844377773458,0.047909185038279296,0.048207454158467486,0.056357469732890436,0.06356101332161583,0.05835511903635268,0.06246231620956701,0.058697631099460204,0.06458266256934954,0.07953899862893796,0.06912302148686861,0.07522268722690302,0.07091848370905611,0.08401916051217967,0.07441665041125556,0.07408123170566353,0.09485786241178462,0.0714158561581133,0.08217634787276583,0.0809442489858368,0.08499257203605544,0.0837639845903526,0.07424059173763,0.08578961131500273,0.08332273457876542,0.08035263431517302,0.09095431357922093,0.08452962032316425,No Data,No Data,No Data
GL,-0.06691919191919192,0.0,0.0,0.023412698412698413,0.02815732758620689,0.046421907450674975,0.03428489042675894,0.0332316427680064,0.03799382716049383,0.02522770551057889,0.035800636659757176,0.04348978745613362,0.05684418534790282,0.060075408462505246,0.06987509850275808,0.05573375262054508,0.06637545934652991,0.05678854089677259,No Data,No Data,0.09238175019425018,0.10450552800509993,0.022951942155067157,0.09034637854074375,0.3982219425785992,0.05161474660397075,0.10133762225428895,0.12213198676711248,0.05506784315457785,0.0724043535617536,0.1387327906195831,0.05081950995807126,0.06323401856809742,0.018865467838810778,0.05274900881748655,0.10132679916291468,0.05786006013197106,0.030205661708130292,0.023438108766233767,0.013452914798206279,0.018241589401227956,0.015877812213039483,0.03673856858953012,0.020307088744588742,0.012417218543046353,0.0709493670886076,0.08819355527102005,0.14440354633289415,0.12314687721191785,0.12099831894526662,0.047535596933187284,0.07371954340704341,0.07519654088050315,0.08147612365044594,0.08895853965871654,0.11120405018710104,0.04795630725863284,No Data,No Data,No Data
GR,0.07874262362333935,0.09855146252749407,0.057556752712308264,0.0393583491448472,0.05731725195105543,0.08443335319882536,0.12061078407066828,0.09316510385334212,0.10772178146539617,0.06647818553965823,0.07990509364437272,0.08391794773872084,0.11163557149972327,0.08609426560608108,0.1072829218807796,0.09961288474277506,0.10593554824899468,0.09366983263065562,No Data,No Data,0.08534397703720688,0.10628413028075659,0.12372314353302279,0.10649121225942346,0.26932030489720504,0.12031855286424901,0.1247746400267596,0.0949088352648508,0.088279060015144,0.10940091202608113,0.09059635703652635,0.08344069088900703,0.10039433643910127,0.0889576931920969,0.13777874865171055,0.1258861941021171,0.13431266597893554,0.10039705340641508,0.09386302388354505,0.08935513753222084,0.1291305409634062,0.12097000187283705,0.09275354435704751,0.08397051724398265,0.07818611410216922,0.05889179648598662,0.07509303796694586,0.11398931381236181,0.12145451754523653,0.09638341066301911,0.11578314355842642,0.11062460664127576,0.10570511553494735,0.1176941274434957,0.12700855042399295,0.12631189020752925,0.07319663672452485,No Data,No Data,No Data
