canton,2012_01_polarity,2012_02_polarity,2012_03_polarity,2012_04_polarity,2012_05_polarity,2012_06_polarity,2012_07_polarity,2012_08_polarity,2012_09_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2013_01_polarity,2013_02_polarity,2013_03_polarity,2013_04_polarity,2013_05_polarity,2013_06_polarity,2013_07_polarity,2013_08_polarity,2013_09_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2014_01_polarity,2014_02_polarity,2014_03_polarity,2014_04_polarity,2014_05_polarity,2014_06_polarity,2014_07_polarity,2014_08_polarity,2014_09_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2015_01_polarity,2015_02_polarity,2015_03_polarity,2015_04_polarity,2015_05_polarity,2015_06_polarity,2015_07_polarity,2015_08_polarity,2015_09_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2016_01_polarity,2016_02_polarity,2016_03_polarity,2016_04_polarity,2016_05_polarity,2016_06_polarity,2016_07_polarity,2016_08_polarity,2016_09_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity
AG,326,340.0,388,1074,3164,3363,3085,3783,2123,2961,3239,2870,3354,2970,3558,3853,5289,5021,No Data,No Data,1094,2948,4410,6815,6415,4865,5886,4645,4712,5270,5350,5763,4310,1085,3830,2192,2693,2307,1178,1864,5892,5946,5225,4677,4107,9189,11723,5057,4291,4589,4325,4812,7357,5803,4959,3234,1866,No Data,No Data,No Data
AI,2,No Data,1,29,220,72,87,47,21,26,64,21,31,36,51,35,54,53,No Data,No Data,17,66,41,30,10,20,46,41,158,82,37,61,93,5,36,20,19,22,8,14,55,63,167,109,94,38,140,130,53,20,52,73,96,124,141,74,27,No Data,No Data,No Data
AR,8,4.0,21,140,166,89,153,136,66,237,280,169,83,64,105,109,141,320,No Data,No Data,40,186,162,277,369,111,64,130,58,151,130,105,122,19,45,109,123,95,38,39,112,153,91,198,103,40,242,214,184,217,261,227,249,183,149,61,41,No Data,No Data,No Data
BE,829,929.0,1172,3128,8334,8289,8619,9307,5170,9342,8352,8967,9672,7736,9230,9130,12238,12320,No Data,No Data,3190,9165,9363,11713,10880,11403,12176,11634,11206,11819,11325,13557,11307,4193,10750,9195,10294,8315,3296,3096,13232,11301,12090,13253,8388,3489,12284,13329,14197,11640,12872,14115,14120,15504,15722,9417,5633,No Data,No Data,No Data
BL,27,43.0,56,531,1542,1893,1279,1957,894,1690,2190,2241,1703,1559,1282,1671,1863,1800,No Data,No Data,446,1705,2124,3565,3565,1737,1944,1457,1362,2828,3297,2876,1947,530,1537,1560,970,836,436,589,1437,1552,1132,2263,1462,599,1676,2069,1753,1597,1929,1975,1756,1651,1147,824,645,No Data,No Data,No Data
BS,218,163.0,186,991,2900,4333,3452,3623,2285,3705,4078,3595,3541,3244,3203,3730,3498,3079,No Data,No Data,897,2181,2597,2975,2810,2799,4302,3239,2272,3579,3334,2599,3285,1563,2572,2054,2186,1607,646,615,3349,3803,2903,3414,2512,1185,2743,2807,2935,2810,5529,3414,4532,5556,3017,1522,1183,No Data,No Data,No Data
FR,68,81.0,81,2752,6392,5345,5036,4389,3564,9107,8087,9781,11708,7725,9716,10133,13326,9090,No Data,No Data,1684,5297,7097,10879,9559,7373,7544,6908,6273,7551,6782,7623,4134,1254,4109,3405,2486,2228,577,1058,4072,4425,3191,4506,3841,1058,4592,4099,3006,3708,3728,3453,3603,3911,3094,2040,1432,No Data,No Data,No Data
GE,848,1072.0,1140,6115,20224,22034,19237,23548,13263,31625,49638,61759,97951,84500,121745,118047,136483,109939,No Data,1.0,30685,81606,77957,97031,82613,74833,69508,59448,68176,81774,65919,72968,54650,16156,37582,34155,36290,20360,10059,8359,31022,31076,29745,32385,21182,8313,29063,28250,29221,22041,28969,27729,31192,32550,24621,13192,8863,No Data,No Data,No Data
GL,21,4.0,12,105,348,214,289,275,135,308,307,364,269,465,705,477,606,328,No Data,No Data,52,146,100,2106,2123,58,180,179,196,197,159,212,496,347,2201,1985,522,557,350,223,1079,660,338,700,453,79,71,92,123,86,83,74,106,83,106,59,43,No Data,No Data,No Data
GR,503,309.0,225,393,1355,1162,2314,2119,676,1578,1104,2619,3920,3034,2693,2138,1745,1982,No Data,No Data,522,1650,869,6887,8857,2676,2204,1125,1458,1556,1879,2809,1344,272,1357,2243,5443,3353,1302,117,623,1597,2058,2786,1286,355,1259,2895,5840,2837,3768,1674,1547,1979,3850,1583,653,No Data,No Data,No Data
JU,4,6.0,19,639,1350,1484,3580,1725,881,1457,1833,1096,1375,1194,1638,1144,936,689,No Data,No Data,225,1190,944,1954,1888,642,570,519,661,782,881,696,589,359,690,1975,1845,1054,527,127,446,385,565,591,404,169,553,483,357,928,927,1012,562,611,545,265,159,No Data,No Data,No Data
LU,182,278.0,384,1087,3070,2296,2477,2825,1533,3267,3160,2719,3771,3043,2862,3416,5436,4184,No Data,No Data,1173,3141,3133,5674,5567,5283,5522,4856,4637,4753,7526,6499,4480,1285,3977,6311,3895,3173,1206,1381,4550,4174,3520,5402,2906,991,3585,4190,3624,3297,9215,4396,4865,5250,4530,2055,3584,No Data,No Data,No Data
NE,130,207.0,116,629,1881,2580,2233,3322,1532,5109,8873,13427,16891,14297,21642,20661,18964,16940,No Data,1.0,4601,13018,12604,14425,12752,10706,11661,8736,11094,9903,7393,11307,10436,2126,5237,4455,5153,2689,1104,1056,3981,3467,2794,3970,2445,930,2780,2527,3370,2984,3472,3986,3565,3592,2830,2074,1745,No Data,No Data,No Data
NW,9,9.0,6,88,310,298,235,407,244,719,577,863,1010,651,517,470,746,674,No Data,No Data,182,415,270,1989,2211,196,340,355,379,621,553,362,309,105,311,342,343,175,46,72,222,306,412,541,306,131,364,287,171,113,241,284,333,487,337,132,109,No Data,No Data,No Data
OW,14,31.0,39,377,523,895,816,645,186,249,349,484,390,383,579,701,645,589,No Data,No Data,213,1045,1072,1197,835,1015,1139,1127,1462,1570,2313,1156,726,293,2873,4550,2838,3717,1439,1173,3197,3687,3241,5045,3756,1695,8130,4675,4962,2853,2732,2636,2428,2637,2939,1357,930,No Data,No Data,No Data
SG,202,301.0,269,785,2259,1907,2338,2510,1361,2889,3614,3215,3119,2264,3007,3511,3948,3547,No Data,No Data,1270,3306,3220,6834,6981,2926,2813,3041,3081,4452,3013,3170,3152,821,2595,1977,1900,1443,519,533,2867,2557,2020,2377,1509,1772,2724,2342,2377,2263,2742,2320,3159,3051,2899,1906,1013,No Data,No Data,No Data
SH,8,10.0,11,94,341,259,226,415,164,462,255,339,201,175,324,342,296,208,No Data,No Data,84,357,224,1880,2164,272,343,338,405,359,481,561,395,54,286,243,261,191,30,55,396,262,445,581,299,108,422,389,298,177,323,295,445,1567,863,426,172,No Data,No Data,No Data
