canton,2012_1_polarity,2012_2_polarity,2012_3_polarity,2012_4_polarity,2012_5_polarity,2012_6_polarity,2012_7_polarity,2012_8_polarity,2012_9_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2012_13_polarity,2012_14_polarity,2012_15_polarity,2012_16_polarity,2012_17_polarity,2012_18_polarity,2012_19_polarity,2012_20_polarity,2012_21_polarity,2012_22_polarity,2012_23_polarity,2012_24_polarity,2012_25_polarity,2012_26_polarity,2012_27_polarity,2012_28_polarity,2012_29_polarity,2012_30_polarity,2012_31_polarity,2012_32_polarity,2012_33_polarity,2012_34_polarity,2012_35_polarity,2012_36_polarity,2012_37_polarity,2012_38_polarity,2012_39_polarity,2012_40_polarity,2012_41_polarity,2012_42_polarity,2012_43_polarity,2012_44_polarity,2012_45_polarity,2012_46_polarity,2012_47_polarity,2012_48_polarity,2012_49_polarity,2012_50_polarity,2012_51_polarity,2012_52_polarity,2013_1_polarity,2013_2_polarity,2013_3_polarity,2013_4_polarity,2013_5_polarity,2013_6_polarity,2013_7_polarity,2013_8_polarity,2013_9_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2013_13_polarity,2013_14_polarity,2013_15_polarity,2013_16_polarity,2013_17_polarity,2013_18_polarity,2013_19_polarity,2013_20_polarity,2013_21_polarity,2013_22_polarity,2013_23_polarity,2013_24_polarity,2013_25_polarity,2013_26_polarity,2013_27_polarity,2013_28_polarity,2013_29_polarity,2013_30_polarity,2013_31_polarity,2013_32_polarity,2013_33_polarity,2013_34_polarity,2013_35_polarity,2013_36_polarity,2013_37_polarity,2013_38_polarity,2013_39_polarity,2013_40_polarity,2013_41_polarity,2013_42_polarity,2013_43_polarity,2013_44_polarity,2013_45_polarity,2013_46_polarity,2013_47_polarity,2013_48_polarity,2013_49_polarity,2013_50_polarity,2013_51_polarity,2013_52_polarity,2014_1_polarity,2014_2_polarity,2014_3_polarity,2014_4_polarity,2014_5_polarity,2014_6_polarity,2014_7_polarity,2014_8_polarity,2014_9_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2014_13_polarity,2014_14_polarity,2014_15_polarity,2014_16_polarity,2014_17_polarity,2014_18_polarity,2014_19_polarity,2014_20_polarity,2014_21_polarity,2014_22_polarity,2014_23_polarity,2014_24_polarity,2014_25_polarity,2014_26_polarity,2014_27_polarity,2014_28_polarity,2014_29_polarity,2014_30_polarity,2014_31_polarity,2014_32_polarity,2014_33_polarity,2014_34_polarity,2014_35_polarity,2014_36_polarity,2014_37_polarity,2014_38_polarity,2014_39_polarity,2014_40_polarity,2014_41_polarity,2014_42_polarity,2014_43_polarity,2014_44_polarity,2014_45_polarity,2014_46_polarity,2014_47_polarity,2014_48_polarity,2014_49_polarity,2014_50_polarity,2014_51_polarity,2014_52_polarity,2015_1_polarity,2015_2_polarity,2015_3_polarity,2015_4_polarity,2015_5_polarity,2015_6_polarity,2015_7_polarity,2015_8_polarity,2015_9_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2015_13_polarity,2015_14_polarity,2015_15_polarity,2015_16_polarity,2015_17_polarity,2015_18_polarity,2015_19_polarity,2015_20_polarity,2015_21_polarity,2015_22_polarity,2015_23_polarity,2015_24_polarity,2015_25_polarity,2015_26_polarity,2015_27_polarity,2015_28_polarity,2015_29_polarity,2015_30_polarity,2015_31_polarity,2015_32_polarity,2015_33_polarity,2015_34_polarity,2015_35_polarity,2015_36_polarity,2015_37_polarity,2015_38_polarity,2015_39_polarity,2015_40_polarity,2015_41_polarity,2015_42_polarity,2015_43_polarity,2015_44_polarity,2015_45_polarity,2015_46_polarity,2015_47_polarity,2015_48_polarity,2015_49_polarity,2015_50_polarity,2015_51_polarity,2015_52_polarity,2016_1_polarity,2016_2_polarity,2016_3_polarity,2016_4_polarity,2016_5_polarity,2016_6_polarity,2016_7_polarity,2016_8_polarity,2016_9_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity,2016_13_polarity,2016_14_polarity,2016_15_polarity,2016_16_polarity,2016_17_polarity,2016_18_polarity,2016_19_polarity,2016_20_polarity,2016_21_polarity,2016_22_polarity,2016_23_polarity,2016_24_polarity,2016_25_polarity,2016_26_polarity,2016_27_polarity,2016_28_polarity,2016_29_polarity,2016_30_polarity,2016_31_polarity,2016_32_polarity,2016_33_polarity,2016_34_polarity,2016_35_polarity,2016_36_polarity,2016_37_polarity,2016_38_polarity,2016_39_polarity,2016_40_polarity,2016_41_polarity,2016_42_polarity,2016_43_polarity,2016_44_polarity,2016_45_polarity,2016_46_polarity,2016_47_polarity,2016_48_polarity,2016_49_polarity,2016_50_polarity,2016_51_polarity,2016_52_polarity
AG,204,59.0,59,102.0,100.0,54.0,100.0,78.0,69.0,72.0,138.0,100.0,50.0,62.0,57,457,431,559,853,705,682,779,949,787,684,701,685,710,654,717,1289,761,823,493,868,390,6.0,652,830,758,686,564,749,726,607,695,832,737,675,726,558,634,883,733,822,870,700,758,775,912,577,809,825,812,775,635,948,754,1225,1053,987,1082,1544,1258,1312,1399,1493,473,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,383,617,585,617,687,796,682,997,956,1223,1074,2495,1431,1214,1141,3246,464,1098,1142,1087,1187,1187,1257,1246,1238,989,1355,1767,1274,952,906,1216,972,949,1223,1007,1224,1135,1484,1140,1160,1414,1280,1183,1026,1178,1171,1306,1338,1342,1086,994,1143,907,677,68.0,No Data,No Data,936,913,926,757,818,587,277,471,620,278,642,666,695,412,20.0,732,831,898,923,81,No Data,No Data,No Data,No Data,No Data,1042,1416,1331,1257,1320,1390,1320,1129,1383,1559,1685,1342,988,1157,947,1034,933,976,1184,1040,1204,1747,327,No Data,No Data,No Data,2611,7449,3645,2989,2904,1158,1054,1249,1225,1009,1078,1110,855,804,1303,1089,1086,976,1033,984,982,958,890,915,1045,1064,1597,940,1424,1664,2746,1653,1352,1303,1222,1219,1069,956,1239,1136,1412,1368,454,No Data,No Data,1040,826,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
AI,1,No Data,2,No Data,No Data,No Data,No Data,No Data,1.0,No Data,No Data,No Data,No Data,No Data,1,18,8,48,47,33,74,47,27,4,13,1,20,33,5,25,19,10,5,11,8,3,1.0,7,8,3,6,1,10,38,15,10,4,3,3,6,4,7,14,5,8,8,1,4,21,6,10,19,3,3,20,7,4,4,18,10,17,7,12,11,15,12,19,6,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7,9,21,15,8,12,11,8,12,8,15,5,8,4,7,3,3,4,1,1,5,6,5,7,13,3,17,7,2,7,11,23,34,44,55,16,11,24,33,8,13,17,11,8,3,2,10,10,8,31,28,21,20,15,14,No Data,No Data,No Data,3,4,15,10,4,6,7,3,3,3,6,2,3,5,No Data,9,8,5,7,1,No Data,No Data,No Data,No Data,No Data,5,11,5,19,16,13,19,10,18,11,14,18,33,24,85,18,32,21,30,21,32,38,9,No Data,No Data,No Data,12,28,31,43,40,21,42,18,21,47,7,13,13,9,3,7,1,8,5,13,12,14,17,11,20,26,9,27,12,24,21,47,21,9,27,48,48,29,17,30,24,40,10,No Data,No Data,18,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
AR,6,No Data,3,No Data,1.0,3.0,No Data,No Data,6.0,3.0,2.0,1.0,14.0,24.0,27,42,43,40,55,26,34,27,25,16,16,20,38,46,28,30,33,43,13,30,26,18,No Data,17,29,28,10,46,115,163,48,62,22,29,43,49,32,37,84,22,17,16,18,13,19,24,7,12,28,35,26,13,41,23,29,19,12,21,56,42,50,60,124,80,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,9,27,15,23,79,58,23,67,16,47,32,17,52,28,103,142,89,52,44,57,80,10,9,9,17,21,11,12,13,68,25,20,7,12,9,16,20,17,24,44,62,29,26,37,32,17,27,34,19,17,49,11,25,29,15,1.0,No Data,No Data,14,20,7,10,5,31,10,29,29,16,21,34,28,24,7.0,38,26,27,33,2,No Data,No Data,No Data,No Data,No Data,20,31,28,17,32,23,24,33,36,43,27,16,25,27,32,60,29,51,38,41,21,35,7,No Data,No Data,No Data,13,29,49,54,71,63,40,48,55,49,60,49,29,36,51,50,42,69,63,66,67,41,48,43,65,49,57,61,58,67,46,31,47,31,61,41,48,28,26,30,17,35,9,No Data,No Data,23,18,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
BE,584,147.0,224,182.0,225.0,176.0,212.0,296.0,202.0,236.0,303.0,255.0,301.0,329.0,251,1038,1234,1605,2018,1869,1841,2051,1965,1771,1890,2123,2095,2320,1527,1820,2150,2276,2126,1545,2282,954,1.0,1704,2009,2504,2129,1668,2132,2091,1996,1979,1941,1531,2078,1860,2061,2331,2974,2242,1945,2235,2139,2152,2099,1518,1811,2367,1799,2060,2069,2183,1969,2052,2363,2619,2714,2614,2768,2955,3203,3591,3347,1310,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1015,2011,1694,2129,2335,2055,1873,1836,1995,2714,2427,2748,2602,2492,2733,3540,1494,2662,2552,2554,2607,2984,3022,2729,3280,2644,2498,2640,2463,2882,2655,2656,2781,2508,2558,2670,2394,2428,3204,3036,2363,3065,2586,2224,2364,2550,2889,3106,3734,2763,2562,3489,2510,2173,2791,304.0,No Data,No Data,2206,2378,2784,2431,2622,2405,1286,1956,2463,1440,2434,2385,2516,1519,68.0,2332,3644,2726,2644,197,No Data,No Data,No Data,No Data,No Data,1671,2780,3161,2708,2889,3119,3046,2592,2529,2345,2654,2295,2597,3080,3129,3247,3131,2847,2787,2602,2851,2473,827,No Data,No Data,No Data,1346,2444,2778,3208,3050,2630,2444,3154,2942,3219,3084,3497,2975,3251,3079,2811,2355,3054,2883,2927,3077,2659,2857,3498,3730,3323,2748,2678,3438,3312,3572,3387,3399,3381,3717,3868,4018,3679,3450,3073,4008,4139,1270,No Data,No Data,3260,2373,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
BL,93,10.0,2,12.0,9.0,3.0,7.0,16.0,17.0,17.0,6.0,13.0,12.0,14.0,5,178,294,289,497,258,329,311,702,412,452,253,303,340,239,300,204,635,545,271,590,156,1.0,236,282,365,436,265,493,444,569,504,548,293,475,642,472,524,623,343,339,265,741,398,294,257,323,284,284,252,301,245,517,411,381,519,314,382,462,434,352,430,592,295,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,95,300,387,311,376,461,457,478,512,495,483,1739,598,447,541,2209,243,412,436,460,424,501,425,421,432,328,564,433,490,371,236,308,268,265,344,282,383,455,869,803,517,981,1039,678,503,358,504,630,795,800,442,629,450,317,407,40.0,No Data,No Data,296,428,251,312,442,383,242,349,485,117,258,223,210,162,14.0,260,283,331,357,27,No Data,No Data,No Data,No Data,No Data,358,376,384,353,245,310,380,388,354,337,270,226,235,250,365,451,493,525,582,444,571,398,140,No Data,No Data,No Data,181,496,373,346,413,424,539,459,418,474,611,338,315,290,379,440,303,440,410,357,387,545,545,599,423,351,387,364,324,572,339,347,411,445,364,300,301,226,245,251,311,388,125,No Data,No Data,339,306,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
BS,185,65.0,41,62.0,58.0,19.0,44.0,36.0,26.0,75.0,39.0,34.0,29.0,48.0,51,397,408,559,594,640,602,1144,1075,959,963,874,854,793,690,782,874,869,841,567,972,371,No Data,784,872,973,861,636,886,947,970,910,926,835,804,918,869,698,780,729,682,928,940,706,689,1132,689,697,866,760,561,589,868,812,1188,911,731,881,764,735,742,1034,756,296,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,334,517,394,520,561,533,417,475,449,875,707,730,736,632,599,771,325,717,659,705,792,822,659,545,762,924,608,1628,1041,715,642,767,585,506,570,530,362,447,749,1571,695,721,731,894,756,509,557,613,674,561,976,841,879,484,992,36.0,No Data,No Data,1026,543,478,575,590,742,413,357,363,193,441,581,600,371,9.0,523,538,615,512,56,No Data,No Data,No Data,No Data,No Data,410,488,720,905,720,721,648,739,1585,642,694,609,594,638,687,883,808,701,786,628,1005,737,248,No Data,No Data,No Data,429,878,680,695,542,616,618,745,633,590,635,593,717,721,690,684,615,739,784,801,2318,1290,799,792,777,820,739,866,750,1875,739,709,997,2406,1126,860,836,605,668,573,589,653,280,No Data,No Data,654,529,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
FR,252,13.0,14,23.0,18.0,26.0,9.0,18.0,25.0,12.0,17.0,23.0,20.0,19.0,12,1439,1082,1487,1510,1792,1017,1290,1067,1230,1285,1536,1217,923,836,1406,1663,1313,839,514,740,397,1.0,1338,1523,1951,2301,1408,2565,1895,2125,1846,1799,1535,2654,2467,1968,2223,2354,2976,2637,2793,2517,1977,1406,2185,1812,2267,2496,1802,2347,1422,2422,2516,3076,2970,3828,3149,2705,1980,1982,2197,3068,1234,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,559,1001,925,1033,998,1675,1359,1176,1543,2011,2227,3551,2386,1925,2168,3670,1286,1631,2073,1531,1654,2164,1912,1902,1693,1777,1689,1559,1410,1471,1718,1479,1985,1493,1288,1337,1441,1270,2042,1912,1744,1893,1705,1382,1329,1587,2268,1585,1375,1595,1371,963,952,689,539,65.0,No Data,No Data,1150,785,753,875,1355,1009,454,601,1104,298,779,614,544,251,27.0,724,670,879,474,31,No Data,No Data,No Data,No Data,No Data,572,1026,1064,781,891,796,796,1215,1312,907,644,507,709,796,1053,870,693,1049,1353,1553,1149,936,421,No Data,No Data,No Data,402,744,1167,996,1271,945,1070,1069,848,748,571,692,709,770,746,721,674,1283,991,937,904,756,692,805,1015,824,658,882,843,733,813,809,952,925,862,1019,672,635,605,741,688,1081,271,No Data,No Data,938,494,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
GE,2330,188.0,194,207.0,236.0,170.0,193.0,454.0,236.0,277.0,309.0,181.0,257.0,158.0,214,2679,2694,3296,5572,4127,4892,4815,5785,5431,4939,4395,4868,4643,3522,4471,5255,6459,4498,3714,5843,2417,12.0,4113,5593,5949,7378,5900,8843,10087,10423,11753,12047,10062,14638,14234,13975,15577,23053,21358,23371,23246,23589,18724,21828,20807,24145,27921,28461,30141,24156,25597,27849,25734,29636,33150,31011,28515,31522,30573,27602,29709,31845,11726,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1.0,No Data,1.0,8652,19246,17726,16767,19087,19480,18580,15648,15655,20548,22783,23854,22512,18584,21552,21038,10883,21004,20088,18864,19703,17781,18291,19228,18365,14593,14668,13788,14393,14280,12769,13463,15206,16227,14716,15631,15539,14491,21143,21298,19471,17692,16667,12822,13532,13835,13979,14346,17952,21004,14671,16429,11534,9064,10965,1592.0,No Data,No Data,9121,9437,9498,8405,7672,9856,5368,7191,8229,6067,9488,8500,7395,4840,186.0,6915,7179,7053,8455,631,No Data,No Data,No Data,No Data,No Data,4128,8130,7466,6540,6886,6231,7319,7064,7016,7465,7858,6519,5946,6961,6225,6574,8005,7612,7547,6381,6285,7568,2043,No Data,No Data,No Data,2637,6529,5881,7563,7639,5966,7301,7501,6165,5174,6343,7887,6809,5906,5355,5758,3847,6087,7942,6681,6010,5817,6461,7210,5861,5525,7163,6358,6841,6831,8335,6429,7000,8280,7736,7715,5939,5677,5066,5178,4963,6394,1835,No Data,No Data,4645,4218,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
GL,17,12.0,4,3.0,1.0,2.0,1.0,1.0,No Data,4.0,5.0,1.0,3.0,4.0,2,54,33,51,69,90,108,80,24,18,59,85,72,75,56,57,83,53,76,35,71,7,No Data,34,69,72,77,72,71,59,66,77,59,71,122,91,80,46,68,60,67,66,209,73,94,103,51,152,134,188,205,88,84,193,65,158,183,112,131,90,69,66,140,32,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8,36,46,39,34,28,16,21,6,35,37,1482,375,44,166,2100,16,36,32,10,16,20,12,10,27,59,42,43,38,47,56,31,42,43,17,45,69,85,41,31,29,49,42,42,18,32,48,42,59,44,37,63,188,156,225,32.0,No Data,No Data,237,219,425,720,742,1671,42,75,128,128,89,59,56,190,10.0,186,201,196,282,32,No Data,No Data,No Data,No Data,No Data,137,248,196,264,238,219,162,146,155,157,160,73,45,46,82,145,151,175,191,132,154,145,32,No Data,No Data,No Data,39,47,22,16,10,15,17,13,21,32,22,20,33,27,19,25,17,20,10,19,22,27,17,11,10,17,32,23,22,34,17,21,24,24,11,23,29,30,13,21,29,26,4,No Data,No Data,27,16,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
GR,278,45.0,53,321.0,83.0,43.0,110.0,55.0,117.0,47.0,45.0,43.0,22.0,28.0,30,94,222,153,311,272,432,292,294,210,306,328,623,524,374,522,620,584,532,341,353,89,No Data,227,250,342,629,277,234,224,220,236,306,268,408,434,611,895,1067,500,681,1843,605,828,714,754,710,548,560,503,805,467,635,564,331,339,301,288,402,738,509,619,347,325,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,116,377,370,296,303,570,214,111,162,243,386,3597,794,390,1528,5458,394,660,2385,621,589,869,665,520,511,619,431,460,242,333,211,260,246,233,446,417,246,372,375,357,381,349,415,356,560,479,496,717,585,773,360,326,339,283,189,36.0,No Data,No Data,141,337,354,256,352,266,320,387,803,668,931,657,2776,411,39.0,1122,1168,1136,1024,166,No Data,No Data,No Data,No Data,No Data,72,78,114,154,166,156,221,246,284,699,554,409,437,468,510,577,577,577,835,468,439,304,122,No Data,No Data,No Data,124,269,314,325,262,279,356,379,687,815,587,622,3414,743,793,726,597,672,656,1016,994,757,654,578,323,309,242,392,281,330,442,270,539,514,450,605,1192,861,718,744,758,664,161,No Data,No Data,373,280,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
