canton,fridays_tweets,mondays_tweets,saturdays_tweets,sundays_tweets,thursdays_tweets,tusedays_tweets,wednsdays_tweets
AG,40915,39563,41597,46011,43662,41007,41398
AI,609,561,649,622,608,556,541
AR,1535,1598,1626,1592,1400,1575,1534
BE,88894,86548,92478,89988,89918,91915,90818
BL,15255,14537,14910,17127,16509,14874,15289
BS,28054,25537,26378,25972,28711,26932,29250
FR,36353,39757,40085,46579,39703,38201,37960
GE,270117,292233,264650,304650,293283,297839,301893
GL,3848,2945,4106,5034,5257,3186,3396
GR,22197,18289,22489,23509,24990,19373,20512
JU,7193,6763,6511,7906,8133,6844,6279
LU,32483,31595,35332,36659,34655,32322,31981
NE,40223,46863,41018,51697,44606,45548,45881
NW,3607,4113,3787,5952,5325,3439,3531
OW,16457,18198,16504,17162,17187,18088,19085
SG,25804,23985,27651,29815,28337,25873,24943
SH,4883,4911,5530,7153,6542,4635,4332
SO,15983,14957,14582,16236,16811,15172,15841
SZ,5134,5205,5833,6795,5874,5171,4686
TG,14941,14652,15886,16255,15918,15061,14118
TI,60515,55576,54913,58334,56172,57584,59796
UR,1717,1540,2056,2056,2580,1916,1529
VD,136126,143497,139281,157408,141358,144331,144042
VS,60941,62204,67089,74617,63739,62719,64501
ZG,10762,11254,10093,10132,11060,11489,11353
ZH,209640,196411,192175,193424,205126,203387,205445
