canton,fridays_Anger,fridays_Anticipation,fridays_Disgust,fridays_Fear,fridays_Joy,fridays_Sadness,fridays_Surprise,fridays_Trust,mondays_Anger,mondays_Anticipation,mondays_Disgust,mondays_Fear,mondays_Joy,mondays_Sadness,mondays_Surprise,mondays_Trust,saturdays_Anger,saturdays_Anticipation,saturdays_Disgust,saturdays_Fear,saturdays_Joy,saturdays_Sadness,saturdays_Surprise,saturdays_Trust,sundays_Anger,sundays_Anticipation,sundays_Disgust,sundays_Fear,sundays_Joy,sundays_Sadness,sundays_Surprise,sundays_Trust,thursdays_Anger,thursdays_Anticipation,thursdays_Disgust,thursdays_Fear,thursdays_Joy,thursdays_Sadness,thursdays_Surprise,thursdays_Trust,tusedays_Anger,tusedays_Anticipation,tusedays_Disgust,tusedays_Fear,tusedays_Joy,tusedays_Sadness,tusedays_Surprise,tusedays_Trust,wednsdays_Anger,wednsdays_Anticipation,wednsdays_Disgust,wednsdays_Fear,wednsdays_Joy,wednsdays_Sadness,wednsdays_Surprise,wednsdays_Trust
AG,37977.3718826,53070.3653831,43354.0637163,25989.6316462,74526.7510678,39513.8980496,96669.3729534,38101.2311888,37519.0692046,53142.245076,43556.4428705,25085.1997078,72528.6664704,39605.016523,94875.0953832,37970.6162533,34160.677506,47720.5870118,39250.6022888,22876.3811464,65079.9712169,35693.7241213,85114.8626121,34373.3491228,40359.2679054,56673.5958778,46126.8798383,27053.2159928,76620.8311324,42157.6835745,99979.0691616,40594.8394226,42651.2585368,61730.5041904,48342.7920273,30161.5113597,86249.0597968,44607.5337245,111135.799622,43031.741662,41525.924238,60092.4197457,47232.5596187,28889.9790334,83847.6507041,43277.695786,108120.26111,42328.7693519,39553.6630748,55815.9762624,44643.1910381,27897.8358512,77891.7667071,41200.4001397,101972.213102,39479.8968935
AI,398.713982078,528.133701372,433.627028247,298.462009232,686.376061679,433.271761582,1009.87255504,362.076915635,317.62107248,442.899855045,328.421725763,268.527994711,557.8723654,345.346175922,836.343126219,289.699492965,465.43170298,735.87322378,513.090569129,365.164111234,934.658523448,531.069952282,1295.63907215,459.06952425,356.314584913,536.166061109,383.968045985,284.064538219,701.306551486,397.163518203,956.863024557,342.215686454,430.691851633,598.864469632,456.756534307,342.863406259,758.118545395,481.917064885,1147.33444879,398.055045308,302.266685931,413.269503456,313.570526097,237.662775192,505.165947787,328.633051807,767.851936007,263.203545735,353.394742422,496.012732767,389.969487383,273.132318758,593.063650637,393.512592564,912.849326003,327.261628591
AR,1718.07132291,2460.81924218,2033.38914035,1082.69045935,3615.77048086,1735.08181225,4353.7400197,1851.73644397,1231.12960781,1756.06270152,1376.04311647,853.313122227,2406.69683043,1255.92559274,3108.9522861,1252.23536764,1967.50600449,2873.12077184,2357.91566959,1190.40176374,4364.7532422,1946.53794795,5002.06015396,2184.16449943,1816.84168264,2629.42181211,2141.20292824,1122.67893652,3929.2991483,1785.91195177,4607.12705911,1992.13891069,1543.25426758,2216.90769895,1833.85827217,961.714849291,3253.81471583,1552.67354173,3916.71204469,1660.39344564,1467.77071342,2048.27590792,1700.37711264,946.775524976,2951.77242684,1473.20488818,3701.89190047,1533.150259,1200.21413807,1627.64313911,1378.06557863,815.751874412,2315.80283827,1235.60730185,2934.05734962,1213.19783521
BE,62625.1720968,86341.8849597,70677.9624901,42875.8599976,119760.016345,63588.4851736,156605.043031,63291.6269655,62090.4775004,85882.385433,70119.4047324,42579.918002,119645.083,62865.698911,154387.824242,63164.2180246,62279.9350619,86838.2985956,70325.2069704,43039.5856697,120033.563373,63427.9425255,155532.707442,62702.9548968,61673.0060669,86318.4143152,69720.2449555,42995.9404982,118791.339838,62585.4680011,153645.418691,62126.8275255,62814.2882864,85478.8046802,70678.8700744,43142.1231214,118643.290872,63718.0876222,155765.652545,63009.0457951,65280.9474066,89560.5785975,73367.6743091,44630.8311057,124527.035494,66025.144846,162425.306183,66049.3077564,65530.5459985,89553.7585172,73680.1505558,44733.6824103,125112.092612,66151.447141,162501.628632,66355.2956557
BL,11807.1238959,16135.3962943,13492.3467965,8201.71931708,22370.9153766,12024.6523361,29063.5497771,11789.3083432,10903.5033043,14713.3992231,12429.9717393,7524.54517237,20741.7945283,10982.2158638,26622.5802576,10914.7014556,12751.1861495,17932.337018,14794.6428289,8665.9611821,25334.6931541,12863.4547898,31673.7396564,13215.6706121,13313.1300908,18351.3589872,15202.0076979,9239.78086289,25858.0082106,13444.5187622,32460.6285819,13409.8050481,12243.3199542,16756.8014332,13857.9533597,8609.86695436,23552.536683,12308.0174395,29751.8031821,12314.7825604,10968.0005193,14781.3039385,12352.7738279,7699.73771085,20488.384902,11105.6255056,26843.7163787,10844.4851677,11582.4453823,15869.6523799,13158.1738695,8061.27553845,21961.7677703,11724.7518842,28502.6551191,11587.7402886
BS,23214.2495584,32617.2306536,26469.6201434,16194.8764256,46030.5595856,23435.8359184,58471.4155561,24391.6689705,19998.1862638,27664.122161,22632.6201775,14205.6037847,38486.6719142,20421.7990059,49898.776358,20617.1784125,18761.6381796,26080.9345619,21151.838694,13744.717559,35737.4376386,19407.406279,46745.2600376,19001.3118013,20413.9251122,28641.3721882,23038.1504202,14590.879457,40098.8487089,20792.1452775,51011.1977906,21076.2442813,22292.8895325,30793.4901585,25092.5332089,15828.7820366,43049.3176297,22714.1033442,55421.1073917,23110.5985338,20206.3398293,27557.5247241,22652.9993018,14470.906245,38336.679255,20591.7846491,50072.0446711,20703.415229,22598.5516602,31073.8322815,25375.4386771,16110.0389243,43142.235532,22981.174932,55905.5441236,23231.2146003
FR,16106.4868833,25010.1415804,16467.5347668,12074.3116815,30050.4361226,15644.3538385,40730.6288346,15966.425285,16917.5904068,26260.3088029,17096.7874896,12781.0682185,31238.3767633,16338.985199,42434.2734035,16685.1724079,16903.3953173,25947.1473321,17474.3375797,12731.3280993,31185.5090241,16425.0342585,42642.1678611,16489.8900703,19667.5832211,29801.1236536,20123.0549509,14913.3499789,35835.802956,19030.2124057,48819.1225493,19117.0796811,17019.7953493,26347.4939297,17151.8147131,12924.5687599,31880.9985703,16317.4109099,42238.6112349,16886.1116446,16653.4021133,25894.778763,16861.4742579,12529.5944831,30780.9696062,16016.424759,41856.7574729,16538.1025543,16672.7144019,25854.8105624,16874.6790044,12447.7862217,31268.7717589,15882.7754836,41880.2545797,16699.3396895
GE,100995.021487,147459.540112,94773.6029716,77968.4829547,173752.081887,92111.8584756,228409.618029,100359.38147,108786.405494,157172.213316,100657.785409,83833.313658,183679.946335,97972.1095098,242782.951548,107316.246365,93325.5284212,137553.491037,87780.0241844,71418.3085414,160949.865467,84265.3442885,212599.610436,91132.7488517,106644.487712,155980.047289,99248.9838131,81209.6937965,180139.941806,95360.4802165,240647.450162,102996.091152,108297.986053,155471.57134,99974.9787666,83922.2503276,183380.527399,97690.3568539,240182.590099,106977.502644,114582.483085,164981.198921,106088.17134,89157.0067284,195111.122635,104028.527685,256938.049554,113950.658878,114558.036633,164919.925407,106003.421487,88764.949873,194030.938,103644.674986,256320.081644,113423.080002
GL,2649.81905862,3649.59606079,3063.28875489,2319.24547353,4066.26238473,3120.19429894,6782.58313688,2497.71338598,2174.17051884,2885.58560392,2496.91546806,1884.9647659,3270.86412302,2546.08234487,5458.92702971,1972.70726679,2883.19760137,3901.81778301,3366.84027529,2540.4613184,4410.62233445,3436.59731496,7274.15451594,2668.64425031,3303.56738103,4329.89937662,3719.17468064,2883.04923182,5152.26489321,3777.79108318,7848.94691187,2985.04127142,2914.17186981,3763.79638388,3226.31180589,2625.77072059,4654.63353937,3231.46388999,6701.28973262,2651.9268195,2150.09631751,2836.5190225,2480.32755916,1814.81493346,3308.27219719,2472.55447936,5342.11594491,1953.52925519,2214.67315974,2932.06483998,2556.58123067,1904.91471173,3281.65991881,2639.14258082,5634.20923436,1987.64071453
GR,16444.3818526,23846.7534476,17907.7924869,12748.6705954,31111.1831768,17351.8672748,42358.2192418,16671.1867122,13799.8222427,20082.9357457,15259.3966644,10442.1754641,26394.3239374,14481.0987642,35512.3044821,13902.3407306,15950.2264911,23167.6576759,17393.6350665,12390.4588034,30391.2685559,17046.382426,41412.3764301,15867.2731234,16404.508625,23568.4117485,17921.5686759,12760.2724397,31152.5669253,17422.501074,41829.9774353,16048.6541173,16859.3842596,23879.508215,18097.7216737,13337.3212572,31298.9633907,17513.6062211,41377.9301601,16750.1806054,14795.748294,21412.1583935,16313.0214912,11331.9213963,27849.1850504,15544.7159117,37713.2098928,14933.8311632,15050.9305688,21619.5643226,16295.2895339,11753.1779545,27910.8189376,15854.92028,37885.6784612,15199.204671
