canton,fridays,mondays,saturdays,sundays,thursdays,tusedays,wednsdays
AG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
AI,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
AR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
BE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
BL,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
BS,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
FR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
GE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
GL,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
GR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
JU,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
LU,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
NE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
NW,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
OW,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SH,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SO,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SZ,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
TG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
TI,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
UR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
VD,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
VS,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
ZG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
ZH,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
