canton,01_2012,02_2012,03_2012,04_2012,05_2012,06_2012,07_2012,08_2012,09_2012,10_2012,11_2012,12_2012,01_2013,02_2013,03_2013,04_2013,05_2013,06_2013,07_2013,08_2013,09_2013,10_2013,11_2013,12_2013,01_2014,02_2014,03_2014,04_2014,05_2014,06_2014,07_2014,08_2014,09_2014,10_2014,11_2014,12_2014,01_2015,02_2015,03_2015,04_2015,05_2015,06_2015,07_2015,08_2015,09_2015,10_2015,11_2015,12_2015,01_2016,02_2016,03_2016,04_2016,05_2016,06_2016,07_2016,08_2016,09_2016,10_2016,11_2016,12_2016
AG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
AI,Surprise,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
AR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Joy,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
BE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
BL,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
BS,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
FR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
GE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
GL,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Joy,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
GR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,No Data,No Data,No Data
