canton,fall1_Anger,fall1_Anticipation,fall1_Disgust,fall1_Fear,fall1_Joy,fall1_Sadness,fall1_Surprise,fall1_Trust,fall2_Anger,fall2_Anticipation,fall2_Disgust,fall2_Fear,fall2_Joy,fall2_Sadness,fall2_Surprise,fall2_Trust,fall3_Anger,fall3_Anticipation,fall3_Disgust,fall3_Fear,fall3_Joy,fall3_Sadness,fall3_Surprise,fall3_Trust,fall4_Anger,fall4_Anticipation,fall4_Disgust,fall4_Fear,fall4_Joy,fall4_Sadness,fall4_Surprise,fall4_Trust,fall5_Anger,fall5_Anticipation,fall5_Disgust,fall5_Fear,fall5_Joy,fall5_Sadness,fall5_Surprise,fall5_Trust,spring1_Anger,spring1_Anticipation,spring1_Disgust,spring1_Fear,spring1_Joy,spring1_Sadness,spring1_Surprise,spring1_Trust,spring2_Anger,spring2_Anticipation,spring2_Disgust,spring2_Fear,spring2_Joy,spring2_Sadness,spring2_Surprise,spring2_Trust,spring3_Anger,spring3_Anticipation,spring3_Disgust,spring3_Fear,spring3_Joy,spring3_Sadness,spring3_Surprise,spring3_Trust,spring4_Anger,spring4_Anticipation,spring4_Disgust,spring4_Fear,spring4_Joy,spring4_Sadness,spring4_Surprise,spring4_Trust,spring5_Anger,spring5_Anticipation,spring5_Disgust,spring5_Fear,spring5_Joy,spring5_Sadness,spring5_Surprise,spring5_Trust,summer1_Anger,summer1_Anticipation,summer1_Disgust,summer1_Fear,summer1_Joy,summer1_Sadness,summer1_Surprise,summer1_Trust,summer2_Anger,summer2_Anticipation,summer2_Disgust,summer2_Fear,summer2_Joy,summer2_Sadness,summer2_Surprise,summer2_Trust,summer3_Anger,summer3_Anticipation,summer3_Disgust,summer3_Fear,summer3_Joy,summer3_Sadness,summer3_Surprise,summer3_Trust,summer4_Anger,summer4_Anticipation,summer4_Disgust,summer4_Fear,summer4_Joy,summer4_Sadness,summer4_Surprise,summer4_Trust,summer5_Anger,summer5_Anticipation,summer5_Disgust,summer5_Fear,summer5_Joy,summer5_Sadness,summer5_Surprise,summer5_Trust,winter1_Anger,winter1_Anticipation,winter1_Disgust,winter1_Fear,winter1_Joy,winter1_Sadness,winter1_Surprise,winter1_Trust,winter2_Anger,winter2_Anticipation,winter2_Disgust,winter2_Fear,winter2_Joy,winter2_Sadness,winter2_Surprise,winter2_Trust,winter3_Anger,winter3_Anticipation,winter3_Disgust,winter3_Fear,winter3_Joy,winter3_Sadness,winter3_Surprise,winter3_Trust,winter4_Anger,winter4_Anticipation,winter4_Disgust,winter4_Fear,winter4_Joy,winter4_Sadness,winter4_Surprise,winter4_Trust,winter5_Anger,winter5_Anticipation,winter5_Disgust,winter5_Fear,winter5_Joy,winter5_Sadness,winter5_Surprise,winter5_Trust
AG,15300.6357416,22199.1052532,18409.1390836,9436.79090445,33172.518054,15352.5201399,37539.7665266,16652.9178526,13444.6215702,19722.6306703,15702.0129145,8667.91018483,28996.5185814,13158.8858753,33708.4362018,14789.9048916,8339.48591655,11016.5432804,9306.94412535,5809.27576692,15638.013643,8236.0261001,20335.0000235,8367.08320234,63167.8241525,103319.937952,72178.0479548,46671.6216274,132000.972118,72878.2008677,180435.788552,62333.8845653,1116.21181747,1159.95877057,1154.18456306,837.057407276,1418.41172183,1208.54152705,2640.85492168,905.140029078,3671.95201168,4905.41673957,4276.86259266,2545.68439133,6590.10210513,3933.61778107,9118.03131398,3545.4026748,13131.1133555,18472.0717664,15427.7714832,8733.06593982,26554.3226568,13346.7515347,32139.7321123,13603.4247196,13404.8637853,18496.4251701,15223.0653274,9178.12437554,26304.2699118,13492.5926843,32931.5535777,13849.1288664,11432.7824791,14157.5094398,12635.1828796,7592.22190384,19354.6440976,11799.0649194,29148.2251305,10942.8093316,11072.5909922,13944.2196161,12172.1253189,8183.72923401,17972.6208214,11952.6187495,27206.5261675,10145.5428874,9485.20729376,13514.8315669,10827.8776347,6644.8455815,18308.8351342,9893.69908505,23775.1318483,9579.53426266,9145.88295492,13328.3567029,10981.4265373,5613.40707896,20527.9564203,8732.56951538,23209.4366347,10346.2413559,17085.2113197,23502.6113437,19692.399659,11387.7724122,33696.5190842,17050.2805063,41792.0794701,17437.1035954,15180.9121453,17843.2719689,16739.6854069,10119.7934354,24233.1949961,15720.362468,37229.6871224,14007.3729082,10032.566671,11925.6402684,10903.5819199,7160.61532141,15712.2172964,10448.7262504,23871.5379335,9023.25527028,447.254073432,365.07558281,461.992238895,316.650745152,429.665856954,497.166431481,1053.85749468,311.910484191,17065.6893046,25049.985938,20322.2427548,10975.7823469,36419.0580112,17229.7417815,42285.8450167,18440.6284415,16935.0470759,23418.1577673,18904.1955254,11870.4490611,33905.4333335,16651.5557208,40030.0708821,17309.6331141,12194.609415,17640.4340751,14300.8568156,7824.91668016,25756.3774946,11980.213859,31527.3954408,13369.5443939,10774.0573105,13056.3463142,11601.2268706,7386.19618452,18233.8603208,11118.1186045,24957.9996345,9872.96593965
AI,54.7827279712,58.2969868199,60.2007547483,39.865701579,66.2968342381,64.168245148,132.781308156,42.0792452978,72.0313459681,89.8563041845,74.2152512784,61.2394148507,109.594455507,81.5670738756,170.9752291,57.5307966598,211.059296501,357.63812258,217.682402918,169.691904757,479.893423994,236.081568617,626.093071878,224.963200623,162.11018574,152.013131522,177.202426135,118.10130525,161.080214273,193.98513122,414.518689575,106.429586847,17.6729900762,26.2538928073,21.7974321438,14.0054816032,25.5684102604,22.3946980595,48.2885913659,14.7613692333,130.897836185,182.286001692,149.569613619,109.408443502,208.453787854,140.958448912,310.099722167,115.560613973,151.274901781,223.697242218,167.237221723,120.93844125,295.359572261,167.478887516,413.559785375,149.838468203,204.901509711,293.043767271,203.053080857,171.07962888,351.352311392,215.88477938,512.029426059,204.630331786,71.8595622092,112.758361969,72.2363154039,61.5426163733,151.285046466,81.5931575573,209.608303153,70.4343079038,156.411864905,229.967928407,168.269175328,126.379120252,262.39985894,182.656463209,411.882028989,126.371091402,121.508270288,168.919207124,128.527461727,96.8709650439,217.26021902,136.569904539,309.78304643,112.289386645,34.9070252451,54.3788387049,38.1520591915,28.9429738381,68.2533266549,36.3067261605,86.9531263223,36.2410018746,353.398399547,567.497661591,378.507809887,273.409354193,719.863745197,383.936130844,953.589137715,355.106416269,210.578922439,280.624133078,216.522030986,178.118525176,354.591210752,234.271459226,550.780801515,181.014770246,232.942844882,311.568303113,254.903484715,180.600517032,403.973984071,261.779474849,616.715014576,210.707320335,2.0874006342,1.4467966848,1.74455311365,1.80221074184,2.7108132903,2.176917076,3.50788333278,1.89819660928,78.7157192198,113.936399277,88.0190425617,57.4655021075,149.160931151,83.0443266436,198.984004182,76.0565350428,161.638532114,250.445010834,195.631092283,106.09479199,365.610052447,161.645363158,418.423347834,180.772061198,82.8489212314,144.167644352,82.8077889043,68.1887250297,176.141837107,94.1479965689,247.606745396,86.0871953157,99.3438429959,121.529385804,109.392507939,76.4155898619,155.278147502,114.944898665,260.298774473,79.8537460568
AR,329.379275827,394.605454388,371.917456666,254.888419464,480.312076257,370.130327855,813.419819768,278.975084273,231.073259707,331.946965828,262.918359366,167.416255131,472.53290707,239.261998853,534.793602058,217.729478497,210.355957606,305.798531097,254.154677617,134.56141018,427.837792589,225.635493701,545.616861512,217.265370178,416.730939329,564.663311137,495.955836011,264.810222228,827.49295953,411.765684732,1033.57766047,427.463264211,18.5801767414,16.6705229629,20.3604232596,13.0297786003,20.3500919588,20.7249810131,41.9636197545,13.2392765103,502.890508126,706.018453624,617.065208767,289.230076923,1078.29968545,502.146025035,1337.53456753,549.225387618,489.46764186,697.441271212,603.742153517,306.002800478,1006.75000106,508.309062757,1273.71056468,519.49223735,629.023309791,971.557707873,688.504102828,460.470093452,1267.31662396,643.490653007,1685.5214575,685.855403983,397.212242483,595.452210755,477.337236327,242.358252848,890.027478909,394.846197182,991.308394288,445.981741779,447.293465308,570.82477821,506.628056271,309.831689276,785.414406925,474.059862219,1099.73271076,426.509148023,1263.64882137,1831.36648032,1560.19646515,702.809648187,2909.87154624,1189.65907959,3296.5859377,1464.53957038,442.468705803,649.646238807,536.525547266,278.584436373,1000.99619907,431.069300812,1091.25191997,508.215790957,1124.10292959,1701.65158128,1296.98971918,732.787127701,2345.59530715,1124.09631393,2919.08313124,1188.88340686,704.589747903,1017.25325565,848.364361671,434.641305585,1500.22648763,725.424845889,1774.77139049,756.974511453,368.798938704,456.951625855,424.705558225,241.13267391,661.260114692,385.896667452,871.678230442,353.266640006,11.220097106,12.0620058639,11.9019000813,7.77227900789,13.5930155355,12.8860317259,26.4679819015,9.50256461226,275.868141597,417.872464131,290.629363201,225.522554976,504.150108649,291.834919783,723.471916084,282.40017406,728.539038995,856.609562088,676.532160073,511.91385742,1202.60295814,675.314370242,1676.37790287,669.114105081,2025.8502773,3151.24053352,2525.75902917,1148.62994671,4999.66112348,1994.67050743,5118.03410934,2404.54717786,283.76801688,332.180857816,304.396482028,215.232030023,410.509616914,313.841750678,664.972267188,239.096442376
BE,15229.957444,20492.106228,17281.3215009,10873.6493354,27308.8457396,16117.1080546,37533.7993269,14721.3831778,12856.4542868,17526.9274362,13722.3215537,9839.12506692,21754.1930235,13635.8380877,32217.5690241,12133.9826184,60455.1529211,89462.1369733,72401.5479266,36503.8131444,136205.587282,57982.8626418,153862.205129,68075.9827149,13404.6817993,17028.925625,14033.8244091,10139.17849,21566.8066521,13916.6849013,32494.3417137,12168.6305936,2732.96965559,3383.31710879,2877.62728452,2055.96933815,4404.32144923,2874.50243075,6684.44273827,2442.95911477,10551.9851835,14253.3451956,12255.403308,7250.76535563,19679.0468933,11098.8691096,25906.8348088,10381.8464292,18690.4007181,25625.1420324,19888.515267,13577.2504733,32902.5270725,19391.0458561,46164.51297,18242.9691142,16965.6128273,21797.5916928,18088.3668519,13296.663766,27061.2121815,18213.5575042,41644.2103121,15312.0242286,11696.044191,14534.6981398,12384.3142398,8799.85537207,18958.8807427,11986.7193109,27856.4517045,10458.2289643,26012.1559434,33783.2812064,28625.2661386,18293.170733,46215.4226247,26813.9106994,64211.000751,24809.1174728,24436.612007,34812.6853332,28032.8852827,16978.4483536,47683.9046117,25051.2245176,61237.4435835,25199.263904,6866.36355263,9725.18487695,7787.04704479,4895.59945325,12894.3375527,7214.41240516,17496.6799041,6734.27027521,26053.4364534,35972.5695031,28894.3890093,18925.9710302,47742.4614402,27152.1376507,64461.2286383,25159.9207427,21226.2994351,26889.8202524,22351.3206906,16168.4467765,34785.2032848,22025.9698565,50682.7580091,19373.1073045,25140.6151499,33152.3765724,27481.3968722,18191.8636688,44066.2024524,25834.6163359,61194.1366553,23615.3578152,1007.94282396,812.823601517,1038.09400416,722.474320131,927.707339827,1112.1670459,2375.38161566,697.805072353,19240.796451,27103.8130203,21344.2313461,13805.6426436,35772.6648232,19908.4066977,47605.2674809,19179.9661593,19606.1601894,26288.2746701,20148.6635484,14977.3394732,32662.2739346,20243.8140133,47310.7010693,18439.1939532,85976.1200396,128771.505821,104331.713787,50739.3840975,197877.361295,82213.9660782,221506.776864,98805.751064,20638.2547071,25780.9584918,21973.0527906,15427.9926361,32995.7951085,21713.2244925,50249.4298587,18391.9924427
BL,2675.05064616,3498.73984569,2998.87531556,2016.2288943,4607.48283237,2777.401477,6358.49502538,2503.71164626,4406.34405077,6274.20414281,4882.73412108,3060.58750374,8828.3370559,4341.26904761,10765.5075096,4700.45842041,4147.92041,5659.27886378,4830.3722745,2788.07761059,8108.1180056,4090.80239431,10282.1913527,4286.5784254,3023.07513691,3904.23054375,3286.54498131,2227.45146958,5049.36302959,3170.15325527,7393.34100919,2720.7255351,1109.98335263,1592.17147405,1309.22366061,710.30140455,2312.79667423,1110.09189118,2711.40005369,1170.32080101,1077.96141229,1351.62106485,1230.11637356,805.464379552,1733.91916482,1172.4242774,2561.22714263,932.154533933,6311.15311627,9317.57347276,7368.33721432,4190.48969039,13421.4517586,6197.19565157,15901.8335967,6887.83219915,5578.12687924,7762.93115331,6400.63740195,3846.84109133,10850.6175419,5617.62101165,13930.8293962,5741.0105935,1803.43914745,2316.41386278,1912.86881761,1362.77186966,2808.00678881,1887.07479876,4342.21385888,1570.9901713,4914.38969433,6389.14601756,5469.20778253,3461.96056982,8828.87700822,5115.80306659,11993.4919924,4683.82194909,3032.69373562,4100.68595385,3365.55256759,2349.62078848,5345.99702899,3217.58217196,7250.67768937,2852.82400435,4106.82284016,6137.13617323,5005.91204497,2498.78311935,9382.39688513,3918.21501863,10511.9257034,4712.39937758,8930.70117674,11978.9825668,10202.3540479,6088.99238314,16986.4873823,8907.52048508,22252.2522606,9108.14434323,4397.67913969,5766.75461721,4926.76314023,3124.41491444,7615.38202445,4572.77621014,10600.4620217,4087.42108184,4987.69612596,7032.38105846,5766.9544021,3301.66915649,10144.7316517,5080.25535358,12182.0756039,5139.92220315,55.2613375153,69.7664112058,59.9935610262,41.0237808175,78.1539233107,63.6803727354,146.096676563,48.079403185,3782.08489273,5102.38484403,4131.44927079,2931.06541924,6636.39699518,3806.850891,8877.75270713,3562.44106129,11854.5522066,16870.8261026,13986.8842293,7844.47506734,25088.0275567,11659.4031681,28864.2917762,12663.6712723,2486.38696008,3228.78627079,2747.84702019,1839.18204239,4402.66419485,2545.55072742,6047.31742573,2376.09034633,4614.38028849,5891.48071786,5126.18906983,3303.79830952,7731.36783648,4902.40791236,11313.6307465,4110.56640243
BS,5381.84882872,7217.68902563,5975.02295386,4262.17240385,9078.46477485,5904.01707066,13536.1960928,4986.85875389,10639.2955386,15711.7472895,12568.2353174,6870.40198005,23145.4866318,10264.5164112,27244.4636694,11952.3853971,6928.82674977,8986.10869881,7626.7118745,4834.49396106,12744.4741525,6856.31113244,16574.0354385,6938.12057901,4341.97868965,5437.2236571,4679.95711596,3334.34063675,7202.4026598,4615.99956944,10343.4595807,4003.73112715,1441.04549386,2015.22985516,1495.85471458,1115.36246382,2583.46964135,1488.56562222,3488.88219662,1496.13912717,2175.94300446,2763.4632646,2408.71000392,1681.1220765,3403.66361438,2365.07297718,5297.9525172,1938.07671159,7961.37471543,11118.6596334,9080.30959667,5760.84380367,15457.1072958,8269.7482331,19990.55092,8094.49285833,16648.174645,24270.7062548,19440.575721,10899.5585137,35995.0970389,16050.9883189,42414.2475474,18767.2422765,3693.64060239,5005.24541846,4227.69309802,2615.44183541,6942.80321248,3813.43453686,9195.58084652,3680.10994202,9944.40594854,13394.8750246,10524.5422326,8063.32176535,17556.5136793,10565.6474286,23687.9463909,10068.6313693,6393.45802129,8723.55656512,7244.43506392,5128.64702624,10875.1835394,7029.32616733,16116.7551958,5906.59039655,4867.04438947,7217.33590583,5862.58326642,3106.63938959,10880.1618068,4846.96516536,12296.3640672,5405.19607864,13046.1233055,18435.1001994,14939.4387852,8696.76651409,27021.5434195,12731.228064,32648.5936688,14062.0571965,7448.96066493,9591.18687748,8277.19239577,5457.70982874,13020.3543477,7894.65357402,18305.7559723,6992.78619725,9545.04071731,13565.0165491,10034.0503564,7770.69911855,17311.6394823,10078.2591611,23249.3174477,9843.60930936,629.61655889,947.072883212,656.703530138,497.933739976,1179.69888486,692.536392176,1730.77773416,621.745115428,5786.79677216,7620.32860598,6367.75052893,4473.14730941,9940.61885198,6141.81731735,14232.6131416,5423.95410947,16672.1622076,24088.2158625,19903.2197869,10164.1705461,36612.697924,15815.5649641,42362.1868981,18782.0589146,6362.27303464,8735.90412506,6870.67477484,4763.37072974,11253.9684288,6719.34455067,15947.7980985,6183.59788359,5988.7736138,7565.26052951,6648.42483964,4410.93634316,10043.9754146,6455.79085628,14734.638524,5516.16613623
FR,5126.13875339,7937.3831414,5467.13957772,3926.84718396,9952.24923481,5309.02393136,13081.5256588,5307.62863449,6630.03084334,10605.1318843,6172.88142906,5278.83222997,11293.3580945,6635.82873087,16652.5209247,6452.12891957,6308.20421754,10348.1527639,6910.72633274,4556.54093983,12690.5590309,5817.6834831,16606.0569637,6308.95728672,5669.66262557,8861.44773837,6424.98554877,3842.85815618,12021.3278883,5255.33505587,14878.6331347,5882.02591753,654.110092905,1051.06781338,704.755740089,487.872295754,1265.97465617,624.29225572,1727.98020038,608.885340165,2101.94481606,2933.34387729,2189.96159547,1593.139098,3830.13250068,2138.0995951,4989.11868867,2069.72485777,10356.3103456,14919.2484227,8970.48538371,8152.16752423,16873.0598027,9654.24096411,23491.3857239,10389.22074,7520.71045012,11656.8970387,7457.6242095,5990.63051756,12835.139856,7783.12478132,19051.2963207,6932.25510185,3324.78986341,5289.02319374,3619.00352788,2545.78844759,6360.02632221,3206.29695227,8792.8990122,3245.81575411,5658.03194561,8889.42283183,6305.80459366,4030.2592385,11820.3128441,5341.43254522,14785.335213,5755.45818262,4653.37561841,6813.61183206,4974.81045091,3612.37293978,8372.98111149,4757.49146758,11160.7488907,4733.64512906,2673.96394271,4226.43695443,3144.19006852,1882.03730914,5790.54927312,2717.32025813,6906.35898238,2949.78686238,9419.14593488,15066.758121,9667.38763092,7383.12572889,16411.7054081,9370.16823281,24408.2995253,8164.99942587,7912.91902376,11985.6865331,8989.20325531,5424.34050785,16107.7460412,7370.56130568,20680.3785071,8168.89925017,6529.12274893,10311.2013559,7408.48380141,4573.06637816,13736.5325528,6269.64508379,17354.4503907,6702.43051436,70.4330011363,61.0967894671,68.0300553154,51.0878308723,79.2981622651,74.4070813817,148.06823632,55.523091681,8011.15849702,11565.1264544,7120.47713348,6294.39923469,13533.2357644,7681.65571694,18689.3458769,7952.40596984,14743.4981437,22191.8226692,12393.0612254,11930.2617536,22491.4799617,13997.8032339,34083.438372,13347.3960738,5680.96544028,9226.38452481,6224.78071406,4242.15613847,11098.6029253,5375.89252186,14804.2866538,5754.30455252,6443.01927105,10638.3456759,7392.91768677,4250.9271739,14967.1312849,5819.90825305,17294.3559022,7177.35733951
GE,22031.551771,34235.2906828,23378.1228334,17333.7668263,42279.9070541,22494.5125896,54356.6857184,23270.2852272,41741.3658934,62081.9055685,35070.6348253,33384.3183019,67529.8307283,38868.512174,93407.7831946,42465.1097728,42488.6647165,59608.4737105,42416.9996902,30016.8980025,73502.8665831,34414.5535102,96333.1618935,37918.7054064,30640.3359936,43819.7846812,30705.9759063,23270.1035611,54129.4061412,28050.1360466,70355.570172,29328.4429124,4318.80003107,6336.32526105,4301.39488008,3380.62748503,8036.7708846,3973.18104737,10104.8384632,4301.76502095,11837.5443655,17195.6606226,12476.8433671,9128.98098626,22485.1369437,11768.8208648,28133.4275653,12177.3886484,83342.3135106,124187.917872,66959.6584575,65414.7215174,128846.202169,73054.4400531,172113.961326,85033.3625349,42774.6938802,63439.6337174,41563.9702576,35213.2377327,76432.4947551,43024.5928625,101633.220951,43759.2329693,24059.0396659,34895.7688274,23922.8448836,18079.459976,43765.7515389,21048.9249463,55815.4846814,23737.9303529,47795.6825839,68852.7094873,48081.6224183,37442.5942388,85928.28628,44622.5831299,110574.805373,47048.2681023,20919.3215659,31424.4976722,21821.9855706,16381.689853,39902.3011055,21202.8387379,50952.6090207,21365.2146618,15598.7922524,25909.1710204,17411.9364737,12312.1469275,30823.6838949,16380.6300188,40357.7936549,16613.6253431,56023.1082747,80144.372508,57015.0963015,41747.0742239,95820.2914878,49987.2946324,130049.969159,50717.8249604,45507.886436,64163.6659898,45259.199458,34507.5384776,80032.4589805,40623.5931151,104144.262432,43726.1282647,35199.0250265,50291.4102698,35460.6950444,27385.0077907,63333.6968389,32545.866101,81190.2223761,34058.4965316,891.35338108,1182.97768001,808.564111368,775.583150894,1513.88387421,884.563193548,1933.45376787,939.444569787,59220.1281386,89178.3592237,51914.0908337,45216.9456113,98572.1049687,53605.9832967,128266.149013,60976.4922998,79670.5895229,108017.075854,52087.3660899,63934.9548813,108343.022998,66179.7969965,157337.472954,78613.4118507,38606.2145279,55160.8107469,38587.506193,27948.082491,67858.8916594,32039.7357957,88352.1867273,35850.9266111,40495.3706967,58235.0767029,41623.2915533,29891.5221703,75046.9301975,36321.1159593,93679.3880585,40224.8198257
GL,802.800366993,1069.28661283,928.598597397,722.856096978,1151.4469878,969.021395019,2022.00421417,736.828792108,213.860066403,287.807508147,233.039963631,171.615199617,384.555220242,234.098989923,547.04561516,192.899614945,2324.94538778,3046.88125746,2702.83536432,2141.08834959,3473.24020721,2786.73367097,5596.38332354,2170.3030535,671.936486124,898.413369406,777.269502654,598.204051835,949.156403812,810.021484648,1727.68848127,606.359950309,21.0039457368,23.7036936656,24.2203162032,17.2644026839,28.769575726,26.806432065,55.300092498,15.6578831859,540.129048866,715.036965872,627.254652305,479.942455036,746.177645231,657.03807524,1355.15103955,487.984181873,1871.80370379,2518.38507126,2158.89623608,1530.79494615,2994.20912814,2127.93051147,4796.59558124,1800.49655116,762.127373366,1172.72107159,815.655514455,586.563444382,1527.6998997,766.877393128,2010.74753512,758.378546795,1846.05322467,2403.99226086,2189.40532476,1708.3544693,2486.47191041,2285.34143501,4721.35418034,1642.15997984,139.743738218,176.406874144,144.168232436,113.503949677,203.891721257,162.653832477,357.709101334,104.208734877,813.939872487,1080.94400729,937.109568974,721.071684523,1122.3892613,977.001392707,2028.06900904,745.170375061,355.676338444,487.156844309,414.642310381,308.580812279,551.466870888,422.657289543,921.781352084,334.910294121,563.91601002,831.87778614,626.393211874,450.093929811,1036.43590426,599.185180403,1435.65556919,524.307718414,1904.64392815,2505.04676331,2257.54134418,1669.46775989,2724.61860122,2301.22127162,4820.25571381,1717.92072325,117.394575018,133.286018133,131.14798995,87.0768699865,168.64938925,141.589019823,295.38899793,87.3534349517,23.4110744772,12.2711238371,24.3896367538,15.342637039,13.5736118723,26.1289521605,52.3801500407,14.0525732364,1156.06197029,1682.64786629,1327.84733557,1002.45591444,1858.04644139,1377.10434796,3001.55918138,1121.10910267,1615.68787086,1833.09451858,1588.0729144,1498.39030226,2710.46929559,1545.39929954,2837.772657,1263.0218069,2319.12466934,3160.60696586,2759.32142949,1972.30887981,3722.00146842,2743.95115491,5898.69592529,2235.73256752,153.631909922,163.867922653,165.964975869,118.114801473,199.664179247,179.345262871,380.640602676,110.746120041
GR,3099.71906763,4408.26907114,3471.80929435,2332.89095271,5732.57206993,3288.56218391,8042.93534039,3034.9569667,3954.343933,5658.36992899,4770.85171414,2738.31394928,7654.48525749,4262.87190764,10368.1637017,3994.84856564,2899.13669769,4142.89103009,3207.56234811,2270.67814506,5287.38218612,3114.11513271,7375.37718215,2932.80477305,3957.85637762,5912.51684881,4353.34698988,3126.53464327,7544.38860413,4217.8395573,10263.0805835,4196.26425542,562.167429227,776.413651493,608.376815142,454.606265292,935.597802281,647.072409658,1498.55407352,482.615603662,2311.20132236,3398.81874552,2414.07522392,1841.46034201,4396.07982187,2503.29328479,6233.84798596,2294.61736766,4677.97664388,6317.40393056,5307.18352396,3562.97154276,8129.1523499,5162.80823145,12122.4882556,4332.29143851,6622.7405296,10147.6976894,7109.35972086,5124.36836754,13190.3600061,7065.21562222,17624.1884571,6825.87402726,1732.63699659,2380.48607613,1866.25252954,1385.24039212,3119.22658427,1841.45211435,4388.28552765,1636.75149881,5201.76244512,6900.22653922,5338.31195142,4324.40975254,8322.67091327,5712.52450338,12766.2219555,4662.63511337,5488.58692133,8527.42427831,5984.50020886,4487.34060825,10488.6023196,5924.15914338,14612.1531231,5511.96426976,3327.46528114,4967.24061526,4018.80615493,2180.07050003,6952.95998326,3343.57808675,8761.00230389,3624.3706187,6911.90290127,10642.3996209,7476.35356794,5532.83682538,13317.7073159,7470.76627016,18434.5761606,6919.81096589,10994.8446156,16779.191281,12980.1152808,7365.65558016,23729.8403699,10956.9819627,29988.1937551,12190.7377724,5694.97760193,7850.1476756,6105.938164,4574.2360106,9722.10524602,6258.74008242,14371.8875047,5173.87743575,589.590067908,692.599858317,581.255904327,465.275144039,925.600184157,655.425737743,1550.3951499,509.095777084,9501.0451797,14202.75171,10614.7507883,7107.03087924,18898.3861385,9955.09790015,24509.1177449,9827.11269662,13924.2896776,19478.5649066,14591.0786703,11458.7600862,25884.6012836,14203.2173333,31967.5785297,13554.5455974,8504.66099421,11507.1508854,8756.2076684,6788.83062468,15257.9967102,8690.12654262,20245.1601115,8517.28301241,8467.1315625,11748.4681116,8758.25332433,6931.02850713,15160.5986652,8964.16399182,20619.6791008,8355.16928802
