canton,winter1,spring1,summer1,fall1,winter2,spring2,summer2,fall2,winter3,spring3,summer3,fall3,winter4,spring4,summer4,fall4,winter5,spring5,summer5,fall5
AG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
AI,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
AR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
BE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
BL,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
BS,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
FR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
GE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
GL,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
GR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
JU,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
LU,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
NE,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
NW,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
OW,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SH,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SO,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
SZ,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
TG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
TI,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
UR,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Joy,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
VD,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
VS,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
ZG,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
ZH,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise
