canton,fridays_polarity,mondays_polarity,saturdays_polarity,sundays_polarity,thursdays_polarity,tusedays_polarity,wednsdays_polarity
AG,0.03354058366299416,0.01689373518303824,0.004539301010959858,0.00334872166593677,0.0634142521104319,0.059165268439520184,0.05492793860136086
AI,0.01289782849762316,0.04288608004408093,0.06724866333048209,0.04639583233897756,0.0424159860080232,0.014071928534558326,0.0034474459113222737
AR,0.003739090815034465,0.004064167751057411,0.014073629662974287,0.012458463936554243,-0.006148969198626831,-0.003832803556513955,-0.012376069618131015
BE,0.011325475501031601,0.014674424242612505,0.012879545625869336,0.016310635845182653,0.010947912209949676,0.014118930667657539,0.013793997532391236
BL,-0.00026332498580364857,-0.0012976212858087164,0.004723502669240035,0.004745767549332187,0.006681928841456052,0.005432107463059977,0.005118705958650725
BS,0.021453008236850573,0.01639443975376911,0.02133662991512014,0.026715526607022814,0.022312422420689412,0.01890153147471387,0.021024815493104452
FR,0.04062789822992586,0.038825432607577114,0.03656828812836837,0.03534611462655943,0.03922300228264652,0.04105502938729053,0.042338784447344985
GE,0.046417285816920194,0.04752549006169347,0.04189587398356438,0.04151055204967973,0.04654137130917831,0.050796595438150724,0.04982270695311398
GL,0.014414559456031286,0.007810670682280857,0.011625740095523668,-0.004528300863673778,0.006301954307865754,-0.002159393203796636,0.00031342901396576555
GR,0.05669588131249819,0.0444706547954116,0.057256142940918735,0.04259704991561093,0.048041820423577665,0.04792045762901352,0.05926050508960336
JU,0.028488075609885418,0.0423430131674551,0.03704345069578311,0.03304894278395542,0.03596042604691559,0.03843282966173747,0.048785289379035625
LU,-0.009676499772934612,-0.013719743186801185,-0.013630856462703131,-0.018220723227914227,-0.012338830122138612,-0.013140992962088231,-0.0124915130502721
NE,0.04083275134268155,0.04172428632262921,0.039608467854859,0.03944306181075153,0.03987967793325841,0.04256665314579265,0.041418125666633145
NW,0.03253925898201125,0.05512785147248228,0.009577480242000596,0.03130982114713096,0.02174435832116228,0.021220899114639327,0.021894573890881088
OW,0.039063648019859176,0.032660380838378335,0.03717046039337708,0.04517218324854493,0.04516716436386755,0.04792602767116931,0.04127021665512259
SG,0.022327217776258824,0.027858782550894214,0.023720746974445206,0.016260584230774824,0.024321643544189284,0.0261954501780965,0.030004059710235755
SH,0.09529903994047295,0.04907898656280513,0.07930415385999076,0.04984851957992191,0.049536589760968475,0.058969464905324676,0.0572235094803215
SO,0.01020087065024025,0.01552651133977786,0.00047747832260488187,0.0009357217284870354,0.014479931603824395,0.01335206880507656,0.00246003521121983
SZ,0.014321189381905885,0.011875788761108645,0.013733324012802717,0.005081290614697501,0.009910992222051293,0.016593795462034353,0.01334947760795808
TG,0.02926925877132078,0.031246162938763273,0.02092682743876387,0.012731364698607046,0.025563799390222547,0.030634573994251076,0.02310816018683664
TI,0.30109747264089926,0.2916165318774806,0.28756348960934575,0.2886737312482574,0.2926865694713512,0.29369517994884803,0.30444626656595447
UR,0.027755768084741762,0.04007903072930919,0.02807788699582459,0.030733687320855765,0.008131506639229444,-0.008247102250071968,0.03907532231406958
VD,0.049937867199077876,0.04848417486666145,0.04754150801355236,0.04565309520754261,0.050329008739754495,0.05130656530975085,0.05273391498601483
VS,0.03580609637443181,0.034217396756561325,0.036827497348772525,0.03502885540774553,0.035203895567013935,0.033949044517886814,0.034902010407111626
ZG,-0.0009399711615814621,0.002701764792756359,0.009984346176439538,0.006326236623666742,-0.002381944490550873,0.0011781382348091324,0.00514826646491378
ZH,0.011969946975928385,0.014907938386275339,0.013301131107272648,0.014630712697615122,0.016621290521146408,0.014926220146681535,0.01580689572672817
