canton,2012_01_polarity,2012_02_polarity,2012_03_polarity,2012_04_polarity,2012_05_polarity,2012_06_polarity,2012_07_polarity,2012_08_polarity,2012_09_polarity,2012_10_polarity,2012_11_polarity,2012_12_polarity,2013_01_polarity,2013_02_polarity,2013_03_polarity,2013_04_polarity,2013_05_polarity,2013_06_polarity,2013_07_polarity,2013_08_polarity,2013_09_polarity,2013_10_polarity,2013_11_polarity,2013_12_polarity,2014_01_polarity,2014_02_polarity,2014_03_polarity,2014_04_polarity,2014_05_polarity,2014_06_polarity,2014_07_polarity,2014_08_polarity,2014_09_polarity,2014_10_polarity,2014_11_polarity,2014_12_polarity,2015_01_polarity,2015_02_polarity,2015_03_polarity,2015_04_polarity,2015_05_polarity,2015_06_polarity,2015_07_polarity,2015_08_polarity,2015_09_polarity,2015_10_polarity,2015_11_polarity,2015_12_polarity,2016_01_polarity,2016_02_polarity,2016_03_polarity,2016_04_polarity,2016_05_polarity,2016_06_polarity,2016_07_polarity,2016_08_polarity,2016_09_polarity,2016_10_polarity,2016_11_polarity,2016_12_polarity
AG,335,351.0,412,1205,3728,4945,3669,4415,2389,4906,4617,4693,5410,4027,4741,4873,6277,6824,No Data,No Data,1489,4672,6449,8802,7878,6704,7579,5384,5707,6563,7274,7498,5491,1344,4530,3080,4066,3701,1556,2200,7958,6904,6412,6129,4794,10902,22227,6180,5363,5586,5392,5814,8195,6930,5918,3783,2102,No Data,No Data,No Data
AI,2,No Data,1,29,250,81,92,68,23,27,62,27,50,40,66,64,75,70,No Data,No Data,34,66,46,34,23,51,58,59,216,148,99,185,130,11,75,40,26,40,14,14,84,75,197,114,104,38,144,141,56,22,107,84,107,140,163,84,28,No Data,No Data,No Data
AR,8,4.0,21,155,216,247,177,165,83,296,287,289,94,78,132,137,175,394,No Data,No Data,66,172,173,305,401,181,150,401,75,252,335,489,138,31,70,236,262,494,40,75,183,191,161,323,112,77,266,240,209,238,283,251,328,221,177,66,42,No Data,No Data,No Data
BE,850,936.0,1215,3440,9661,9758,9854,10290,5313,8666,8549,9176,10806,9394,11316,11811,10708,10150,No Data,No Data,2916,8697,11418,14296,12990,13485,12087,11072,10884,11849,13384,18514,15196,9473,19349,20506,20766,9929,3773,3857,15809,12819,14984,15896,9655,4154,14305,15418,16763,13746,15077,16134,16863,18840,17892,10460,6328,No Data,No Data,No Data
BL,31,45.0,58,578,1689,2154,1466,2245,970,1841,2309,2678,2151,1846,1548,2198,2780,2572,No Data,No Data,584,2455,2646,4164,4512,2550,2515,1908,1738,3625,3504,3585,2394,659,1957,2038,1189,975,503,704,2311,2274,1718,2705,1898,766,2266,2797,2599,2008,2371,2355,2312,2204,1830,1133,984,No Data,No Data,No Data
BS,290,213.0,228,1008,2935,4653,3865,4334,2671,4010,4241,3782,4217,3752,3878,4551,4056,4197,No Data,No Data,1006,3813,3959,4813,3944,3441,5043,4410,3667,4397,4273,3711,3978,1755,3191,2691,3319,2270,773,781,3997,4627,3319,4058,2947,1332,3183,3136,3389,3687,6484,4158,5894,6729,4598,2255,1754,No Data,No Data,No Data
FR,56,74.0,77,1366,3021,2730,3061,3071,1647,3993,3730,4072,9016,8717,10827,11920,6070,3304,No Data,No Data,1172,3806,11152,18942,14259,10232,6707,4752,4031,3811,8062,12409,5850,1617,6186,4328,4391,3214,1022,1699,5468,5390,4412,5640,5305,1254,5550,4604,3673,4596,4528,3947,4671,5081,4396,2693,1946,No Data,No Data,No Data
GE,831,1031.0,1105,4792,14027,12425,10589,13498,6568,13752,18208,19238,72738,94135,135737,130695,44525,28457,No Data,No Data,9685,24504,83607,108954,93230,84027,38984,23671,25863,27103,38730,81543,61527,17980,42455,39176,43373,22983,11607,9732,35427,35935,34587,37856,25944,9580,34959,33122,33291,25824,35200,34155,35949,37315,29222,15918,10355,No Data,No Data,No Data
GL,20,4.0,12,135,480,272,380,357,174,383,421,526,368,575,808,706,835,433,No Data,No Data,64,167,140,2157,2227,106,230,492,336,236,184,535,824,522,2472,2210,748,798,450,284,1410,871,476,879,706,88,99,102,133,104,152,94,121,100,111,64,45,No Data,No Data,No Data
GR,533,353.0,374,682,1991,1606,3013,3108,861,1902,1809,3671,5320,3738,3181,2602,2188,2778,No Data,No Data,798,1980,1386,8616,10029,3850,3413,2105,2035,2463,3001,3798,1730,416,1714,2978,6519,3872,1526,167,840,2354,2803,4068,1618,608,1816,3788,6785,3509,4695,2138,2043,2695,4680,2063,914,No Data,No Data,No Data
JU,4,5.0,19,438,1225,1277,2887,1441,675,1183,1336,1068,1423,1290,1774,1271,554,253,No Data,No Data,159,474,1359,2410,2309,1423,849,562,354,393,727,892,859,457,837,2249,2134,1188,581,150,511,452,822,724,455,232,710,639,449,1072,1137,1132,653,855,683,334,232,No Data,No Data,No Data
LU,192,286.0,393,1175,3065,2590,3452,3464,1691,3871,3916,3307,4631,3777,4127,4851,6242,4361,No Data,No Data,1448,3690,3803,6657,6785,6516,6609,5703,4815,5022,8352,7590,5238,1457,4409,6731,4327,3541,1374,1511,4963,4616,4062,6199,3478,1107,4061,4845,4548,4663,9956,5351,5708,5811,5153,2271,3875,No Data,No Data,No Data
NE,131,178.0,107,458,1221,2045,1207,1707,1198,1915,3115,3521,12047,16842,24569,23089,6662,4805,No Data,No Data,1033,3607,13800,15537,14278,12178,5425,3320,5693,3603,4175,13543,12904,2590,6512,5802,6605,3808,1422,1710,6459,6894,3656,5844,4100,1425,4694,3733,4849,3874,4680,5252,4863,4658,3446,2360,2093,No Data,No Data,No Data
NW,9,9.0,6,94,317,222,274,415,289,795,848,1482,1043,843,873,532,1050,1215,No Data,No Data,186,432,278,2082,2522,643,648,567,674,1098,1076,543,360,114,322,389,400,212,52,82,261,434,567,584,342,148,410,533,189,182,334,379,616,827,477,177,186,No Data,No Data,No Data
OW,14,31.0,35,357,514,918,831,638,203,266,465,562,586,720,907,845,765,594,No Data,No Data,411,1384,1390,1664,1318,1285,1369,1227,1606,1899,2673,1558,1042,370,3264,6374,4356,4405,1660,1411,4472,5467,3965,6315,4314,1882,8948,5665,6166,3979,3408,4063,3922,3429,3565,1810,1169,No Data,No Data,No Data
SG,201,306.0,274,840,2494,2235,2705,2944,1540,3738,4355,4062,4091,3126,4138,4166,4671,4316,No Data,No Data,1608,4242,4042,8373,8166,4359,3633,4938,3631,5388,4062,4651,4614,1036,4201,2528,2796,2463,878,1033,4246,3210,3395,3478,1732,2195,3987,3293,3696,3621,3649,3129,4140,4580,4260,2559,1483,No Data,No Data,No Data
SH,8,10.0,11,125,416,274,269,534,160,482,266,312,359,255,820,1420,291,409,No Data,No Data,110,1595,1117,2730,2985,1025,672,558,582,640,979,851,588,75,494,906,1152,681,51,88,527,325,580,1132,546,118,561,657,764,393,698,770,1218,2720,1460,796,275,No Data,No Data,No Data
