canton,winter1_Polarity,spring1_Polarity,summer1_Polarity,fall1_Polarity,winter2_Polarity,spring2_Polarity,summer2_Polarity,fall2_Polarity,winter3_Polarity,spring3_Polarity,summer3_Polarity,fall3_Polarity,winter4_Polarity,spring4_Polarity,summer4_Polarity,fall4_Polarity,winter5_Polarity,spring5_Polarity,summer5_Polarity,fall5_Polarity
AG,-0.04160791484529242,-0.014425094249315559,0.013271253652553964,0.026003525770655428,0.02942191108942296,0.004539056103550824,-0.005482686590855331,0.02361287455609779,0.010561173957827387,0.007331396318717758,0.0016105732217071038,0.0019293706688360591,0.016499314524628335,0.0007109615052760303,-0.016355058587548,0.2177255818708738,0.01868035813477391,0.0057087389319634575,-0.00838753701157326,-0.019174668345047358
AI,0.014795877075178576,-0.02633622361994333,0.031415606554271246,-0.04083714755789596,0.03445431586756434,0.051597629476419056,0.03133794031096172,0.02529086522934059,0.047824916560421725,0.058614950014779114,0.07531834377558952,0.18471555153156036,0.10913848340616662,0.11034617020058735,0.03220187414431266,-0.07843513297057399,-0.010967048806946855,0.03914736186861293,0.016782766346401932,-0.04927544325827463
AR,-0.04838216660707099,-0.0393673443828198,-0.031086450790279354,-0.03358588774085476,0.03822437252120075,-0.028312065548229872,-0.02170749093317566,-0.038317609084157114,0.030637222240309337,0.05472940257026507,0.03993850781781976,-0.019472372740870006,0.04763931749703744,0.02563549074435651,-0.005636042826066639,-0.0198260884132268,-0.02122058861223782,-0.010287478494227714,-0.02453727139970045,-0.05505476310464642
BE,-0.042955230192333785,-0.0022412817343340163,0.01343866092638425,-0.0023617609933574055,0.01735748624677413,0.024628547207213743,0.013453984441850168,0.01651630707710512,0.01595468412728209,0.010515036331553807,0.011390607643913806,0.03263634692437988,0.03378820228124246,0.014208258235153278,0.006960589470303906,0.016870572088958747,0.008322520541535492,0.00529412491535195,0.008704348592997006,0.0019737421880230473
BL,-0.0005343055363148862,-0.007785549590864253,0.000540596410578679,-0.003744202792133939,0.0035001729676177097,0.01613117069012575,-0.0016205638634923848,0.024101482614286972,-0.008251502659794718,0.010146366235900262,-0.0039495311944733125,-0.010936089147692181,0.004603667463139502,0.004576855450298451,-0.004315592543254523,0.009418159840474514,0.0007922450813759956,0.01287281733894187,0.027196506920830456,0.014240607264074886
BS,0.11811530104363452,-0.003919998067242597,0.007347326666107154,0.009582076274604426,0.002848124341877953,0.011373930380348098,0.018487660509899397,0.03049094192631146,0.0031614587457215863,0.030686084763173693,0.025421222916642134,0.01013917421092198,0.03557190368214111,0.016796429332372416,0.012982105529084114,0.018367889332065554,0.001888971791188724,0.04116539466430805,0.057460609120077895,0.04636250569134572
FR,-0.017432929278110652,0.03299186180233894,0.038430326812354525,0.06114791784333239,0.051871664969134444,0.047668682931911774,0.04647031936288099,0.04262929124273453,0.028533025419309476,0.038340337665971634,0.027084848388735712,0.03762281569176208,0.03921356599153855,0.0404178395905556,0.02890533669496058,0.03253405967171869,0.05112680177851535,0.03585912755582737,0.04987621134072821,0.03798841715564815
GE,0.04841475200023047,0.05239670052742964,0.05836918322206413,0.06153524740252884,0.034674832643747655,0.03252115089124375,0.07691419002995553,0.057200434627506694,0.05075958142140817,0.06899998036864916,0.038877436854312386,0.03621868721881518,0.040598038776990496,0.056205895727973056,0.04513967322829269,0.050892596158551094,0.05054258100279876,0.05861560651433893,0.05138134304895625,0.05756690946931288
GL,-0.09148144128283286,0.009198670089334107,0.0070436374886963405,0.021298166918600685,0.0335612969540358,0.010137725478264723,0.019490784548393595,0.028440269414061102,-0.019563361165203373,0.056024159277959965,0.03746115189573516,0.0026911560809003204,-0.002152402666913117,0.00405543230911233,-0.002722855146129492,0.008000112194481419,-0.025754286198098414,0.005693186426205156,-0.03342377494362877,-0.026274959584289163
GR,0.05185641089707013,0.08955490805920639,0.06474313568181013,0.027438560058472134,0.053700811708479367,0.01276913897251304,0.010944524054406844,-0.001473182311285847,0.030284830568586586,0.10250149904613823,0.08535152037214089,0.043575948567916814,0.05545206681267152,0.048078181657410665,0.04952538321395104,0.06248741349509511,0.07231670180135874,0.05000121322734941,0.03904491098373093,0.05012734423991247
