canton,winter1_Polarity,spring1_Polarity,summer1_Polarity,fall1_Polarity,winter2_Polarity,spring2_Polarity,summer2_Polarity,fall2_Polarity,winter3_Polarity,spring3_Polarity,summer3_Polarity,fall3_Polarity,winter4_Polarity,spring4_Polarity,summer4_Polarity,fall4_Polarity,winter5_Polarity,spring5_Polarity,summer5_Polarity,fall5_Polarity
AG,1000,5345,13029,11912,14130,15891,6824,12610,23384,18670,21335,11365,10847,11714,19445,37923,16966,19401,16631,2102
AI,5,280,241,112,117,205,70,146,108,333,432,216,106,112,386,286,218,298,387,28
AR,24,392,589,666,461,444,394,411,887,626,1076,239,992,298,675,455,681,862,464,42
BE,2742,14316,29902,22528,29376,33835,10150,23031,40771,34043,43747,44018,51201,23439,43699,28114,45547,48074,47192,6328
BL,109,2325,5865,5120,6675,6526,2572,5685,11226,6161,10714,5010,4202,3518,6697,4930,7327,7038,5167,984
BS,694,4171,12852,10922,11751,12485,4197,8778,12198,13120,12381,8924,8280,5551,12004,7462,10097,16536,13582,1754
FR,186,4464,8862,9370,21805,28817,3304,16130,43433,15490,24282,13653,11933,8189,15442,12109,12543,13146,12170,1946
GE,2459,19924,36512,38528,186111,310957,28457,117796,286211,88518,147376,121962,105532,56766,108378,70483,90986,105304,82455,10355
GL,44,627,1009,978,1469,2349,433,371,4490,1058,955,3818,3756,2144,2226,893,334,367,275,45
GR,1069,3047,7727,4572,12729,7971,2778,4164,22495,7553,9262,3860,13369,2533,9225,4042,14014,8876,9438,914
JU,14,1682,5605,3194,3781,3599,253,1992,6142,1765,2012,2153,5571,1242,1998,1397,2152,2922,1872,232
LU,641,4633,9506,9478,11715,15220,4361,8941,19958,17127,20964,11104,14599,7848,14877,8646,13927,21015,13235,3875
NE,489,1786,4959,6228,32410,54320,4805,18440,41993,14438,21321,22006,16215,9591,16394,10219,12287,14795,10464,2093
NW,38,417,911,1932,3368,2455,1215,896,5247,1889,2717,796,1001,395,1585,900,894,1329,1481,186
OW,50,906,2387,934,1868,2517,594,3185,4267,4202,6130,4676,15135,7543,15747,15144,15680,11393,8804,1169
SG,744,3608,7884,9633,11279,12975,4316,9892,20898,12202,14101,9851,7787,6157,10083,7914,10512,10918,11399,1483
SH,30,552,1077,908,926,2531,409,2822,6740,1812,2470,1157,2739,666,2037,1225,1803,2686,4976,275
SO,286,2112,4869,5104,5977,6720,2272,3587,10961,7020,9018,4854,3944,3965,10275,4474,9725,6860,5878,683
SZ,120,824,1949,2239,2253,2636,1012,1528,3556,1817,2227,1219,2110,987,3234,1631,1932,3170,3168,348
TG,118,4013,4907,5073,6929,6784,2133,3888,9101,8735,13876,5735,7156,5003,4555,2227,4119,5303,6055,442
TI,505,14037,34226,30004,36163,28293,8686,19953,26407,23042,31118,18580,19389,10793,18930,13252,20918,22438,20077,2417
UR,90,298,769,485,558,835,236,314,1628,539,1199,1738,422,208,873,393,592,658,1271,93
VD,1790,10793,31264,37476,69013,101272,14259,52025,114722,47965,75053,70358,57037,30957,61403,45546,52349,60812,58941,7810
VS,650,5007,13361,11894,32396,44629,5098,17652,51937,23457,35501,23168,29483,15139,35802,18817,32319,28097,26420,2928
ZG,572,2181,3571,2911,3297,3876,1190,2994,6790,8754,5135,3371,3717,2466,4956,3223,4249,6092,4572,749
ZH,7363,35622,77589,67798,80850,83948,27804,69177,93979,92519,101608,67808,77201,47603,94792,68439,87495,96638,89051,11922
