0,1,2,3,4,5,6,7,8,9
feudo,posibilidad,depreciar,defender,True,feudo,True,mendigo,espectacular,True
depreciar,banquete,queja,diabólico,banquete,depreciar,metálico,terminación,beso,heroico
queja,espectacular,diabólico,socialista,sano,ingenuo,aterciopelado,socialista,heroico,graduación
diabólico,invocar,socialista,conflicto,beso,mendigo,banquete,conflicto,graduación,profundidad
socialista,beso,vegetativo,graduación,heroico,terminación,frugal,cansinamente,recompensa,hermano
conflicto,sin verificar,pus,agazapado,graduación,embriagador,defender,vegetativo,gritar,recompensa
comprimir,graduación,inexcusable,encausar,recompensa,queja,sano,incorpóreo,incumplida,paciencia
encausar,recompensa,prostitución,incorpóreo,hija,diabólico,beso,jarra,misterio,gestionar
jarra,paciencia,deteriorado,jarra,éxito,socialista,heroico,tragedia,gañido,ujier
gritar,éxito,poligamia,granada,saludo,prestatario,proposición,quejarse,bendición,unidad
quejarse,incumplida,esclavizado,gritar,resplandeciente,conflicto,graduación,incumplida,al azar,alta burguesía
incumplida,misterio,tortura,tragedia,auténtico,no informado,mar,inexcusable,libertad,guía
inexcusable,dentro de poco,contaminado,cocodrilo,fain,agazapado,profundidad,prostitución,milagro,auténtico
desobediente,fain,bichos,esclavizado,exaltación,cansinamente,recompensa,deteriorado,musical,fain
pirata,tortura,remiso,ausencia,virtuoso,encausar,bis,esclavizado,incontinencia,exaltación
esclavizado,perpetuar,delito,tortura,ardiente,vegetativo,paciencia,ausencia,relámpago,curable
escandaloso,vigilancia,aprensivo,coche fúnebre,vencedor,cortar,elocuencia,tortura,sigilo,vigilancia
altivo,suceder,dimitir,contaminado,danza,incorpóreo,jarra,terminar,simplificar,virtuoso
tortura,ardiente,envenenamiento,bichos,triunfante,jarra,gestionar,coche fúnebre,esplendor,verificación
bichos,contusión,sanguinario,delito,lograr,granada,hija,contaminado,diferentemente,fuerza
remiso,owing,lozano,aniquilado,subsiguiente,gritar,éxito,remiso,asombrosamente,coexistir
delito,triunfante,owing,gañido,bendición,abolición,perspectiva,delito,bote,tristeza
aniquilado,subsiguiente,infernal,bozal,visitante,tragedia,rejuvenecer,aniquilado,escorpión,owing
gañido,visitante,anormal,aprensivo,flor,minoría,ujier,dimitir,asesino,danza
resentido,libertad,en mal estado,dimitir,establecido,pus,saludo,ruptura,compras,asesorar
dimitir,anuncio,aflicción,maza,libertad,quejarse,regresivo,daño,virar,triunfante
empujón,milagro,enema,inyección,milagro,incumplida,cascada,tristeza,regalo,lograr
sanguinario,desarrollar,desalojo,sanguinario,musical,inexcusable,unidad,expulsar,emoción,caballo
daño,musical,ridículo,daño,salvación,desobediente,resplandeciente,owing,advertir,subsiguiente
expulsar,universidad,repugnante,líneas,reproductivo,regresivo,alta burguesía,infernal,atrasado,determinación
subversión,palanca,encarcelado,subversión,estima,hipocresía,veneración,robar,crescendo,viga
owing,salvación,criminal,owing,imperecedero,engreimiento,guía,azul,volatilidad,moderador
infernal,imperecedero,desaprobación,infernal,sublimación,pretensión,auténtico,crónico,interrumpir,libertad
robar,arqueología,polución,robar,dulces,hippie,fain,aflicción,grandeza,milagro
fricción,teoría,malo,alma gemela,¡hurra,para obtener,certeza,pandemia,novela,formativo
desalojo,despojado,fecal,aflicción,simplificar,prostitución,contribuir,desalojo,apreciar,musical
ridículo,monetario,tétanos,pandemia,esplendor,gubia,exaltación,decepcionante,memorable,agricultura
entrada ilegal,instrucciones,lascivo,desalojo,bote,deteriorado,adaptar,letargo,atractivo,virgen
injusto,dulces,inestabilidad,suspensión,alcohol,poligamia,curable,herir,horrorosamente,palanca
repugnante,adiós,plaga,repugnante,amigo,pirata,vigilancia,encarcelado,peri,salvación
destructor,simplificar,cáncer,destructor,jovial,acidez,virtuoso,réquiem,aplazamiento,acordando
herir,virginidad,contencioso,herir,compras,martingala,verificación,desaprobación,camuflaje,diccionario
encarcelado,esplendor,insalubre,encarcelado,regalo,desgarrado,complementario,inferior,pacífico,economía
rocín,asombrosamente,deshonesto,criminal,emoción,esclavizado,fuerza,malo,iluminación,sistema
criminal,comenzado,irrespetuoso,cinturón,hobby,escandaloso,coexistir,musical,traicionar,parietal
cinturón,bote,despojado,inferior,crescendo,altivo,ardiente,difunto,luz tenue,testigo ocular
desaprobación,por último,tiránico,desinformación,cerveza,ausencia,vencedor,plaga,revolución,estima
inferior,profiláctico,excluidos,malo,celeste,tortura,flota,cáncer,calamitoso,gabinete
desinformación,ponderar,preso,inestabilidad,limpio,coche fúnebre,augusto,canguelo,papar moscas,imperecedero
malo,compras,resentimiento,purga,excepcional,tiburón,danza,insalubre,avanzar,guardaespaldas
musical,regalo,crudo,cuarentena,grandeza,Travesura,asesorar,decaimiento,emocionante,estructura
acuchillar,emoción,infiel,plaga,música,contaminado,triunfante,arrugado,inesperadamente,granizo
wop,advertir,blasfemo,cáncer,novela,oscuridad,solución,estima,agradable,teoría
palanca,atrasado,irracional,contencioso,exaltado,bichos,rubor,imperecedero,explosivo,instrucciones
negación,crescendo,escorpión,relámpago,apreciar,remiso,lograr,deshonesto,un reguero de pólvora,servir
odiando,volatilidad,asesino,insalubre,memorable,delito,cincel,irrespetuoso,violento,retrete
cáncer,incalculable,instintivo,decaimiento,atractivo,aniquilado,galante,penosamente,festival,nación
contencioso,cuesta arriba,caza furtiva,dilema,felicidad,gañido,subsiguiente,despojado,afortunado,simplificar
relámpago,celeste,secreción,irrespetuoso,brindis,bozal,determinación,blues,ganadora,autoridad
dilema,novela,inquieto,mandamus,legalizado,achispado,contemplación,sarcoma,cautivar,amigo
deshonesto,apreciar,prohibido,despojado,ganancia,aprensivo,bendición,frágil,prever,abrigo
irrespetuoso,offset,letal,tiránico,conceder,decir tonterías,efemérides,incompetente,detonar,profiláctico
