0,1,2,3,4,5,6,7,8,9
cussed,conjure,foul,foul,tantalizing,fawn,conformance,scold,conjure,digit
foul,immature,scold,aggression,elegant,inadequacy,eligible,dissolution,originality,admiral
aggression,tantalizing,screaming,scold,buddy,foul,electricity,cytomegalovirus,dissolution,specialist
scold,buddy,hanging,dissolution,oasis,narcotic,originality,hanging,tantalizing,reporter
dissolution,oasis,loathing,screaming,symphony,conjuring,tantalizing,sterile,shriek,buddy
screaming,symphony,ruthless,hanging,music,aggression,leisurely,shriek,mystic,oasis
hanging,successful,cannibal,ruthless,successful,scold,scholar,criticism,revolt,impartiality
ruthless,caution,unclean,crouch,connoisseur,hardness,elegant,cocaine,unforeseen,bedrock
schism,lust,malign,cult,beauty,immature,valiant,music,glorify,successful
decry,destined,hog,shriek,welcomed,dissolution,relieving,exorcism,interrupt,deputy
shriek,recombination,hoot,military,fidelity,appropriation,resilient,hurt,volcano,connoisseur
criticism,glorify,sickening,insecurity,admirable,tantalizing,admiral,wane,whim,machine
strike,commemorate,averse,cannibal,glorify,screaming,reporter,scourge,outburst,credential
hurt,expectancy,falsity,exorcism,commemorate,tired,affiliated,sickening,feeling,modest
unjust,whim,deformity,sortie,whim,cytomegalovirus,buddy,rheumatism,unintended,effective
malign,strategist,fugitive,hurt,encourage,hanging,conversational,nonsensical,mouth,confederate
caution,conjecture,deplorable,artillery,outburst,rusty,substance,restriction,howl,fidelity
hot,basketball,misplace,caution,angelic,tether,oasis,grievous,scream,admirable
hoot,betrothed,infamous,fanaticism,basketball,sterile,impartiality,crypt,marvel,glorify
scourge,bounty,critter,scourge,betrothed,loathing,exhort,commemorate,bomb,structural
revolt,peril,collapse,sickening,bounty,ruthless,symphony,dumps,volatility,spotless
sickening,feeling,mutilated,rheumatism,feeling,schism,music,burial,disaster,concord
rheumatism,alive,palsy,restriction,alive,decry,bedrock,impossible,unexpectedly,encourage
restriction,haste,crawl,grievous,amusing,cull,holy,misfortune,hero,strategist
fib,letter,coward,crypt,buss,splinter,successful,outburst,stealthy,assured
grievous,volatility,feeling,averse,bliss,cult,household,deformity,score,personal
interrupt,advocacy,antagonistic,volcano,heartily,shriek,organized,fugitive,accident,fugitive
dumps,result,nettle,burial,advocacy,unwillingness,absolute,deplorable,veer,angelic
averse,hero,howl,misfortune,hero,pretensions,connoisseur,disturbed,hap,instruct
burial,fain,scream,outburst,fain,controversy,credential,collapse,memorable,betrothed
outburst,stealthy,ulcer,deformity,score,criticism,beauty,palsy,honeymoon,bounty
fugitive,score,lethal,fugitive,child,stern,modest,peril,variable,wisdom
deplorable,angling,denounce,deplorable,succeeding,cocaine,unselfish,coward,fainting,chairwoman
disturbed,child,disaster,infamous,elevation,tardiness,promotion,feeling,disruption,surrogate
loudness,reunion,disdain,collapse,birth,insecurity,effective,regretting,jerk,feeling
misplace,plight,obscenity,palsy,harmoniously,cannibal,welcomed,imprudent,invade,girder
infamous,divination,contentious,peril,memorable,strike,confederate,howl,leave,alive
feeling,succeeding,muck,coward,honeymoon,unclean,fidelity,bomb,erotic,wholesome
antagonistic,hap,spit,pneumonia,untie,exorcism,admirable,ulcer,unintentionally,responsible
nettle,elevation,rebellion,feeling,happy,sortie,glorify,lethal,graduation,morality
howl,birth,pervert,howl,twinkle,hurt,enrich,disaster,unanticipated,professor
scream,seek,coldness,scream,erotic,wane,slate,pity,slush,advocacy
bomb,prologue,plight,bomb,celebrated,unjust,commemorate,accident,shockingly,hero
ulcer,continuation,hag,ulcer,accomplished,artillery,spotless,debacle,joker,fain
inoperative,commonplace,disparity,lethal,respite,malign,concord,incompetent,vote,pith
denounce,treadmill,inhuman,volatility,love,caution,ameliorate,doldrums,preservative,framework
volatility,restlessness,despair,disaster,loving,hog,allay,confinement,liberation,reconsideration
advocacy,honeymoon,repellent,stealthy,romanticism,lust,toleration,vulnerability,uncover,commerce
avenger,grasping,disqualified,accident,graduation,gouge,encourage,specter,alarming,employ
disaster,happy,pest,veer,savor,hoot,adapt,haggard,apparition,reunion
scorn,forming,disgrace,debacle,truce,scourge,strategist,stillness,riddle,trustee
ire,duel,leer,contentious,amnesty,revolt,outburst,coldness,reflex,fairly
disdain,passenger,vegetative,persecute,joker,sickening,foundation,forsaken,differently,academic
incense,eventual,smell,confinement,enlighten,horribly,assured,plight,hypertrophy,succeeding
argue,twinkle,smelling,vulnerability,symmetry,rheumatism,speedy,disparity,hermaphrodite,innocent
eradicate,time,defamation,specter,vote,nonsensical,angelic,prison,underestimate,elevation
obscenity,navigable,anaconda,rebellion,preservative,restriction,instruct,disagreement,defy,elders
contentious,prediction,molestation,intrusion,liberation,wrought,basketball,subsidence,luck,birth
incompetent,erotic,cacophony,stillness,playhouse,fib,betrothed,captive,improvise,harmoniously
persecute,jeopardy,bloody,coldness,inseparable,hidden,master,bottom,flirt,county
confinement,celebrated,angry,plight,vacation,grievous,bounty,inhuman,cream,pavement
remand,enroll,ignorant,hag,intimately,crypt,wisdom,disheartened,smile,attorney
rebellion,invocation,degrade,prison,engaged,renunciation,chairwoman,losing,candid,commonplace
pervert,graduation,abortion,elevation,prevail,detachment,endure,despair,cable,theological
coldness,savor,offense,birth,cheery,interrupt,feeling,disqualified,enliven,memorable
forsaken,coming,gonorrhea,battlefield,scholarship,dumps,willingness,humbled,goodness,honeymoon
disparity,expectation,septic,attorney,joyful,disconnection,girder,myopia,pang,respectable
prison,applicant,savor,captive,clap,averse,alive,disgrace,saint,constantly
disagreement,owing,vainly,inhuman,sublimation,volcano,wholesome,indigent,laughter,happy
attorney,investigation,slush,repression,zest,burial,responsible,vegetative,aghast,safeguard
inhuman,possibility,laxative,foe,intimate,whim,absorbed,fainting,gambler,proven
foe,punt,egotistical,despair,luxurious,impossible,amusing,jarring,sunny,intend
escalate,errand,mange,repellent,favorite,blinded,affirmation,gloomy,tumult,entrust
losing,vote,drunken,duel,luck,falsity,morality,mourn,spirits,team
despair,shiver,damage,pest,flirt,misfortune,professor,invade,postponement,depository
repellent,representing,unfavorable,shooter,brotherly,smirk,consummate,leave,incident,sobriety
disqualified,preservative,revulsion,insane,midwife,outburst,marvel,speculation,coincidence,erotic
meddle,determinate,antipathy,flood,cathedral,deformity,buss,insignificant,uncertain,badge
infraction,lettered,instability,fainting,tranquil,fugitive,buxom,falling,vanish,jury
insurrection,liberation,crushing,disruption,amused,deplorable,bliss,funeral,decoy,understanding
duel,saliva,bovine,quandary,cream,shelved,heartily,molestation,holiness,enroll
