,Nava Representation,Tokenized Lemmatized
0,"[u'much', u'forecast', u'genuine', u'much', u'fix', u'moot']","[u'how', u'much', u'of', u'the', u'forecast', u'was', u'genuine', u'and', u'how', u'much', u'was', u'fixed', u'it', u'is', u'a', u'moot', u'point']"
1,"[u'touch', u'time', u'see', u'course', u'nothing', u'want']","[u'i', u'did', u'touch', u'them', u'one', u'time', u'you', u'see', u'but', u'of', u'course', u'there', u'was', u'nothing', u'doing', u'he', u'wanted', u'me']"
2,"[u'find', u'choice', u'theorist', u'admit', u'introduce', u'style', u'moral', u'odds', u'liberal']","[u'we', u'find', u'that', u'choice', u'theorists', u'admit', u'that', u'they', u'introduce', u'a', u'style', u'of', u'moral', u'paternalism', u'at', u'odds', u'with', u'liberal', u'values']"
3,"[u'well', u'olive']","[u'well', u'here', u'i', u'am', u'with', u'an', u'olive', u'branch']"
4,"[u'its', u'rudder', u'fin', u'knock', u'foot', u'long', u'shell', u'mean', u'repair', u'bank', u'question']","[u'its', u'rudder', u'and', u'fin', u'were', u'both', u'knocked', u'out', u'and', u'a', u'four', u'foot', u'long', u'gash', u'in', u'the', u'shell', u'meant', u'even', u'repairs', u'on', u'the', u'bank', u'were', u'out', u'of', u'the', u'question']"
5,"[u'dead', u'arrest']","[u'over', u'my', u'dead', u'body', u'are', u'you', u'arresting', u'him']"
6,"[u'let', u'pick', u'fight']","[u'don', u't', u'let', u'him', u'pick', u'a', u'fight', u'now', u'we', u'are', u'almost', u'home']"
7,"[u'good', u'certain', u'pick', u'hole']","[u'he', u's', u'a', u'good', u'fighter', u'but', u'there', u'are', u'certain', u'points', u'you', u'can', u'pick', u'holes', u'in']"
8,"[u'leave', u'citizen', u'shouting', u'match', u'strike', u'trail', u'footpath']","[u'she', u'left', u'the', u'citizens', u'of', u'riverbank', u'to', u'their', u'shouting', u'match', u'and', u'struck', u'off', u'along', u'the', u'trail', u'to', u'the', u'footpath']"
9,"[u'decide', u'fence', 'not_sit']","[u'brian', u'as', u'ever', u'decided', u'not', u'to', u'sit', u'on', u'the', u'fence']"
10,"[u'turn', u'mediaeval', u'split', u'hair']","[u'this', u'is', u'turning', u'into', u'one', u'of', u'those', u'mediaeval', u'disputes', u'which', u'split', u'hairs', u'endlessly']"
11,"[u'know', u'little', u'reluctant', u'way', u'think', u'water', u'bridge', u'view', u'extension', u'improve']","[u'so', u'you', u'know', u'whilst', u'i', u'am', u'a', u'little', u'bit', u'reluctant', u'in', u'a', u'way', u'i', u'think', u'that', u'has', u'that', u'is', u'water', u'under', u'the', u'bridge', u'and', u'in', u'my', u'view', u'actually', u'the', u'extension', u'improves', u'it', u'all']"
12,"[u'attempt', u'wipe', u'slate', u'clean', u'declare', u'amnesty', u'cover', u'human', u'abuse', u'coup']","[u'in', u'1978', u'in', u'an', u'attempt', u'to', u'wipe', u'the', u'slate', u'clean', u'pinochet', u'declared', u'an', u'amnesty', u'to', u'cover', u'all', u'human', u'rights', u'abuses', u'since', u'the', u'coup']"
13,"[u'doctor', u'try', u'help', u'wound', u'catch', u'crossfire', u'place', u'ambulance', u'come', u'attack']","[u'doctors', u'who', u'tried', u'to', u'help', u'the', u'wounded', u'were', u'caught', u'in', u'the', u'crossfire', u'and', u'in', u'some', u'places', u'ambulances', u'also', u'came', u'under', u'attack']"
14,"[u'course', u'dead', u'set', u'war']","[u'hitler', u'of', u'course', u'was', u'dead', u'set', u'against', u'a', u'war', u'between', u'britain', u'and', u'germany']"
15,"[u'view', u'let', u'play', u'devil', u'advocate']","[u'well', u'what', u'about', u'the', u'view', u'let', u'me', u'kind', u'of', u'play', u'devil', u's', u'advocate', u'here', u'against', u'freud', u'and', u'bullett']"
16,"[u'hammer', u'tongs', u'know', u'would', u'call', u'similar', u'steam', u'hammer']","[u'they', u'were', u'always', u'at', u'it', u'hammer', u'and', u'tongs', u'you', u'know', u'they', u'had', u'what', u'would', u'be', u'called', u'something', u'similar', u'to', u'a', u'steam', u'hammer']"
17,"[u'rugby', u'league', u'deadliest', u'lock', u'horn', u'season', u'big', u'curtain', u'tomorrow']","[u'rugby', u'league', u's', u'deadliest', u'rivals', u'lock', u'horns', u'in', u'the', u'season', u's', u'big', u'curtain', u'raiser', u'at', u'gateshead', u'tomorrow']"
18,"[u'brother', u'sister', u'act', u'lose', 'not_love']","[u'for', u'a', u'brother', u'and', u'sister', u'act', u'there', u'was', u'certainly', u'no', u'love', u'lost', u'between', u'them']"
19,"[u'be', u'much', u'nothing']","[u'is', u'that', u'much', u'ado', u'about', u'nothing', u'really']"
